masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
2.17e-22,,,,,,0.46,55382.274826388886
2.17e-22,1.51e-14,9.82e-14,4.73e-14,7.640000000000001e-15,1.26e-14,0.46,55382.274826388886
4.679999999999999e-24,5.96e-15,4.79e-14,5.55e-14,4.17e-15,1.23e-14,0.4,55382.27689814815
4.679999999999999e-24,9.73e-22,6.76e-14,5.95e-14,2.11e-15,1.3e-14,0.4,55382.27689814815
2.0000000000000002e-21,2.53e-14,9.94e-14,6.76e-14,1.5699999999999999e-15,1.42e-14,0.5,55382.27792824074
2.15e-23,1.03e-14,4.96e-14,6.01e-14,5.51e-15,1.75e-14,0.4,55382.278969907406
1.5800000000000001e-21,8.420000000000001e-22,9.25e-14,5.81e-14,1.58e-15,1.55e-14,0.44,55382.28
3.33e-22,9.4e-15,6.06e-14,4.95e-14,5.31e-15,1.4e-14,0.39,55382.28103009259
2.89e-22,2.22e-23,3.15e-14,5.76e-14,2.8100000000000003e-15,1.56e-14,0.33,55382.28208333333
1.86e-21,9.92e-15,2.17e-14,6.44e-14,8.53e-15,1.19e-14,0.35,55382.28313657407
1.9300000000000003e-21,1.02e-22,2.41e-14,9.36e-14,8.809999999999999e-15,1.22e-14,0.39,55382.28417824074
1.13e-21,2.6699999999999997e-22,3.75e-14,9.08e-14,4.43e-15,1.57e-14,0.41,55382.285219907404
1.0300000000000001e-21,2.04e-14,8.03e-14,1.05e-13,9.41e-15,1.21e-14,0.52,55382.286261574074
6.7e-16,4.1e-14,1.26e-13,1.1199999999999999e-13,3.6200000000000004e-15,1.58e-14,0.62,55382.287303240744
5.32e-14,1.4099999999999998e-13,2.6400000000000004e-13,1.73e-13,2.25e-14,1.26e-14,1.0,55382.28834490741
4.91e-14,9.91e-14,2.29e-13,2.0699999999999998e-13,3.98e-14,1.12e-14,0.97,55382.28938657408
4.13e-16,1.02e-13,1.45e-13,1.83e-13,2.88e-14,1.36e-14,0.81,55382.29043981482
2.04e-14,4.47e-14,1.47e-13,2.0699999999999998e-13,1.04e-15,2.07e-14,0.78,55382.291493055556
7.87e-17,9.22e-14,1.25e-13,2.08e-13,1.29e-14,1.97e-14,0.8,55382.29253472222
3.15e-15,4.22e-14,5.83e-14,1.5399999999999997e-13,4.09e-14,1.27e-14,0.63,55382.29357638889
4.559999999999999e-16,1.73e-14,8.64e-14,1.3900000000000001e-13,4.68e-14,1.56e-14,0.63,55382.29460648148
4.63e-14,5.02e-14,2.0300000000000002e-13,1.91e-13,2.19e-14,1.79e-14,0.87,55382.295648148145
