mass,mjd
0.46,55382.275509259256
0.41,55382.27758101852
0.51,55382.27862268518
0.4,55382.279652777775
0.45,55382.28068287037
0.4,55382.28172453704
0.36,55382.28383101852
0.39,55382.28487268519
0.41,55382.28591435185
0.53,55382.286944444444
0.63,55382.287986111114
1.01,55382.289039351854
0.98,55382.29005787037
0.8,55382.2921875
0.82,55382.293217592596
0.64,55382.29425925926
0.64,55382.29530092593
0.88,55382.296331018515
0.65,55382.29736111111
0.67,55382.298414351855
0.77,55382.29949074074
0.53,55382.300532407404
0.45,55382.30260416667
0.55,55382.30364583333
0.5,55382.3046875
0.56,55382.30572916667
0.59,55382.306759259256
0.5,55382.3078125
0.45,55382.308900462966
0.42,55382.309953703705
0.35,55382.31097222222
0.37,55382.31201388889
0.37,55382.31638888889
0.42,55382.31743055556
0.31,55382.31847222222
0.19,55382.31951388889
0.33,55382.320543981485
0.28,55382.321597222224
0.19,55382.32262731482
0.44,55382.32371527778
0.36,55382.32475694444
0.3,55382.32579861111
0.18,55382.326840277776
0.35,55382.327881944446
0.29,55382.32892361111
0.21,55382.33100694444
0.22,55382.332037037035
0.21,55382.333078703705
0.25,55382.335173611114
0.21,55382.335173611114
0.26,55382.3362037037
0.17,55382.33724537037
0.12,55382.33828703704
0.23,55382.33931712963
0.35,55382.3403587963
0.21,55382.34140046296
0.14,55382.34244212963
0.18,55382.343518518515
0.34,55382.345601851855
0.34,55382.34664351852
0.43,55382.347662037035
0.58,55382.348703703705
0.51,55382.349756944444
0.44,55382.350798611114
0.56,55382.3518287037
0.55,55382.35287037037
0.53,55382.35392361111
0.47,55382.35496527778
0.67,55382.35603009259
0.86,55382.35706018518
0.96,55382.35810185185
0.91,55382.36020833333
0.62,55382.361238425925
1.08,55382.362280092595
0.9,55382.363333333335
0.86,55382.364375
0.78,55382.365428240744
0.65,55382.36645833333
0.75,55382.3675
0.86,55382.36855324074
0.94,55382.36958333333
0.76,55382.370625
0.87,55382.371666666666
1.39,55382.372719907406
1.1,55382.37375
0.91,55382.37480324074
1.14,55382.37585648148
1.03,55382.37688657407
1.01,55382.37792824074
0.92,55382.378969907404
1.2,55382.38002314815
0.99,55382.381064814814
1.16,55382.382106481484
1.51,55382.38314814815
1.81,55382.384201388886
1.6,55382.385243055556
0.9,55382.387337962966
0.81,55382.38943287037
0.98,55382.39047453704
0.95,55382.3915162037
0.78,55382.39258101852
0.72,55382.39466435185
0.72,55382.39570601852
0.78,55382.39570601852
0.7,55382.39780092592
0.74,55382.39885416667
0.72,55382.39989583333
0.89,55382.4009375
0.8,55382.40199074074
0.78,55382.403032407405
0.77,55382.40409722222
0.67,55382.405185185184
0.67,55382.40623842592
0.65,55382.40728009259
0.67,55382.40833333333
0.69,55382.40938657407
0.71,55382.41148148148
0.89,55382.41358796296
1.3,55382.41570601852
1.25,55382.4178125
0.97,55382.419907407406
0.96,55382.420960648145
1.13,55382.422002314815
1.04,55382.423055555555
1.0,55382.424097222225
0.95,55382.425150462965
0.9,55382.42623842593
1.36,55382.431076388886
1.5,55382.4321412037
1.11,55382.43318287037
1.62,55382.43423611111
1.14,55382.43528935185
0.98,55382.43634259259
1.21,55382.43738425926
1.28,55382.43844907408
1.3,55382.43950231482
1.18,55382.44054398148
1.48,55382.44159722222
1.41,55382.443703703706
1.28,55382.443703703706
1.18,55382.444768518515
1.31,55382.44582175926
1.08,55382.446875
1.19,55382.44793981482
1.69,55382.44899305556
1.42,55382.45003472222
1.55,55382.45107638889
1.2,55382.45214120371
1.33,55382.453194444446
1.54,55382.454247685186
1.52,55382.4553125
1.68,55382.457407407404
1.36,55382.45847222222
1.73,55382.45952546296
1.97,55382.46059027778
1.98,55382.461643518516
2.28,55382.462696759256
1.95,55382.46376157407
2.04,55382.46481481481
2.06,55382.46586805556
1.57,55382.4669212963
1.64,55382.467986111114
2.0,55382.47008101852
1.49,55382.47219907407
1.83,55382.47325231481
1.89,55382.47436342593
1.66,55382.47542824074
1.86,55382.476481481484
1.63,55382.477534722224
1.59,55382.47858796296
1.27,55382.48070601852
1.19,55382.48175925926
1.32,55382.4828125
1.43,55382.48386574074
1.76,55382.484918981485
1.21,55382.485983796294
0.91,55382.48704861111
0.87,55382.48810185185
1.09,55382.48915509259
0.83,55382.490219907406
0.79,55382.49128472222
0.82,55382.49232638889
0.96,55382.493425925924
1.11,55382.494467592594
1.34,55382.495520833334
1.14,55382.49658564815
1.11,55382.49765046296
1.0,55382.499768518515
0.88,55382.50083333333
0.97,55382.50188657407
1.11,55382.50399305556
1.58,55382.5050462963
1.31,55382.50611111111
1.62,55382.50824074074
2.29,55382.510358796295
2.25,55382.511412037034
1.83,55382.51356481481
1.54,55382.51461805555
1.84,55382.51571759259
1.24,55382.51678240741
1.38,55382.51783564815
1.92,55382.518900462965
1.7,55382.52269675926
1.47,55382.52376157408
1.44,55382.52480324074
1.67,55382.525868055556
1.59,55382.526921296296
1.75,55382.52798611111
1.84,55382.52905092593
1.87,55382.53115740741
1.42,55382.53221064815
1.74,55382.53327546296
1.8,55382.534317129626
1.73,55382.53538194444
2.13,55382.53644675926
2.16,55382.5375
2.01,55382.538564814815
1.82,55382.539618055554
1.57,55382.540671296294
1.94,55382.54280092593
2.14,55382.54280092593
1.81,55382.543854166666
1.9,55382.544907407406
1.52,55382.54597222222
1.68,55382.54703703704
2.23,55382.54809027778
2.18,55382.549155092594
2.19,55382.55021990741
1.95,55382.55128472222
1.8,55382.55233796296
2.38,55382.553402777776
2.68,55382.55554398148
1.81,55382.556608796294
1.94,55382.55872685185
1.68,55382.560844907406
1.86,55382.56190972222
1.29,55382.56297453704
1.54,55382.56508101852
1.21,55382.566157407404
1.1,55382.56722222222
1.47,55382.56827546296
1.12,55382.56932870371
1.14,55382.570393518516
0.91,55382.57144675926
1.25,55382.57252314815
1.52,55382.573587962965
1.16,55382.57465277778
0.97,55382.57570601852
1.62,55382.57677083334
1.37,55382.57784722222
1.01,55382.57890046296
1.03,55382.57996527778
0.93,55382.581030092595
1.08,55382.582094907404
0.99,55382.58314814815
1.16,55382.58530092592
1.01,55382.586388888885
1.6,55382.58866898148
0.75,55382.58866898148
0.69,55382.59079861111
0.54,55382.59292824074
0.74,55382.593993055554
0.69,55382.59505787037
0.89,55382.59612268519
1.06,55382.5971875
1.32,55382.59825231481
1.4,55382.59931712963
1.18,55382.600381944445
