masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
1.84e-21,5.5e-22,8.589999999999999e-24,3.91e-14,1.61e-14,1.69e-14,0.26,55383.27238425926
1.08e-22,5.53e-22,2.13e-19,3.27e-14,1.5e-14,1.67e-14,0.25,55383.27342592592
1.6100000000000001e-21,5.42e-22,1.06e-20,3.12e-14,1.62e-14,1.63e-14,0.24,55383.27446759259
5.51e-22,1.3e-22,6.08e-21,5.29e-14,2.59e-15,1.41e-14,0.26,55383.27548611111
2.0200000000000002e-22,1.7699999999999998e-23,3.84e-15,7.72e-14,4.12e-15,1.84e-14,0.33,55383.27652777778
8.83e-22,7.85e-23,6.25e-19,3.09e-14,2e-15,1.35e-14,0.2,55383.277592592596
6.209999999999999e-23,1.55e-23,5.1e-16,3.16e-14,7.42e-16,1.12e-14,0.2,55383.27862268518
2.3699999999999998e-23,2.78e-22,6.2600000000000005e-21,1.2e-14,1.43e-14,1.05e-14,0.18,55383.27966435185
1.86e-21,3.0500000000000003e-22,1.08e-23,1.33e-14,1.02e-14,1.01e-14,0.17,55383.280694444446
1.9399999999999998e-21,2.56e-23,1.6600000000000001e-21,1.75e-14,1.28e-15,1.31e-14,0.16,55383.28172453704
9.520000000000001e-23,3.6200000000000005e-23,2.09e-20,3.5e-14,1.94e-15,1.47e-14,0.22,55383.2827662037
5.13e-24,2.81e-22,7.440000000000001e-16,2.52e-14,1.9100000000000003e-15,1.71e-14,0.2,55383.28380787037
6.929999999999999e-22,1.62e-23,3.1600000000000003e-21,1.41e-14,1.48e-14,1.61e-14,0.2,55383.28587962963
1.2099999999999998e-21,1.61e-22,6.790000000000001e-21,9.8e-15,2.08e-14,1.79e-14,0.21,55383.28587962963
1.2199999999999998e-23,1.2300000000000002e-21,4.36e-20,1.26e-14,1.51e-14,,0.19,55383.28795138889
1.2199999999999998e-23,1.2300000000000002e-21,4.36e-20,1.26e-14,1.51e-14,1.36e-14,0.19,55383.28795138889
6.87e-22,6.0700000000000005e-22,1.1599999999999998e-20,1.86e-14,1.13e-14,1.61e-14,0.2,55383.290034722224
1.3e-22,,,1.86e-14,1.13e-14,1.61e-14,0.18,55383.29105324074
1.3e-22,2.0999999999999998e-22,9e-22,2.12e-14,1.78e-15,1.47e-14,0.18,55383.29105324074
7.91e-22,2.86e-22,6.809999999999999e-21,1.9e-14,1.63e-15,1.53e-14,0.17,55383.29209490741
1.09e-24,9.679999999999999e-23,6.28e-20,,,,0.17,55383.29417824074
1.09e-24,9.679999999999999e-23,6.28e-20,2.44e-14,5.54e-16,8.790000000000001e-15,0.17,55383.29417824074
,,6.28e-20,2.44e-14,5.54e-16,8.790000000000001e-15,,55383.295219907406
1.9199999999999997e-22,4.71e-22,4.02e-20,5.96e-14,1.14e-15,1.55e-14,0.21,55383.296261574076
1.9199999999999997e-22,4.71e-22,4.02e-20,3.74e-14,1.6899999999999999e-15,1.03e-14,0.21,55383.296261574076
9.56e-22,3.6799999999999996e-23,3.7100000000000004e-20,1.97e-14,1.04e-15,9.26e-15,0.16,55383.298368055555
1.12e-21,2.34e-22,3.05e-20,1.5e-14,1.29e-14,7.38e-15,0.17,55383.29939814815
1.1e-21,2.1799999999999997e-22,1.1300000000000002e-19,3.8e-14,7.05e-15,1.1e-14,0.23,55383.300462962965
1.44e-22,2.3300000000000003e-22,5.99e-21,1.9e-14,1.72e-14,8.89e-15,0.2,55383.30150462963
1.8499999999999997e-21,1.7799999999999998e-22,2.7399999999999996e-21,3.25e-14,2.3e-15,1.49e-14,0.21,55383.3025462963
2.5100000000000002e-23,3.92e-23,2.68e-16,2.97e-14,8.730000000000001e-16,1.14e-14,0.19,55383.30358796296
4.639999999999999e-22,1.06e-21,1.25e-20,3.96e-14,1.04e-15,1.37e-14,0.22,55383.3046412037
1.98e-23,2.52e-22,2.0699999999999998e-20,1.74e-14,1.43e-14,1.03e-14,0.19,55383.30570601852
6.58e-23,5.47e-22,2.69e-14,7.03e-14,2.45e-17,1.03e-14,0.33,55383.306759259256
5.839999999999999e-23,1.5699999999999999e-21,7.259999999999999e-15,7e-14,6.809999999999999e-16,1.52e-14,0.31,55383.30778935185
5.769999999999999e-22,1.42e-22,2.78e-14,9.09e-14,1.48e-15,1.83e-14,0.39,55383.30883101852
2.1800000000000003e-21,7.209999999999999e-23,1.53e-21,2e-14,9.16e-16,1.41e-14,0.17,55383.31209490741
1.0899999999999999e-22,2.5900000000000003e-22,4.42e-20,1.18e-14,5.7e-16,1.58e-14,0.15,55383.313125
1.29e-21,1.8e-23,6.24e-21,9.49e-16,2.49e-14,1.47e-14,0.18,55383.31420138889
5.120000000000001e-22,1.37e-22,9.93e-21,1.75e-14,1.1199999999999999e-15,1.62e-14,0.17,55383.31524305556
3.2200000000000004e-23,9.32e-23,3.510000000000001e-21,2.03e-14,2.5e-15,1.45e-14,0.18,55383.31627314815
3.18e-23,9.9e-22,1.05e-19,5.27e-15,1.6e-14,8.08e-15,0.17,55383.31836805555
1.23e-22,1.6200000000000002e-16,1.71e-16,1.37e-14,7.71e-15,1.18e-14,0.15,55383.319398148145
1.23e-22,1.6200000000000002e-16,1.71e-16,1.37e-14,3.25e-15,1.18e-14,0.15,55383.319398148145
5.82e-16,9.21e-17,9.279999999999999e-16,2.25e-14,1.22e-15,1.03e-14,0.17,55383.32148148148
,,,,,,0.2,55383.32356481482
5.159999999999999e-22,1.88e-15,4.51e-15,2.66e-14,2.98e-15,8.77e-15,0.2,55383.32356481482
5.72e-22,2.93e-15,2.6e-15,1.8e-14,1.12e-14,1.14e-14,0.2,55383.3256712963
