masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
4.1699999999999997e-22,2.79e-14,1.23e-13,9.09e-14,1.1e-22,1.43e-14,0.56,56737.242060185185
2.4e-21,1.21e-13,4.08e-13,3.48e-14,2.31e-22,1.25e-14,0.91,56737.243113425924
7.130000000000001e-22,2.07e-14,3.12e-13,4.1e-14,1.19e-21,1.35e-14,0.72,56737.244166666664
2.49e-22,2.61e-14,1.47e-13,6.36e-14,8.399999999999999e-22,1.52e-14,0.56,56737.24523148148
1.88e-22,1.26e-14,8.65e-14,1.05e-13,2.2e-15,1.44e-14,0.51,56737.24628472222
1.83e-21,1.71e-14,1.52e-13,9.45e-14,2.0499999999999998e-16,1.32e-14,0.59,56737.24733796297
1.68e-23,3.0699999999999996e-16,1.6299999999999999e-13,5.34e-14,5.85e-22,1.18e-14,0.52,56737.248402777775
9.500000000000001e-22,5.03e-14,1.93e-13,6.44e-14,2.43e-21,1.09e-14,0.64,56737.249456018515
2.1899999999999998e-21,6.52e-15,7.38e-14,5.91e-14,1.1699999999999999e-15,1.03e-14,0.41,56737.25052083333
8.1e-22,8.36e-15,4.27e-14,1.2700000000000001e-13,1.8600000000000002e-15,1.61e-14,0.48,56737.25157407407
1.49e-23,1.43e-14,1.15e-14,1.1199999999999999e-13,3.01e-15,1.39e-14,0.42,56737.25263888889
1.74e-21,2.87e-14,7.86e-14,6.05e-14,1.6899999999999999e-15,2.21e-14,0.47,56737.254745370374
1.1699999999999998e-24,3.19e-14,1.06e-13,8.37e-14,3.0699999999999998e-15,1.98e-14,0.55,56737.256875
9.41e-22,1.29e-14,4.45e-14,7.79e-14,9.540000000000001e-15,2.51e-14,0.44,56737.25792824074
2.08e-21,3.01e-14,3.1e-14,1.2799999999999998e-13,9.09e-15,4.71e-14,0.55,56737.258993055555
1.99e-24,6.7e-14,1.08e-14,7.31e-14,4.23e-14,3.38e-14,0.52,56737.26005787037
1.1100000000000001e-21,5e-15,3.24e-14,7.58e-14,8.77e-15,2.42e-14,0.4,56737.26217592593
5.79e-23,7.21e-15,3.27e-14,6.45e-14,4.49e-15,1.99e-14,0.37,56737.26322916667
2.01e-21,3.04e-14,2.44e-15,9.63e-14,1.55e-14,2.59e-14,0.44,56737.26429398148
7.2e-22,1.02e-14,4.94e-14,6.7e-14,1.12e-14,2.09e-14,0.42,56737.26534722222
2.2e-21,2.41e-14,8.58e-14,9.78e-14,1.09e-14,2.71e-14,0.55,56737.26641203704
3.6200000000000004e-15,8.68e-14,6.73e-14,1.1199999999999999e-13,2.75e-14,3.06e-14,0.65,56737.26746527778
2.96e-23,3.17e-23,5.96e-15,9.61e-14,5.7e-14,3.5e-14,0.48,56737.268530092595
4.819999999999999e-22,2.95e-15,3.81e-15,1.0300000000000002e-13,1.33e-14,3.56e-14,0.42,56737.269594907404
2.97e-22,1.48e-17,3.2600000000000004e-19,6.42e-14,4.42e-14,3.03e-14,0.39,56737.2706712963
2.2699999999999997e-23,2.3899999999999998e-15,2.0100000000000003e-15,8.34e-14,1.16e-14,4.03e-14,0.39,56737.27278935185
2.3899999999999997e-21,5.91e-15,3.6000000000000003e-20,3.56e-14,7.32e-14,2.4e-14,0.39,56737.27384259259
3.11e-22,1.81e-22,1.4e-15,7.63e-14,9.12e-15,3.44e-14,0.36,56737.27490740741
5.29e-22,8.83e-17,3.86e-19,4.93e-14,4.51e-14,2.82e-14,0.36,56737.275983796295
1.56e-24,1.51e-22,1.74e-20,7.29e-14,6.2700000000000005e-15,2.96e-14,0.34,56737.277037037034
9.75e-22,7.029999999999999e-22,1.7399999999999997e-19,3.56e-14,3.73e-14,1.79e-14,0.3,56737.27811342593
1.9300000000000003e-21,8.71e-22,5.0000000000000005e-21,5.63e-14,3.01e-14,2.3e-14,0.34,56737.279178240744
8.04e-24,1.36e-21,3.72e-19,2.61e-14,5e-14,2.6e-14,0.32,56737.28023148148
9.44e-22,1.77e-21,1.26e-19,9.35e-14,3.74e-14,2.42e-14,0.42,56737.28130787037
6.520000000000001e-23,9.249999999999999e-22,3.2400000000000004e-20,8.39e-14,3.06e-14,2.64e-14,0.39,56737.282372685186
1.18e-21,2.3300000000000003e-22,2.11e-14,1.5699999999999999e-13,1.03e-14,4.26e-14,0.53,56737.283425925925
1.62e-21,3.77e-17,1.8e-14,1.56e-13,7.48e-14,5.95e-14,0.63,56737.284479166665
1.77e-21,7.17e-22,6.2e-22,4.59e-14,5.46e-14,2.47e-14,0.37,56737.285532407404
1.6999999999999997e-23,1.6100000000000001e-21,6.68e-20,1.97e-14,4.89e-14,2.25e-14,0.3,56737.28659722222
7.890000000000001e-23,7.700000000000001e-23,1.58e-19,9.39e-14,2.35e-14,1.92e-14,0.39,56737.28872685185
4.380000000000001e-22,1.59e-23,1.0300000000000001e-19,7.65e-14,3.37e-14,1.79e-14,0.37,56737.28978009259
1.1499999999999999e-23,7.99e-22,1.19e-15,5.33e-14,4.0600000000000005e-15,2.81e-14,0.29,56737.29335648148
1.7199999999999998e-21,2.13e-22,6.720000000000001e-21,7.63e-14,3.8600000000000004e-15,2.82e-14,0.33,56737.2944212963
1.01e-21,8.82e-16,2.41e-14,4.44e-14,1.38e-14,2.94e-14,0.34,56737.295486111114
7.89e-24,1.0000000000000001e-21,1.24e-14,9.96e-14,5.27e-15,3.14e-14,0.4,56737.2965625
2.01e-21,6.91e-22,9.690000000000001e-17,7.02e-14,5.69e-15,3.6e-14,0.34,56737.297627314816
1.36e-21,1.1200000000000001e-22,7.409999999999999e-19,7.56e-14,3.07e-14,2.03e-14,0.28,56737.298680555556
1.0000000000000001e-21,1.1200000000000001e-22,7.409999999999999e-19,7.56e-14,3.07e-14,2.03e-14,0.36,56737.299733796295
3.07e-23,4.9100000000000004e-24,7.09e-20,3.35e-14,2.2199999999999998e-15,2.85e-14,0.24,56737.300787037035
7.61e-15,2.27e-16,4.29e-15,1.91e-14,7.77e-15,2.06e-14,0.23,56737.30186342593
4.549999999999999e-22,1.6100000000000002e-23,3.1900000000000003e-21,3.97e-14,2.37e-15,2.48e-14,0.25,56737.30291666667
4.34e-23,8.57e-23,7.36e-20,2.4e-15,3.23e-14,2.16e-14,0.22,56737.303981481484
5.23e-22,1.5399999999999999e-21,7.59e-21,3.9600000000000004e-15,1.74e-14,1.87e-14,0.18,56737.30502314815
