file,strehl,rms_err,fwhm,mjd,epoch,AIRMASS,ITIME,COADDS,FWINAME,AZ,DMGAIN,DTGAIN,XREF,YREF,XSTREHL,YSTREHL,WSFRRT,AOLBFWHM,LSAMPPWR,LGRMSWF,AOAOAMED,TUBETEMP,telem_file,telem_mjd,rms_mean,rms_std,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c0258.fits,0.19,435.5,82.7,56842.40946,14jullgs2,1.53263,2.8,10,Kp,188.76476,0.250,0.075,445.980,659.008,548.159,373.077,440,1.000275,12.634079,250.8,812,3.9395,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0258_fullLGS_trs.sav,56842.40946998842,163.69556,51.3193,56842.40980324074,56842.409456018526,56842.4091087963,56842.409722222226,0.29,0.64,1.32e-21,6.13e-23,3.52e-20,4.93e-14,7.5e-14,6.740000000000001e-15,0.37,25.0,115.0,4.04,12.0,621.8
c0259.fits,0.26,392.4,68.41,56842.41005,14jullgs2,1.53358,2.8,10,Kp,189.00582,0.250,0.075,446.074,660.077,548.276,374.078,440,1.011998,12.420746,202.5,910,3.9305,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0259_fullLGS_trs.sav,56842.410058125,156.60234,46.020805,56842.40980324074,56842.41050925926,56842.410150462965,56842.409722222226,0.29,0.65,1.3800000000000004e-21,9.659999999999999e-23,8.899999999999999e-21,4.17e-14,4.75e-14,1.24e-14,0.32,25.0,115.0,4.04,12.0,621.8
c0260.fits,0.23800000000000002,404.9,74.12,56842.410639999995,14jullgs2,1.53457,2.8,10,Kp,189.24668,0.250,0.075,445.082,658.733,547.415,374.234,440,1.004664,12.539264,193.2,902,3.9355,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0260_fullLGS_trs.sav,56842.41064648148,148.74585,41.034718,56842.410868055566,56842.41050925926,56842.410150462965,56842.41041666666,0.27,0.65,1.3800000000000004e-21,9.659999999999999e-23,8.899999999999999e-21,4.17e-14,4.75e-14,1.24e-14,0.32,25.0,101.0,4.04,12.0,621.7
c0261.fits,0.253,396.4,70.57,56842.41123,14jullgs2,1.53558,2.8,10,Kp,189.48661,0.250,0.075,446.117,658.638,548.321,372.734,440,0.964972,12.539264,156.4,892,3.9263,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0261_fullLGS_trs.sav,56842.41123427083,148.1225,40.574047,56842.410868055566,56842.41157407408,56842.411215277774,56842.41111111111,0.27,0.72,1.8499999999999997e-21,2.49e-27,4.56e-20,3.43e-14,5.29e-14,1.23e-14,0.32,26.0,120.0,4.04,12.0,621.7
c0262.fits,0.218,417.6,77.37,56842.41182,14jullgs2,1.53662,2.8,10,Kp,189.72717,0.250,0.075,446.091,659.736,548.306,373.855,440,0.961188,12.491857,170.6,965,3.9217,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0262_fullLGS_trs.sav,56842.41182326389,144.5985,41.91169,56842.411944444444,56842.41157407408,56842.41229166668,56842.41180555557,0.28,0.72,6.69e-22,2.8700000000000003e-16,5.09e-20,2.66e-14,4.73e-14,1.1e-14,0.29,28.0,110.0,4.05,12.0,621.7
c0263.fits,0.249,398.6,71.34,56842.4124,14jullgs2,1.53769,2.8,10,Kp,189.96728,0.250,0.075,446.177,658.884,548.414,372.846,440,1.002340,12.562968,155.6,882,3.9329,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0263_fullLGS_trs.sav,56842.41241092593,128.53915,35.4789,56842.411944444444,56842.412627314814,56842.41229166668,56842.4125,0.28,0.45,6.69e-22,2.8700000000000003e-16,5.09e-20,2.66e-14,4.73e-14,1.1e-14,0.29,25.0,116.0,4.07,12.0,621.8
c0264.fits,0.233,408.3,74.86,56842.413,14jullgs2,1.5388,2.8,10,Kp,190.20987,0.250,0.075,391.155,702.089,493.400,416.573,440,0.945075,12.681486,169.7,884,3.9107,,,,,56842.412997685184,56842.412627314814,56842.413344907414,56842.413194444445,0.29,0.45,3.57e-23,9.969999999999999e-22,1.84e-20,4.47e-14,5.5e-14,1.04e-14,0.34,24.0,123.0,4.08,12.0,621.8
c0265.fits,0.248,399.4,71.49,56842.41359,14jullgs2,1.53993,2.8,10,Kp,190.44872,0.250,0.075,392.148,701.060,494.416,415.643,440,0.972772,12.468153,150.8,884,3.9109,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0265_fullLGS_trs.sav,56842.41359399306,125.13989,35.584568,56842.41405092593,56842.413680555546,56842.413344907414,56842.413888888885,0.4,0.74,3.57e-23,9.969999999999999e-22,1.84e-20,4.47e-14,5.5e-14,1.04e-14,0.34,23.0,117.0,4.1,12.0,621.8
c0266.fits,0.282,380.6,66.33,56842.414170000004,14jullgs2,1.54108,2.8,10,Kp,190.68704,0.250,0.075,392.134,700.682,493.493,416.588,440,0.946972,12.562968,150.9,957,3.9091,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0266_fullLGS_trs.sav,56842.41418053241,117.81072,32.258396,56842.41405092593,56842.413680555546,56842.414398148154,56842.413888888885,0.4,0.74,1.55e-22,2.16e-19,5.34e-20,3.91e-14,5.35e-14,1.25e-14,0.33,23.0,117.0,4.1,12.0,621.8
c0267.fits,0.23399999999999999,407.5,72.14,56842.4148,14jullgs2,1.54233,2.8,10,Kp,190.94126,0.250,0.075,392.017,701.694,494.294,416.493,440,0.920159,12.397042,150.9,742,3.9033,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0267_fullLGS_trs.sav,56842.4148072338,140.89879,40.337715,56842.41511574074,56842.414733796286,56842.414398148154,56842.41458333332,0.3,0.52,1.55e-22,2.16e-19,5.34e-20,3.91e-14,5.35e-14,1.25e-14,0.33,24.0,117.0,4.1,12.0,621.8
