masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
6.76e-23,1.1000000000000001e-23,1.49e-17,9.06e-15,3.44e-14,2.1e-14,0.25,57113.24481481482
2.98e-14,3.4200000000000004e-15,6.52e-15,3.73e-14,1.4e-14,2.55e-14,0.35,57113.246886574074
5.54e-22,6.47e-14,1.78e-16,2.55e-14,6.99e-15,2.84e-14,0.37,57113.24791666667
2.65e-19,1.18e-13,3.9300000000000003e-16,2.17e-14,2.95e-14,2.3e-14,0.47,57113.24998842592
1.37e-19,3.24e-14,7.22e-15,2.49e-14,6.31e-14,2.48e-14,0.41,57113.25104166667
2.4399999999999997e-22,7.26e-14,2.11e-15,6.2799999999999995e-15,7.73e-14,2.45e-14,0.46,57113.25206018519
1.9e-14,1.4800000000000003e-13,2.16e-14,1.85e-14,1.6e-14,2.66e-14,0.55,57113.25310185185
8.990000000000001e-15,6.61e-14,3.8e-17,2.18e-14,1.41e-14,2.47e-14,0.38,57113.25413194444
5.1e-17,9.95e-14,7.859999999999999e-15,1.78e-14,7.63e-15,1.88e-14,0.38,57113.25413194444
5.1e-17,9.95e-14,7.859999999999999e-15,1.78e-14,7.63e-15,1.88e-14,0.41,57113.25517361111
6.06e-18,9.42e-14,1.54e-14,8.28e-15,1.72e-14,2.16e-14,0.42,57113.256215277775
9.65e-24,3.25e-14,1.7e-15,1.35e-14,1.27e-14,2.14e-14,0.28,57113.25724537037
3.26e-14,1.91e-14,1.09e-15,1.63e-14,1.87e-14,1.82e-14,0.33,57113.25827546296
9.51e-22,6.07e-14,6.07e-18,1.53e-14,1.49e-14,1.86e-14,0.34,57113.259305555555
2.0300000000000002e-21,7.86e-14,8.14e-16,2.41e-14,2.28e-14,2.08e-14,0.4,57113.260347222225
4.58e-14,8.66e-20,1.3900000000000001e-15,2.63e-14,3.4200000000000004e-15,2.24e-14,0.31,57113.265752314815
4.16e-14,1.97e-15,6.909999999999999e-15,1.83e-14,2.36e-14,1.96e-14,0.34,57113.26677083333
1.6600000000000002e-15,3.87e-14,2.0100000000000003e-15,1.06e-14,5.03e-14,1.56e-14,0.35,57113.2678125
3.85e-14,6.67e-15,1.45e-14,3.56e-14,1.73e-14,2.43e-14,0.38,57113.269895833335
2.73e-23,1.5800000000000001e-21,6.490000000000001e-21,2.59e-15,7.35e-14,1.24e-14,0.29,57113.27196759259
1.96e-14,6.39e-15,2.23e-15,1.18e-14,3.12e-14,1.36e-14,0.29,57113.27302083333
4.37e-22,3.44e-15,5.27e-15,3.92e-14,4.29e-15,1.87e-14,0.26,57113.274050925924
1.6899999999999998e-21,1.27e-14,2.15e-17,1.85e-14,3.17e-14,1.53e-14,0.27,57113.275092592594
1.62e-17,2.1e-14,1.3900000000000001e-15,5.06e-15,3.5e-14,1.33e-14,0.27,57113.27613425926
2.96e-22,1.43e-14,2.4700000000000002e-21,5.33e-16,5.69e-14,1.53e-14,0.29,57113.27716435185
1.15e-22,1.9699999999999998e-21,3.2899999999999995e-21,1.8600000000000002e-15,5.78e-14,2.32e-14,0.28,57113.27820601852
6.61e-24,2.02e-21,5.98e-20,1.56e-16,6.98e-14,2.57e-14,0.31,57113.27924768518
6.28e-23,4.72e-22,1.29e-20,4.3e-17,6.63e-14,2.03e-14,0.29,57113.28028935185
1.9199999999999997e-22,2.0600000000000001e-22,2.85e-20,3.03e-15,6.82e-14,1.93e-14,0.3,57113.281331018516
2.4199999999999998e-23,1.23e-14,2.36e-21,6.87e-15,6.93e-14,2.44e-14,0.34,57113.28238425926
1.3900000000000001e-21,1.0199999999999999e-21,1.19e-21,8.409999999999999e-15,5.37e-14,1.26e-14,0.27,57113.28445601852
1.2099999999999999e-23,1.56e-15,4.99e-23,3.25e-15,3.94e-14,1.14e-14,0.22,57113.28549768519
3.67e-22,2.94e-22,1.73e-20,2.9e-15,7.32e-14,9.32e-15,0.29,57113.286527777775
1.86e-21,4.76e-22,4.39e-20,8.15e-16,5.7e-14,1.51e-14,0.26,57113.28758101852
1.92e-21,2.53e-22,1.4799999999999998e-20,7.27e-16,3.52e-14,1.86e-14,0.22,57113.288611111115
2.4999999999999998e-23,5.070000000000001e-20,2.64e-20,1.6e-16,3.57e-14,1.71e-14,0.22,57113.28965277778
2.2699999999999997e-23,1.44e-23,4.55e-20,1.03e-16,3.02e-14,1.68e-14,0.2,57113.29069444445
