mass,mjd
0.62,57114.2459375
0.77,57114.24696759259
0.46,57114.24903935185
0.39,57114.250069444446
0.48,57114.25109953704
0.41,57114.2521412037
0.59,57114.253171296295
0.5,57114.254212962966
0.61,57114.25525462963
0.18,57114.25732638889
0.53,57114.263240740744
0.43,57114.26427083334
0.25,57114.26634259259
0.15,57114.267372685186
0.09,57114.27048611111
0.26,57114.271527777775
0.32,57114.27258101852
0.23,57114.27361111111
0.26,57114.27465277778
0.22,57114.27569444444
0.4,57114.27673611111
0.14,57114.27777777778
0.13,57114.28091435185
0.2,57114.28194444445
0.17,57114.282997685186
0.25,57114.28402777778
0.23,57114.28506944444
0.4,57114.28611111111
0.55,57114.287152777775
0.59,57114.28818287037
0.85,57114.2902662037
0.88,57114.29130787037
0.55,57114.292349537034
0.43,57114.29340277778
0.44,57114.29443287037
0.47,57114.295486111114
0.3,57114.29652777778
0.31,57114.29756944445
0.15,57114.29861111111
0.12,57114.29965277778
0.1,57114.30069444444
0.07,57114.30173611111
0.16,57114.302777777775
0.06,57114.303819444445
0.18,57114.30486111111
0.19,57114.30590277778
0.24,57114.30695601852
0.15,57114.30798611111
0.11,57114.30902777778
0.34,57114.31008101852
0.31,57114.311111111114
0.34,57114.31216435185
0.31,57114.314259259256
0.17,57114.316354166665
0.13,57114.318449074075
0.2,57114.31949074074
0.1,57114.32052083333
0.1,57114.32157407407
0.16,57114.32471064815
0.09,57114.32678240741
0.16,57114.328877314816
0.24,57114.32991898148
0.19,57114.33096064815
0.17,57114.33200231481
0.1,57114.33305555556
0.33,57114.33409722222
0.2,57114.335127314815
0.22,57114.336168981485
0.14,57114.337222222224
0.18,57114.33930555556
0.2,57114.3403587963
0.12,57114.34140046296
0.13,57114.342453703706
0.23,57114.3434837963
0.27,57114.34453703704
0.31,57114.3455787037
0.29,57114.347662037035
0.26,57114.349756944444
0.18,57114.350810185184
0.22,57114.35938657408
0.37,57114.361493055556
0.41,57114.36253472222
0.29,57114.36357638889
0.31,57114.36461805556
0.25,57114.3656712963
0.2,57114.36671296296
0.24,57114.36775462963
0.35,57114.36880787037
0.27,57114.36984953703
0.28,57114.370891203704
0.35,57114.37194444444
0.46,57114.37405092592
0.41,57114.37509259259
0.56,57114.37613425926
0.45,57114.3771875
0.43,57114.37824074074
0.43,57114.379282407404
0.38,57114.380324074074
0.33,57114.38243055555
0.38,57114.38346064815
0.57,57114.38451388889
0.37,57114.38662037037
0.3,57114.38767361111
0.31,57114.388715277775
0.35,57114.38976851852
0.31,57114.39082175926
0.24,57114.392916666664
0.33,57114.393958333334
0.28,57114.39501157407
0.27,57114.39712962963
0.18,57114.3981712963
0.2,57114.39922453704
0.34,57114.40131944444
0.24,57114.40237268519
0.24,57114.40342592593
0.25,57114.40447916667
0.25,57114.40553240741
0.29,57114.40659722222
0.37,57114.407638888886
0.36,57114.40869212963
0.25,57114.40974537037
0.27,57114.41081018518
0.3,57114.41185185185
0.41,57114.41290509259
0.36,57114.41395833333
0.3,57114.41502314815
0.29,57114.41606481482
0.31,57114.41711805556
0.32,57114.41815972222
0.26,57114.41921296297
0.27,57114.420277777775
0.27,57114.421319444446
0.2,57114.42236111111
0.23,57114.423414351855
0.26,57114.42550925926
0.24,57114.42763888889
0.2,57114.429756944446
0.16,57114.43078703704
0.18,57114.43184027778
0.26,57114.432905092595
0.36,57114.433958333335
0.55,57114.437939814816
0.39,57114.440046296295
0.44,57114.442141203705
0.4,57114.443194444444
0.37,57114.444236111114
0.31,57114.445289351854
0.31,57114.44634259259
0.21,57114.447384259256
0.21,57114.44844907407
0.18,57114.44951388889
0.14,57114.45055555556
0.17,57114.45162037037
0.12,57114.452673611115
0.19,57114.453726851854
0.18,57114.454780092594
0.19,57114.45689814815
0.31,57114.457962962966
0.22,57114.45900462963
0.43,57114.460069444445
0.28,57114.46113425926
0.33,57114.462175925924
0.24,57114.46428240741
0.27,57114.46638888889
0.21,57114.46849537037
0.29,57114.46954861111
0.23,57114.4709375
0.23,57114.47199074074
0.23,57114.47305555556
0.25,57114.47409722222
0.24,57114.47621527778
0.21,57114.478321759256
0.37,57114.48042824074
0.43,57114.482523148145
0.33,57114.4846412037
0.31,57114.48674768519
0.32,57114.4878125
0.3,57114.48886574074
0.31,57114.48991898148
0.28,57114.4909837963
0.4,57114.49203703704
0.46,57114.49309027778
0.41,57114.494155092594
0.26,57114.495208333334
0.25,57114.49627314815
0.32,57114.49732638889
0.37,57114.49837962963
0.29,57114.49943287037
0.29,57114.50048611111
0.28,57114.501550925925
0.26,57114.50261574074
0.22,57114.50472222222
0.3,57114.50578703704
0.29,57114.50685185185
0.33,57114.50790509259
0.32,57114.50895833333
0.4,57114.511087962965
0.32,57114.512141203704
0.39,57114.51320601852
0.45,57114.51427083334
0.44,57114.515335648146
0.37,57114.51640046296
0.47,57114.5174537037
0.46,57114.51850694444
0.43,57114.51957175926
0.45,57114.520636574074
0.49,57114.521678240744
0.41,57114.52274305555
0.47,57114.52380787037
0.45,57114.52486111111
0.38,57114.52842592593
0.34,57114.529502314814
0.25,57114.53055555555
