dimm,mjd
1.14,55422.23988425926
1.09,55422.24091435185
0.73,55422.241944444446
0.79,55422.24296296296
1.04,55422.245046296295
0.94,55422.24710648148
0.64,55422.248136574075
0.72,55422.24916666667
1.0,55422.25130787037
0.55,55422.25336805556
0.81,55422.25543981481
0.69,55422.25543981481
0.71,55422.25646990741
0.84,55422.25824074074
0.93,55422.260358796295
1.09,55422.261400462965
0.87,55422.26244212963
0.76,55422.26347222222
0.68,55422.26451388889
1.03,55422.265555555554
0.94,55422.26658564815
0.87,55422.26762731482
0.66,55422.26865740741
1.66,55422.26974537037
1.44,55422.27079861111
1.24,55422.271828703706
1.11,55422.27287037037
0.73,55422.27392361111
0.8,55422.2749537037
0.91,55422.27599537037
0.98,55422.277037037034
0.64,55422.2791087963
0.88,55422.28015046296
0.78,55422.28119212963
0.81,55422.28228009259
0.9,55422.283321759256
0.62,55422.284375
0.64,55422.285416666666
0.83,55422.28644675926
0.64,55422.28748842593
0.71,55422.28853009259
0.64,55422.28958333333
0.6,55422.290625
0.63,55422.29172453703
0.73,55422.29275462963
0.92,55422.29378472222
0.9,55422.29483796296
0.79,55422.29587962963
0.98,55422.29690972222
0.87,55422.297939814816
0.76,55422.29902777778
1.01,55422.30008101852
0.6,55422.30112268519
0.63,55422.30216435185
0.93,55422.30320601852
0.86,55422.304247685184
0.98,55422.30527777778
0.89,55422.30633101852
0.95,55422.30737268519
0.66,55422.30840277778
0.69,55422.30949074074
0.6,55422.310532407406
0.95,55422.311574074076
0.77,55422.312627314815
0.66,55422.31366898148
0.77,55422.31471064815
0.65,55422.31574074074
0.72,55422.316782407404
0.85,55422.317824074074
0.78,55422.32199074074
0.58,55422.32408564815
0.73,55422.32513888889
0.68,55422.328680555554
0.65,55422.32971064815
0.78,55422.33075231482
0.6,55422.33180555556
0.78,55422.33284722222
0.68,55422.33390046296
0.65,55422.33494212963
0.75,55422.33599537037
0.72,55422.33708333333
0.81,55422.338113425925
0.63,55422.339166666665
0.63,55422.340208333335
0.84,55422.341261574074
0.52,55422.34229166667
0.66,55422.34334490741
0.78,55422.34438657408
0.7,55422.34543981482
0.7,55422.34648148148
0.65,55422.34857638889
0.46,55422.34857638889
0.62,55422.34962962963
0.5,55422.35068287037
0.81,55422.35172453704
0.67,55422.35386574074
0.63,55422.35491898148
0.64,55422.35596064815
0.63,55422.35701388889
0.56,55422.35805555555
0.7,55422.3618287037
0.48,55422.36287037037
0.55,55422.364965277775
0.56,55422.364965277775
0.74,55422.366006944445
0.58,55422.36704861111
1.01,55422.36809027778
0.47,55422.36914351852
0.52,55422.37018518519
0.46,55422.37128472222
0.71,55422.37232638889
0.48,55422.37337962963
0.75,55422.37443287037
0.51,55422.37547453704
0.69,55422.3765162037
0.6,55422.37755787037
0.71,55422.378645833334
0.52,55422.379699074074
0.66,55422.38180555555
0.59,55422.383888888886
0.45,55422.38494212963
0.44,55422.38599537037
0.43,55422.388078703705
0.77,55422.389131944445
0.58,55422.390173611115
0.54,55422.391226851854
0.5,55422.39226851852
0.71,55422.39436342593
0.69,55422.395416666666
0.7,55422.396469907406
0.65,55422.397511574076
0.82,55422.398564814815
0.85,55422.399618055555
0.64,55422.400671296295
0.67,55422.40170138889
0.72,55422.40275462963
0.7,55422.40384259259
0.76,55422.40494212963
0.83,55422.40599537037
0.83,55422.40703703704
0.69,55422.40809027778
0.75,55422.40914351852
0.75,55422.41019675926
0.8,55422.411261574074
0.69,55422.414988425924
0.6,55422.41709490741
0.76,55422.41813657407
0.7,55422.41917824074
0.61,55422.42128472222
0.66,55422.422326388885
0.68,55422.423425925925
0.65,55422.424467592595
0.63,55422.425520833334
0.66,55422.426574074074
0.59,55422.427615740744
0.65,55422.42866898148
0.69,55422.42972222222
0.63,55422.43077546296
0.68,55422.431875
0.68,55422.43326388889
0.65,55422.43430555556
0.91,55422.4353587963
0.73,55422.43640046296
0.65,55422.4374537037
0.73,55422.43849537037
0.7,55422.43954861111
0.69,55422.44059027778
0.65,55422.44164351852
0.64,55422.44269675926
0.59,55422.44375
0.59,55422.44480324074
0.65,55422.4458912037
0.54,55422.44694444445
0.52,55422.44905092593
0.55,55422.450104166666
0.51,55422.451157407406
0.6,55422.453252314815
0.63,55422.454305555555
0.56,55422.455358796295
0.65,55422.456400462965
0.6,55422.457453703704
0.6,55422.45956018518
0.53,55422.46060185185
0.47,55422.46165509259
0.6,55422.46270833333
0.6,55422.46376157407
0.65,55422.464849537035
0.54,55422.46591435185
0.5,55422.46800925926
0.52,55422.4690625
0.66,55422.47011574074
0.44,55422.47116898148
0.53,55422.47226851852
0.56,55422.47332175926
0.71,55422.47436342593
0.67,55422.47541666667
0.67,55422.476481481484
0.71,55422.477534722224
0.63,55422.479629629626
0.51,55422.480717592596
1.34,55422.48320601852
1.42,55422.48425925926
1.15,55422.4853125
1.12,55422.486354166664
1.11,55422.48741898148
1.13,55422.48847222222
1.12,55422.48952546297
1.07,55422.490578703706
1.09,55422.492743055554
1.0,55422.493796296294
1.18,55422.49484953703
0.83,55422.49590277778
0.93,55422.49696759259
1.05,55422.498020833336
0.99,55422.499074074076
0.81,55422.500127314815
0.82,55422.50119212963
0.83,55422.50329861111
0.86,55422.50435185185
1.05,55422.50545138889
0.93,55422.50650462963
0.71,55422.507569444446
0.72,55422.509675925925
0.88,55422.51179398148
0.9,55422.51284722222
0.95,55422.51390046296
1.32,55422.514965277776
0.93,55422.516018518516
0.87,55422.517060185186
0.81,55422.51918981481
0.87,55422.52028935185
1.18,55422.52135416667
1.5,55422.52240740741
1.22,55422.52347222222
1.5,55422.52452546296
1.1,55422.52559027778
1.55,55422.52664351852
1.15,55422.527708333335
1.14,55422.528819444444
1.21,55422.52988425926
0.76,55422.5309375
0.99,55422.53199074074
0.99,55422.53579861111
0.72,55422.5390625
0.71,55422.54010416667
0.8,55422.54116898148
0.8,55422.54224537037
0.87,55422.54329861111
0.83,55422.54435185185
0.71,55422.54646990741
0.62,55422.55008101852
0.69,55422.55113425926
0.55,55422.552199074074
0.68,55422.553252314814
0.69,55422.55430555555
0.58,55422.55537037037
0.58,55422.55642361111
0.68,55422.55746527778
0.82,55422.55851851852
0.59,55422.559583333335
0.55,55422.561689814815
0.62,55422.56275462963
0.6,55422.56380787037
0.58,55422.56487268519
0.72,55422.566979166666
0.71,55422.56804398148
0.55,55422.5691087963
0.64,55422.57016203704
0.85,55422.571226851855
0.72,55422.572280092594
0.81,55422.573379629626
0.67,55422.57444444444
0.7,55422.57549768518
0.69,55422.57655092593
0.62,55422.57760416667
0.56,55422.578668981485
0.53,55422.579722222225
0.57,55422.580775462964
1.02,55422.58184027778
0.73,55422.58290509259
0.73,55422.586597222224
0.64,55422.58766203704
0.68,55422.58875
0.71,55422.58982638889
0.83,55422.59087962963
0.76,55422.592997685184
0.69,55422.59511574074
0.55,55422.59622685185
0.66,55422.598344907405
0.6,55422.60045138889
0.58,55422.60152777778
0.66,55422.60258101852
0.65,55422.60472222222
0.56,55422.605787037035
0.61,55422.60686342593
0.67,55422.610439814816
0.8,55422.61150462963
0.84,55422.61255787037
0.78,55422.61362268519
0.62,55422.6146875
0.66,55422.6159837963
0.71,55422.61703703704
1.19,55422.618113425924
0.7,55422.619166666664
