dimm,mjd
0.47,55423.239166666666
0.4,55423.24019675926
0.45,55423.24122685185
0.42,55423.242268518516
0.49,55423.24329861111
0.45,55423.2443287037
0.38,55423.24539351852
0.32,55423.24642361111
0.39,55423.247465277775
0.38,55423.24849537037
0.35,55423.24952546296
0.36,55423.250555555554
0.32,55423.251597222225
0.34,55423.25262731482
0.37,55423.253657407404
0.35,55423.2547337963
0.35,55423.25576388889
0.36,55423.2575
0.35,55423.25853009259
0.32,55423.259560185186
0.38,55423.26060185185
0.31,55423.26164351852
0.39,55423.26273148148
0.37,55423.263761574075
0.43,55423.26480324074
0.42,55423.26583333333
0.44,55423.266863425924
0.42,55423.267905092594
0.48,55423.26997685185
0.39,55423.27101851852
0.45,55423.272048611114
0.34,55423.27307870371
0.43,55423.27412037037
0.31,55423.27516203704
0.47,55423.276192129626
0.51,55423.27722222222
0.41,55423.27826388889
0.46,55423.28034722222
0.36,55423.28138888889
0.4,55423.28246527778
0.45,55423.28350694444
0.35,55423.28454861111
0.37,55423.28662037037
0.43,55423.28765046296
0.35,55423.28869212963
0.31,55423.28973379629
0.28,55423.29076388889
0.27,55423.291817129626
0.31,55423.29284722222
0.28,55423.29493055555
0.34,55423.29597222222
0.34,55423.297002314815
0.34,55423.29803240741
0.3,55423.29907407407
0.26,55423.30011574074
0.3,55423.301145833335
0.29,55423.3021875
0.32,55423.30322916667
0.35,55423.30427083333
0.26,55423.3053125
0.23,55423.306342592594
0.26,55423.30739583333
0.3,55423.3084375
0.33,55423.30946759259
0.3,55423.31155092592
0.29,55423.31259259259
0.28,55423.31363425926
0.26,55423.314675925925
0.37,55423.31854166667
0.26,55423.31957175926
0.25,55423.32061342592
0.22,55423.32168981482
0.24,55423.32273148148
0.25,55423.32377314815
0.25,55423.32481481481
0.27,55423.32585648148
0.28,55423.326898148145
0.24,55423.32795138889
0.26,55423.328993055555
0.24,55423.33002314815
0.23,55423.33107638889
0.27,55423.33315972222
0.24,55423.33525462963
0.24,55423.33629629629
0.21,55423.337326388886
0.22,55423.33837962963
0.23,55423.339421296296
0.2,55423.34155092593
0.21,55423.34155092593
0.24,55423.34365740741
0.25,55423.34365740741
0.23,55423.34469907408
0.24,55423.34574074074
0.22,55423.34678240741
0.21,55423.34783564815
0.2,55423.34886574074
0.25,55423.34991898148
0.21,55423.350960648146
0.22,55423.352013888885
0.19,55423.353055555555
0.19,55423.354097222225
0.22,55423.355150462965
0.23,55423.35619212963
0.23,55423.35828703704
0.23,55423.35934027778
0.26,55423.36037037037
0.22,55423.36142361111
0.22,55423.36247685185
0.21,55423.36355324074
0.26,55423.36460648148
0.33,55423.36565972222
0.25,55423.36775462963
0.25,55423.368796296294
0.26,55423.369837962964
0.25,55423.370891203704
0.24,55423.37194444444
0.24,55423.37298611111
0.26,55423.37403935185
0.27,55423.37509259259
0.25,55423.37613425926
0.23,55423.3771875
0.25,55423.378229166665
0.22,55423.37930555556
0.27,55423.38034722222
0.24,55423.38140046296
0.25,55423.38245370371
0.24,55423.38350694445
0.23,55423.38454861111
0.23,55423.38560185185
0.24,55423.386655092596
0.24,55423.38768518518
0.2,55423.38875
0.25,55423.390856481485
0.26,55423.39189814815
0.26,55423.39293981482
0.25,55423.39399305556
0.24,55423.3950462963
0.25,55423.397141203706
0.26,55423.398194444446
0.27,55423.39923611111
0.33,55423.400289351855
0.25,55423.40133101852
0.24,55423.4034375
0.26,55423.40447916667
0.22,55423.40553240741
0.23,55423.40658564815
0.3,55423.41028935185
0.23,55423.413981481484
0.23,55423.415034722224
0.22,55423.41606481482
0.22,55423.41716435185
0.24,55423.41924768518
0.24,55423.42028935185
0.27,55423.42134259259
0.2,55423.42239583333
0.31,55423.423425925925
0.32,55423.424525462964
0.26,55423.425578703704
0.24,55423.4266087963
0.22,55423.42766203704
0.21,55423.428715277776
0.21,55423.429768518516
0.23,55423.43115740741
0.26,55423.43219907407
0.27,55423.43325231481
0.34,55423.43429398148
0.38,55423.43534722222
0.34,55423.436435185184
0.39,55423.43748842592
0.34,55423.43855324074
0.26,55423.439618055556
0.21,55423.440671296295
0.26,55423.441712962966
0.35,55423.442766203705
0.36,55423.443819444445
0.4,55423.444872685184
0.4,55423.446967592594
0.67,55423.44912037037
0.41,55423.45017361111
0.45,55423.45122685185
0.49,55423.45228009259
0.59,55423.45333333333
0.48,55423.45438657407
0.41,55423.45542824074
0.34,55423.45752314815
0.37,55423.45752314815
0.52,55423.45857638889
0.51,55423.45962962963
0.59,55423.46173611111
0.54,55423.462789351855
0.57,55423.46383101852
0.62,55423.464895833335
0.72,55423.465949074074
0.62,55423.467002314814
0.62,55423.46805555555
0.61,55423.46912037037
0.53,55423.47017361111
0.51,55423.47122685185
0.74,55423.472280092596
0.5,55423.473333333335
0.67,55423.474386574075
0.55,55423.47542824074
0.49,55423.476493055554
0.75,55423.47754629629
0.75,55423.47859953704
0.45,55423.47965277778
0.78,55423.48175925926
0.58,55423.48386574074
0.68,55423.484918981485
0.81,55423.485983796294
0.54,55423.48809027778
0.69,55423.48914351852
0.53,55423.490208333336
0.74,55423.492314814815
0.89,55423.493414351855
0.65,55423.495520833334
0.73,55423.49657407407
0.72,55423.49762731481
0.71,55423.49868055555
0.89,55423.49972222222
0.77,55423.50078703704
0.74,55423.501851851855
0.73,55423.502905092595
0.83,55423.50399305556
0.83,55423.5050462963
0.7,55423.50609953704
0.74,55423.50716435185
0.62,55423.50821759259
0.77,55423.50928240741
0.77,55423.51032407407
0.59,55423.51138888889
0.59,55423.512453703705
0.5,55423.512453703705
0.34,55423.513506944444
0.36,55423.514560185184
0.34,55423.51561342592
0.33,55423.51666666667
0.36,55423.51773148148
0.33,55423.51877314815
0.33,55423.519837962966
0.35,55423.520902777775
0.35,55423.52195601852
0.36,55423.52302083333
0.36,55423.52407407408
0.38,55423.52512731482
0.41,55423.526192129626
0.35,55423.52724537037
0.34,55423.52831018518
0.36,55423.529375
0.35,55423.53042824074
0.42,55423.531493055554
0.35,55423.532546296294
0.62,55423.53591435185
0.76,55423.53697916667
0.88,55423.53804398148
0.36,55423.539085648146
0.37,55423.541550925926
0.34,55423.54261574074
0.37,55423.543657407405
0.47,55423.54472222222
0.78,55423.54577546296
0.59,55423.54684027778
0.58,55423.54789351852
0.51,55423.54895833333
0.66,55423.55112268519
0.64,55423.55217592593
0.72,55423.55324074074
0.61,55423.554293981484
0.55,55423.55535879629
0.56,55423.55641203704
0.65,55423.55747685185
0.64,55423.558530092596
0.56,55423.559594907405
0.54,55423.560648148145
0.63,55423.56171296296
0.79,55423.56277777778
1.23,55423.56384259259
0.78,55423.56490740741
0.77,55423.56596064815
0.77,55423.567025462966
0.79,55423.568136574075
0.78,55423.569189814814
0.76,55423.5702662037
0.74,55423.57133101852
0.92,55423.572384259256
0.91,55423.57344907407
0.93,55423.575578703705
0.99,55423.576631944445
0.86,55423.57770833333
0.67,55423.57876157408
0.73,55423.57982638889
0.86,55423.5808912037
0.97,55423.58195601852
0.8,55423.58300925926
0.76,55423.584074074075
1.11,55423.58513888889
0.71,55423.58728009259
0.56,55423.58834490741
0.55,55423.58940972222
0.71,55423.590474537035
0.6,55423.591527777775
0.49,55423.59258101852
0.8,55423.59364583333
1.01,55423.594722222224
0.92,55423.595821759256
