mass,mjd
0.17,57991.2596875
0.09,57991.26175925926
0.17,57991.26798611111
0.14,57991.27005787037
0.19,57991.27108796296
0.18,57991.27315972222
0.12,57991.274189814816
0.26,57991.27731481481
0.13,57991.28041666667
0.14,57991.28145833333
0.16,57991.29053240741
0.13,57991.29157407407
0.11,57991.292974537035
0.17,57991.294016203705
0.19,57991.29505787037
0.16,57991.29607638889
0.13,57991.29712962963
0.16,57991.298171296294
0.14,57991.299212962964
0.12,57991.30025462963
0.1,57991.30128472222
0.12,57991.30232638889
0.11,57991.30336805555
0.09,57991.305439814816
0.1,57991.30648148148
0.1,57991.307534722226
0.08,57991.30960648148
0.11,57991.31065972222
0.19,57991.31170138889
0.25,57991.312743055554
0.25,57991.313796296294
0.18,57991.31484953704
0.29,57991.31587962963
0.31,57991.31693287037
0.32,57991.317974537036
0.25,57991.319016203706
0.16,57991.320069444446
0.19,57991.32111111111
0.19,57991.32215277778
0.18,57991.32320601852
0.21,57991.32424768519
0.15,57991.32633101852
0.15,57991.327372685184
0.22,57991.32842592592
0.19,57991.32946759259
0.17,57991.330509259256
0.15,57991.3315625
0.28,57991.332604166666
0.22,57991.333657407406
0.22,57991.334699074076
0.2,57991.33574074074
0.15,57991.33678240741
0.25,57991.33888888889
0.31,57991.3409837963
0.19,57991.34202546296
0.17,57991.34306712963
0.12,57991.34412037037
0.15,57991.34516203704
0.13,57991.34621527778
0.14,57991.34724537037
0.13,57991.34829861111
0.11,57991.34935185185
0.15,57991.35039351852
0.17,57991.35142361111
0.18,57991.352476851855
0.1,57991.35457175926
0.17,57991.35561342593
0.26,57991.35666666667
0.23,57991.35875
0.31,57991.36084490741
0.42,57991.362962962965
0.48,57991.362962962965
0.34,57991.36574074074
0.28,57991.36783564815
0.29,57991.36991898148
0.26,57991.37096064815
0.31,57991.37200231481
0.34,57991.37409722222
0.26,57991.37619212963
0.39,57991.381898148145
0.22,57991.38295138889
0.33,57991.38398148148
0.36,57991.385034722225
0.51,57991.38607638889
0.39,57991.3881712963
0.19,57991.39027777778
0.34,57991.39236111111
0.38,57991.39445601852
0.48,57991.39549768518
0.55,57991.39655092593
0.21,57991.39759259259
0.32,57991.39864583333
0.09,57991.3996875
0.21,57991.400729166664
0.14,57991.40179398148
0.26,57991.40283564815
0.12,57991.40388888889
0.09,57991.40493055555
0.07,57991.40597222222
0.11,57991.40702546296
0.18,57991.41018518519
0.17,57991.41122685185
0.15,57991.41228009259
0.27,57991.414375
0.29,57991.41542824074
0.2,57991.41645833333
0.24,57991.41751157407
0.3,57991.41856481481
0.37,57991.41962962963
0.17,57991.42065972222
0.17,57991.42171296296
0.3,57991.4227662037
0.31,57991.42381944445
0.23,57991.42487268519
0.21,57991.42590277778
0.22,57991.42695601852
0.31,57991.4290625
0.2,57991.43116898148
0.14,57991.43221064815
0.09,57991.43537037037
0.11,57991.437476851854
0.15,57991.43958333333
0.24,57991.442719907405
0.27,57991.454305555555
0.11,57991.45746527778
0.1,57991.460625
0.2,57991.465891203705
0.24,57991.46693287037
0.32,57991.467986111114
0.17,57991.46905092592
0.27,57991.47010416666
0.28,57991.47115740741
0.11,57991.47221064815
0.11,57991.475381944445
0.13,57991.476435185185
0.09,57991.478541666664
0.18,57991.48064814815
0.2,57991.48310185185
0.09,57991.484143518515
0.16,57991.48520833333
0.28,57991.48732638889
0.06,57991.48837962963
0.2,57991.489432870374
0.2,57991.49153935185
0.39,57991.49260416667
0.23,57991.49364583333
0.19,57991.49469907407
0.25,57991.49575231481
0.16,57991.49681712963
0.21,57991.49787037037
0.23,57991.498923611114
0.27,57991.499976851854
0.21,57991.50104166667
0.2,57991.504328703704
0.07,57991.510659722226
0.06,57991.511712962965
0.13,57991.51278935185
0.09,57991.51384259259
0.22,57991.51489583333
0.09,57991.51594907408
0.1,57991.517013888886
0.17,57991.5180787037
0.2,57991.51914351852
0.48,57991.52019675926
0.4,57991.52125
0.31,57991.52337962963
0.39,57991.52443287037
0.44,57991.52549768519
0.33,57991.526550925926
0.31,57991.527604166666
0.38,57991.52866898148
0.45,57991.52972222222
0.39,57991.53078703704
0.33,57991.53184027778
0.36,57991.53291666666
0.4,57991.53396990741
0.39,57991.53502314815
0.27,57991.536087962966
0.2,57991.5375
0.22,57991.53857638889
0.34,57991.539618055554
0.33,57991.54068287037
0.36,57991.54174768519
0.32,57991.5428125
0.35,57991.54386574074
0.32,57991.54491898148
0.35,57991.5459837963
0.33,57991.54704861111
0.43,57991.548101851855
0.36,57991.549155092594
0.42,57991.550208333334
0.38,57991.55126157407
0.4,57991.552349537036
0.28,57991.55341435185
0.42,57991.55446759259
0.47,57991.55552083333
0.4,57991.556597222225
0.45,57991.557650462964
0.6,57991.55871527778
0.5,57991.55976851852
0.22,57991.56083333334
0.26,57991.561898148146
0.17,57991.56296296296
0.27,57991.5640162037
0.25,57991.56508101852
0.15,57991.566145833334
0.21,57991.569340277776
0.19,57991.570393518516
0.09,57991.57145833333
0.13,57991.57252314815
0.09,57991.573587962965
0.12,57991.57571759259
0.17,57991.57678240741
0.11,57991.5778587963
0.15,57991.57892361111
0.09,57991.579988425925
0.08,57991.58105324074
0.12,57991.58424768518
