mass,mjd
0.18,57977.26090277778
0.15,57977.26813657407
0.16,57977.27228009259
0.11,57977.276412037034
0.07,57977.28262731482
0.09,57977.28469907407
0.1,57977.29819444445
0.18,57977.30650462963
0.07,57977.307546296295
0.1,57977.308587962965
0.06,57977.310648148145
0.1,57977.31171296296
0.13,57977.312743055554
0.13,57977.31482638889
0.07,57977.33138888889
0.06,57977.33243055556
0.07,57977.3334837963
0.08,57977.33451388889
0.1,57977.33555555555
0.09,57977.33660879629
0.12,57977.33765046296
0.1,57977.338692129626
0.1,57977.339733796296
0.16,57977.340775462966
0.15,57977.34181712963
0.17,57977.34284722222
0.32,57977.34390046296
0.21,57977.34494212963
0.14,57977.345983796295
0.14,57977.34706018519
0.14,57977.34810185185
0.12,57977.34914351852
0.12,57977.35018518518
0.1,57977.35122685185
0.1,57977.35228009259
0.14,57977.353321759256
0.08,57977.354363425926
0.1,57977.355405092596
0.12,57977.35644675926
0.09,57977.3575
0.13,57977.35853009259
0.12,57977.35958333333
0.11,57977.360613425924
0.14,57977.361666666664
0.26,57977.362708333334
0.22,57977.36375
0.23,57977.364803240744
0.29,57977.36584490741
0.38,57977.36688657408
0.31,57977.36792824074
0.31,57977.36898148148
0.25,57977.37001157407
0.3,57977.37106481481
0.23,57977.37210648148
0.2,57977.373148148145
0.17,57977.37420138889
0.17,57977.37525462963
0.12,57977.376296296294
0.12,57977.37734953704
0.06,57977.3783912037
0.07,57977.37943287037
0.11,57977.38049768518
0.14,57977.38153935185
0.16,57977.38259259259
0.15,57977.38363425926
0.13,57977.384675925925
0.12,57977.385729166665
0.12,57977.386782407404
0.17,57977.387824074074
0.24,57977.388877314814
0.2,57977.38993055555
0.22,57977.39096064815
0.3,57977.392013888886
0.27,57977.39306712963
0.38,57977.39412037037
0.29,57977.39517361111
0.32,57977.396215277775
0.41,57977.397256944445
0.47,57977.398310185185
0.56,57977.399351851855
0.41,57977.400405092594
0.41,57977.401458333334
0.52,57977.40251157407
0.22,57977.40355324074
0.16,57977.40460648148
0.19,57977.40565972222
0.13,57977.40671296296
0.1,57977.40775462963
0.09,57977.40880787037
0.1,57977.40986111111
0.12,57977.41090277778
0.12,57977.411944444444
0.11,57977.412997685184
0.09,57977.414039351854
0.11,57977.41509259259
0.12,57977.42099537037
0.08,57977.42412037037
0.1,57977.42832175926
0.06,57977.43986111111
0.11,57977.44196759259
0.07,57977.45143518518
0.08,57977.45248842592
0.07,57977.45353009259
0.23,57977.45458333333
0.17,57977.45563657407
0.21,57977.45668981481
0.12,57977.45773148148
0.19,57977.45878472222
0.16,57977.45983796296
0.17,57977.46090277778
0.23,57977.46299768519
0.16,57977.473541666666
0.18,57977.49569444444
0.2,57977.49780092593
0.17,57977.49990740741
0.08,57977.50202546296
0.06,57977.5030787037
0.06,57977.50413194444
0.11,57977.505208333336
0.09,57977.50730324074
0.14,57977.508368055554
0.14,57977.509421296294
0.14,57977.513657407406
0.09,57977.51472222222
0.24,57977.51577546296
0.14,57977.51684027778
0.09,57977.51789351852
0.13,57977.52212962963
0.08,57977.52423611111
0.06,57977.52741898148
0.08,57977.53166666667
0.13,57977.53590277778
0.1,57977.54244212963
0.17,57977.54457175926
0.13,57977.545636574076
0.5,57977.546689814815
0.43,57977.547743055555
0.36,57977.54880787037
0.42,57977.54986111111
0.44,57977.55092592593
0.14,57977.55197916667
0.21,57977.55304398148
0.08,57977.5541087963
0.23,57977.555185185185
0.21,57977.55625
0.36,57977.55731481482
0.22,57977.55836805556
0.24,57977.559432870374
0.2,57977.56048611111
0.27,57977.56155092592
0.23,57977.56261574074
0.3,57977.563680555555
0.31,57977.56474537037
0.3,57977.565787037034
0.26,57977.56685185185
0.43,57977.56791666667
0.62,57977.56896990741
0.39,57977.57003472222
0.41,57977.57109953704
0.27,57977.572164351855
0.2,57977.573229166665
0.31,57977.574282407404
0.24,57977.5753587963
0.42,57977.57642361111
0.14,57977.57748842592
0.09,57977.57854166667
0.11,57977.58173611111
0.16,57977.58280092593
0.14,57977.583865740744
0.18,57977.58497685185
0.31,57977.586435185185
0.28,57977.587800925925
0.42,57977.58917824074
0.35,57977.59060185185
0.41,57977.59166666667
0.44,57977.59273148148
0.45,57977.5937962963
0.44,57977.59486111111
0.4,57977.595925925925
0.17,57977.59699074074
0.21,57977.59805555556
0.19,57977.59912037037
0.25,57977.600173611114
0.22,57977.60123842592
0.27,57977.60230324074
0.26,57977.603368055556
0.18,57977.60443287037
0.14,57977.60550925926
0.24,57977.60658564815
0.19,57977.60765046296
0.21,57977.608715277776
0.22,57977.60978009259
0.28,57977.61084490741
0.11,57977.611909722225
0.23,57977.612974537034
0.17,57977.61405092593
