mass,mjd
0.15,57989.25270833333
0.08,57989.25373842593
0.09,57989.2575462963
0.2,57989.26373842593
0.21,57989.26476851852
0.23,57989.265810185185
0.11,57989.2668287037
0.24,57989.26787037037
0.15,57989.26993055556
0.06,57989.27097222222
0.2,57989.2740625
0.07,57989.29450231481
0.14,57989.29553240741
0.15,57989.29657407408
0.14,57989.29761574074
0.15,57989.29865740741
0.19,57989.2996875
0.2,57989.300729166665
0.22,57989.301770833335
0.46,57989.3028125
0.25,57989.30385416667
0.18,57989.30489583333
0.16,57989.305925925924
0.19,57989.306967592594
0.24,57989.30800925926
0.22,57989.30903935185
0.15,57989.31008101852
0.11,57989.31113425926
0.12,57989.3121875
0.14,57989.31321759259
0.13,57989.31793981481
0.12,57989.31898148148
0.11,57989.32001157408
0.12,57989.321076388886
0.1,57989.32210648148
0.06,57989.32314814815
0.1,57989.32420138889
0.1,57989.32523148148
0.1,57989.326261574075
0.11,57989.32730324074
0.13,57989.32834490741
0.12,57989.32938657407
0.11,57989.33042824074
0.13,57989.33146990741
0.14,57989.3325
0.14,57989.333553240744
0.13,57989.33459490741
0.1,57989.335960648146
0.13,57989.337002314816
0.13,57989.33804398148
0.12,57989.33908564815
0.16,57989.34012731481
0.16,57989.34116898148
0.15,57989.342210648145
0.11,57989.392164351855
0.07,57989.52280092592
0.13,57989.538402777776
0.22,57989.54048611111
0.1,57989.54256944444
0.07,57989.54361111111
0.14,57989.544652777775
0.17,57989.54568287037
0.19,57989.547800925924
0.12,57989.55092592593
0.1,57989.55195601852
0.15,57989.55333333334
0.15,57989.554375
0.2,57989.55541666667
0.11,57989.55645833333
0.11,57989.55751157407
0.13,57989.55856481481
0.28,57989.559594907405
0.25,57989.560636574075
0.21,57989.56167824074
0.1,57989.562731481485
0.06,57989.56585648148
0.09,57989.56690972222
0.2,57989.56793981481
0.18,57989.57003472222
0.12,57989.57212962963
0.2,57989.57525462963
0.13,57989.57630787037
0.12,57989.578414351854
0.16,57989.57946759259
0.09,57989.580509259256
0.12,57989.58259259259
0.17,57989.5846875
0.17,57989.585810185185
0.28,57989.58694444445
0.35,57989.58803240741
0.23,57989.589108796295
0.18,57989.590150462966
0.12,57989.591203703705
0.09,57989.59539351852
0.1,57989.59748842593
0.31,57989.598541666666
0.1,57989.599583333336
0.21,57989.600636574076
0.12,57989.60273148148
0.12,57989.60586805556
0.19,57989.6069212963
0.17,57989.60902777778
0.23,57989.61006944445
