mass,mjd
0.36,57972.26246527778
0.32,57972.26349537037
0.21,57972.26452546296
0.2,57972.265555555554
0.09,57972.266597222224
0.15,57972.26765046296
0.2,57972.26868055556
0.11,57972.26972222222
0.18,57972.27074074074
0.25,57972.271782407406
0.15,57972.2728125
0.15,57972.27385416667
0.17,57972.27488425926
0.26,57972.2759375
0.25,57972.27695601852
0.37,57972.27798611111
0.2,57972.279027777775
0.33,57972.28005787037
0.16,57972.28109953704
0.18,57972.28212962963
0.16,57972.283159722225
0.06,57972.28418981482
0.16,57972.285219907404
0.16,57972.286261574074
0.39,57972.28729166667
0.31,57972.28833333333
0.18,57972.289375
0.33,57972.29040509259
0.44,57972.291446759256
0.4,57972.29247685185
0.42,57972.29350694444
0.56,57972.29454861111
0.75,57972.295590277776
0.57,57972.296631944446
0.57,57972.29766203704
0.62,57972.2987037037
0.57,57972.299733796295
0.48,57972.30076388889
0.56,57972.30180555556
0.89,57972.30284722222
0.61,57972.30388888889
0.73,57972.304930555554
0.46,57972.30596064815
0.44,57972.30699074074
0.37,57972.30803240741
0.44,57972.3090625
0.37,57972.31010416667
0.38,57972.31149305555
0.31,57972.31253472222
0.42,57972.313576388886
0.49,57972.314618055556
1.06,57972.31565972222
0.82,57972.31667824074
0.56,57972.317719907405
0.8,57972.31875
0.7,57972.31979166667
0.34,57972.32083333333
0.29,57972.321875
0.63,57972.322916666664
0.76,57972.323958333334
0.36,57972.32498842593
0.6,57972.32603009259
0.3,57972.32708333333
0.36,57972.328125
0.4,57972.32916666667
0.2,57972.33020833333
0.19,57972.33125
0.35,57972.332291666666
0.37,57972.33332175926
0.32,57972.334375
0.37,57972.33541666667
0.37,57972.34130787037
0.31,57972.34234953704
0.34,57972.34340277778
0.33,57972.34444444445
0.36,57972.345497685186
0.42,57972.34653935185
0.49,57972.34758101852
0.51,57972.34862268518
0.54,57972.34966435185
0.53,57972.35070601852
0.54,57972.351747685185
0.46,57972.352800925924
0.41,57972.35383101852
0.42,57972.354895833334
0.35,57972.3559375
0.29,57972.356990740744
0.39,57972.35804398148
0.3,57972.359085648146
0.31,57972.360127314816
0.33,57972.36116898148
0.41,57972.36219907407
0.29,57972.36324074074
0.34,57972.364282407405
0.34,57972.365324074075
0.33,57972.366377314815
0.37,57972.367418981485
0.36,57972.36846064815
0.4,57972.36950231482
0.38,57972.37054398148
0.34,57972.37158564815
0.38,57972.37263888889
0.23,57972.37368055555
0.31,57972.37472222222
0.28,57972.37577546296
0.28,57972.37681712963
0.27,57972.377858796295
0.32,57972.378900462965
0.23,57972.37994212963
0.32,57972.38099537037
0.22,57972.38203703704
0.21,57972.3830787037
0.2,57972.38412037037
0.24,57972.38517361111
0.24,57972.38621527778
0.3,57972.38726851852
0.28,57972.38832175926
0.24,57972.38935185185
0.28,57972.39040509259
0.36,57972.39145833333
0.37,57972.3925
0.29,57972.39355324074
0.29,57972.394594907404
0.26,57972.39564814815
0.23,57972.396678240744
0.23,57972.397731481484
0.22,57972.39878472222
0.26,57972.399826388886
0.28,57972.40087962963
0.27,57972.40193287037
0.24,57972.40298611111
0.34,57972.404027777775
0.35,57972.40508101852
0.29,57972.406122685185
0.25,57972.407175925924
0.23,57972.408229166664
0.24,57972.40928240741
0.33,57972.41033564815
0.36,57972.41137731481
0.3,57972.41241898148
0.29,57972.41347222222
0.4,57972.41452546296
0.38,57972.4155787037
0.37,57972.41662037037
0.3,57972.41767361111
0.27,57972.41872685185
0.28,57972.41978009259
0.43,57972.420810185184
0.22,57972.421875
0.27,57972.42292824074
0.26,57972.42396990741
0.25,57972.42502314815
0.29,57972.42606481481
0.25,57972.42711805556
0.25,57972.4281712963
0.23,57972.43392361111
0.19,57972.43604166667
0.26,57972.43709490741
0.12,57972.43814814815
0.28,57972.44128472222
0.1,57972.442337962966
0.26,57972.443402777775
0.21,57972.445497685185
0.1,57972.446550925924
0.08,57972.44971064815
0.2,57972.45075231481
0.19,57972.45179398148
0.07,57972.45284722222
0.09,57972.45390046296
0.2,57972.45496527778
0.21,57972.45600694444
0.29,57972.45706018519
0.18,57972.45810185185
0.26,57972.45916666667
0.4,57972.46021990741
0.21,57972.46126157408
0.28,57972.46230324074
0.3,57972.46335648148
0.31,57972.464421296296
0.31,57972.465474537035
0.27,57972.466527777775
0.18,57972.467569444445
0.22,57972.46861111111
0.17,57972.469675925924
0.16,57972.470729166664
0.12,57972.47388888889
0.07,57972.47493055555
0.22,57972.47599537037
0.35,57972.477060185185
0.34,57972.478125
0.23,57972.479166666664
0.24,57972.48023148148
0.33,57972.48128472222
0.39,57972.48233796296
0.54,57972.48337962963
0.55,57972.484444444446
0.47,57972.485497685186
0.17,57972.486550925925
0.18,57972.487592592595
0.26,57972.488645833335
0.24,57972.489699074074
0.17,57972.490752314814
0.19,57972.49180555555
0.26,57972.49285879629
0.26,57972.49497685185
0.17,57972.496041666665
0.23,57972.497094907405
0.22,57972.5002662037
0.07,57972.50130787037
0.16,57972.50236111111
0.35,57972.50341435185
0.32,57972.504479166666
0.27,57972.505532407406
0.19,57972.506574074076
0.32,57972.50763888889
0.27,57972.50869212963
0.4,57972.50975694445
0.27,57972.51079861111
0.26,57972.51185185185
0.39,57972.51291666667
0.3,57972.513969907406
0.45,57972.515023148146
0.38,57972.51608796296
0.32,57972.5171412037
0.37,57972.51820601852
0.3,57972.51925925926
0.2,57972.5203125
0.26,57972.521365740744
0.32,57972.52241898148
0.2,57972.5234837963
0.26,57972.52453703704
0.23,57972.52559027778
0.21,57972.526655092595
0.1,57972.52877314815
0.15,57972.52982638889
0.2,57972.53194444445
0.11,57972.532997685186
0.2,57972.5340625
0.21,57972.53511574074
0.23,57972.53618055556
0.14,57972.53828703704
0.2,57972.53934027778
0.14,57972.54039351852
0.15,57972.54355324074
0.16,57972.54461805556
0.17,57972.5456712963
0.26,57972.54673611111
0.1,57972.547789351855
0.19,57972.54990740741
0.18,57972.55096064815
0.11,57972.55202546297
0.2,57972.553078703706
0.07,57972.55636574074
0.23,57972.55743055556
0.25,57972.558483796296
0.3,57972.55954861111
0.15,57972.560590277775
0.34,57972.56166666667
0.26,57972.562731481485
0.34,57972.563796296294
0.45,57972.564837962964
0.48,57972.56590277778
0.38,57972.56696759259
0.35,57972.568032407406
0.28,57972.569085648145
0.24,57972.57016203704
0.26,57972.571226851855
0.19,57972.572291666664
0.22,57972.57335648148
0.24,57972.574421296296
0.27,57972.575474537036
0.22,57972.576527777775
0.27,57972.57759259259
0.25,57972.57864583333
0.31,57972.57971064815
0.37,57972.58078703703
0.23,57972.58185185185
0.48,57972.58290509259
0.2,57972.583958333336
0.53,57972.58505787037
0.88,57972.586226851854
0.45,57972.587326388886
0.13,57972.58859953703
0.38,57972.58967592593
0.52,57972.59074074074
0.22,57972.59180555555
0.36,57972.5928587963
0.4,57972.59391203704
0.39,57972.594976851855
0.27,57972.596041666664
0.3,57972.59710648148
0.12,57972.59815972222
0.16,57972.599224537036
0.18,57972.60028935185
0.31,57972.60135416667
0.24,57972.602430555555
0.22,57972.603483796294
0.2,57972.60561342593
0.15,57972.60667824074
0.08,57972.60880787037
