masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
1.55e-22,4.6e-17,1.1299999999999999e-16,1.82e-15,1.35e-14,9.48e-15,0.14,57975.260416666664
6.110000000000001e-26,9.570000000000001e-21,1.05e-19,6.41e-17,1.23e-14,7.32e-15,0.12,57975.26144675926
1.38e-22,2.7100000000000003e-15,1.99e-15,4.2399999999999995e-15,7.98e-15,9.66e-15,0.14,57975.26248842593
8.98e-15,8.38e-15,7.39e-23,3.44e-15,8.300000000000001e-16,1.12e-14,0.16,57975.26353009259
1.27e-21,2.4500000000000004e-16,3.5299999999999997e-19,1.1e-14,1.47e-16,1.27e-14,0.13,57975.26458333333
2.36e-23,5.6200000000000006e-15,2.73e-19,3.4200000000000004e-15,4.51e-17,1.48e-14,0.13,57975.26561342592
1.1800000000000002e-19,1.74e-14,1.32e-21,6.37e-22,7.900000000000001e-22,1.01e-14,0.15,57975.26665509259
2.99e-14,4.0099999999999995e-18,6.86e-17,6.52e-15,2.51e-15,8.25e-15,0.2,57975.26770833333
6.640000000000001e-23,8.270000000000001e-22,5.12e-21,2.77e-16,1.07e-14,8.959999999999999e-15,0.12,57975.26872685185
4.5400000000000004e-24,6.67e-15,5.25e-18,9.45e-15,2.98e-15,1.14e-14,0.16,57975.26975694444
1.19e-21,1.75e-20,4.1200000000000005e-21,5.82e-17,9.68e-15,8.84e-15,0.12,57975.27079861111
9.94e-16,8.37e-15,2.0300000000000002e-21,1.01e-15,5.5e-15,9.429999999999999e-15,0.14,57975.271828703706
2.17e-22,4.85e-17,2.8300000000000004e-21,8.64e-15,1.1199999999999999e-15,1.21e-14,0.13,57975.2728587963
7.240000000000001e-23,3.0199999999999998e-15,3.3e-16,5.86e-15,1.88e-15,1.34e-14,0.14,57975.273888888885
2.4099999999999997e-22,1.06e-21,1.6299999999999996e-20,1.5900000000000002e-16,1.65e-14,1.15e-14,0.15,57975.274930555555
1.8e-22,1.5e-23,8.499999999999999e-20,3.6600000000000003e-16,1.9e-14,1.29e-14,0.16,57975.27596064815
1.89e-21,1.3400000000000002e-23,3.74e-19,5.17e-17,2.17e-14,1.28e-14,0.17,57975.27699074074
1.8399999999999998e-22,4.76e-20,1.9e-20,6.15e-16,1.95e-14,1.13e-14,0.16,57975.278032407405
2.38e-22,1.0499999999999999e-22,2.8899999999999997e-21,1.82e-15,1.19e-14,1.27e-14,0.14,57975.279074074075
1.8e-22,1.54e-14,2.43e-16,2.1399999999999997e-15,7.12e-15,1.34e-14,0.18,57975.28011574074
2.02e-21,1.46e-15,2.26e-15,8.71e-15,9.540000000000001e-15,1.16e-14,0.16,57975.28114583333
4.23e-22,1.64e-21,8.34e-20,3.7e-16,2.52e-14,1.06e-14,0.17,57975.2821875
5.19e-22,3.9099999999999997e-22,1.94e-20,3.3199999999999997e-16,2.14e-14,1.11e-14,0.16,57975.283217592594
1.7499999999999998e-21,1.76e-23,1.6000000000000002e-19,1.42e-16,1.18e-14,1.09e-14,0.13,57975.28424768519
3.55e-23,1.83e-15,1.09e-15,1.04e-14,1.01e-14,1.5e-14,0.18,57975.28528935185
