masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
1.1199999999999999e-13,3.54e-14,6.529999999999999e-19,1.15e-13,6.07e-14,6.88e-14,0.72,55319.26246527778
1.0199999999999999e-12,2.87e-22,1.47e-21,1.1e-14,4.1300000000000004e-22,5.66e-14,1.32,55319.26447916667
3.97e-14,1.62e-21,9.92e-15,4.79e-14,4.94e-14,2.55e-14,0.44,55319.28260416666
1.59e-13,4.42e-16,1.12e-14,1.77e-13,2.14e-14,7.23e-14,0.78,55319.28361111111
2.8699999999999994e-13,1.8499999999999997e-21,4.2e-14,1.2799999999999998e-13,2.94e-14,3.34e-14,0.86,55319.28563657407
5.5e-16,2.55e-21,8.390000000000001e-15,2.27e-13,4.79e-14,,0.66,55319.32295138889
5.5e-16,2.55e-21,8.390000000000001e-15,2.27e-13,4.79e-14,5.01e-14,0.66,55319.32295138889
3.7200000000000003e-13,3.0499999999999996e-17,5.64e-14,6.08e-14,5.82e-15,4.13e-14,0.88,55319.341145833336
1.1900000000000002e-13,1.14e-14,2.79e-14,2.4e-13,8.04e-14,5.87e-14,0.88,55319.36032407408
1.1799999999999999e-20,9.32e-14,8.57e-16,1.7800000000000002e-13,4.89e-14,5.44e-14,1.0,55319.36238425926
1.1799999999999999e-20,9.32e-14,2.08e-13,1.55e-13,1.58e-13,5.34e-14,1.0,55319.36238425926
1.4800000000000002e-21,2.47e-14,4.16e-14,2.4100000000000003e-13,1.35e-13,6.47e-14,0.85,55319.363391203704
7.92e-22,2.58e-14,9.78e-15,2.5499999999999997e-13,1.1599999999999999e-13,7.77e-14,0.83,55319.36440972222
3.88e-15,6.64e-14,3e-16,1.24e-13,8.25e-14,5.75e-14,0.66,55319.36540509259
1.99e-21,2.51e-15,1.46e-14,1.3800000000000002e-13,6.7e-14,4.68e-14,0.58,55319.36640046296
1.2099999999999999e-23,2.4e-14,4.91e-14,1.6200000000000002e-13,1.16e-14,4.91e-14,0.61,55319.36739583333
4.2400000000000005e-24,3.82e-14,5.2e-14,2.02e-13,6.94e-14,5.93e-14,0.76,55319.368414351855
4.83e-22,2.2800000000000002e-21,2.27e-14,1.9600000000000002e-13,6.57e-14,4.9e-14,0.66,55319.36943287037
6.18e-22,1.1100000000000001e-21,2.11e-20,1.35e-13,1.0699999999999999e-13,3.24e-14,0.59,55319.37045138889
1.4599999999999998e-23,8.58e-22,9.399999999999999e-21,1.3900000000000001e-13,1.17e-13,3.4e-14,0.62,55319.37248842593
1.4599999999999998e-23,3.38e-23,3.94e-15,1.93e-13,5.62e-14,4.64e-14,0.62,55319.37248842593
,,,,,4.64e-14,0.52,55319.37349537037
3.38e-22,3.05e-15,2.01e-19,1.18e-13,6.79e-14,3.39e-14,0.52,55319.37349537037
1.92e-23,2.5900000000000003e-22,1.9e-20,1.17e-13,1.14e-14,4.01e-14,0.44,55319.37451388889
1.07e-21,3.75e-15,8.500000000000001e-19,6.35e-14,5.76e-14,2.53e-14,0.41,55319.37553240741
,,,,,,0.54,55319.37755787037
3.9700000000000002e-25,2.43e-22,1.46e-16,8.68e-14,1.1199999999999999e-13,4.03e-14,0.54,55319.37755787037
3.9700000000000002e-25,2.43e-22,1.46e-16,8.68e-14,1.1199999999999999e-13,4.03e-14,0.33,55319.37856481481
1.8300000000000002e-22,7.38e-22,7.3e-21,5.9e-14,5.8e-15,3.98e-14,0.33,55319.37856481481
7.68e-14,1.85e-15,2.37e-21,4.31e-14,1.0300000000000002e-13,3.14e-14,0.56,55319.395949074074
8.690000000000001e-23,1.08e-21,4.1799999999999996e-19,1.26e-13,1.1400000000000002e-13,3.51e-14,0.59,55319.43042824074
4.7800000000000004e-23,3.97e-15,2.01e-14,6.89e-14,2.29e-14,2.15e-14,0.39,55319.44770833333
2.39e-13,3.6200000000000005e-23,1.06e-14,3.85e-14,3.9600000000000004e-15,1.75e-14,0.63,55319.44871527778
,,,,,,0.49,55319.46797453704
1.4400000000000001e-21,5.85e-23,3.43e-14,9.7e-14,4.53e-14,2.81e-14,0.49,55319.46797453704
1.1599999999999999e-21,1.3e-16,1.02e-14,1.1100000000000001e-13,3.33e-14,2.03e-14,0.45,55319.47
9.500000000000001e-22,2.8999999999999996e-23,4.59e-14,1.05e-13,3.66e-14,2.92e-14,0.51,55319.47
,,,,3.66e-14,2.92e-14,0.44,55319.47101851852
2.15e-23,9.42e-22,4.76e-14,6.59e-14,3.33e-14,2.22e-14,0.44,55319.47101851852
,,,6.59e-14,3.33e-14,2.22e-14,0.53,55319.47204861111
2.95e-22,5.61e-16,7.16e-14,1.23e-13,1.24e-14,2.52e-14,0.53,55319.47204861111
1.0900000000000001e-21,3.8600000000000003e-22,1.68e-14,1.22e-13,3.06e-15,2.77e-14,0.44,55319.47305555556
1.01e-15,9.87e-15,5.9e-15,5.91e-14,7.28e-15,2.59e-14,0.34,55319.47409722222
8.47e-18,1.14e-14,2.2000000000000002e-20,4.91e-14,4.67e-14,2.45e-14,0.38,55319.47509259259
8.2e-22,1.7099999999999998e-22,1.19e-20,6.51e-14,5.88e-15,2.54e-14,0.31,55319.47861111111
6.83e-23,4.129999999999999e-23,1.15e-16,8.21e-14,8.51e-15,2.98e-14,0.36,55319.47961805556
5.29e-22,1.5e-21,1.55e-15,4.97e-14,2.24e-14,2.47e-14,0.32,55319.48063657407
3.6700000000000007e-23,2.27e-22,1.0599999999999999e-19,4.74e-14,4.88e-14,1.45e-14,0.34,55319.48165509259
5.68e-22,2.54e-22,5.08e-22,6.06e-14,7.63e-14,1.08e-14,0.41,55319.48268518518
