mass,mjd
0.2,56876.359375
0.23,56876.360439814816
0.31,56876.361493055556
0.24,56876.36255787037
0.25,56876.363599537035
0.29,56876.36466435185
0.37,56876.38033564815
0.32,56876.38140046296
0.26,56876.38245370371
0.29,56876.38354166667
0.29,56876.38458333333
0.22,56876.385659722226
0.22,56876.386712962965
0.18,56876.38778935185
0.25,56876.38884259259
0.28,56876.38990740741
0.21,56876.39096064815
0.24,56876.392013888886
0.22,56876.3930787037
0.2,56876.394155092596
0.18,56876.39523148148
0.16,56876.3962962963
0.18,56876.397361111114
0.23,56876.41421296296
0.21,56876.41525462963
