dimm,mjd
1.03,56873.247199074074
1.21,56873.248240740744
0.91,56873.249293981484
1.08,56873.25034722222
0.98,56873.25141203704
1.03,56873.252488425926
1.1,56873.253541666665
1.08,56873.254594907405
1.02,56873.25564814815
1.01,56873.25666666667
0.88,56873.25769675926
0.97,56873.25875
0.84,56873.259780092594
1.01,56873.26081018519
0.92,56873.26184027778
0.94,56873.26361111111
0.91,56873.26467592592
0.89,56873.26572916667
0.88,56873.26679398148
0.93,56873.26783564815
0.95,56873.268900462965
1.09,56873.269953703704
0.98,56873.27104166667
1.12,56873.27210648148
0.87,56873.273148148146
1.12,56873.274201388886
0.91,56873.2752662037
1.07,56873.27633101852
0.94,56873.277407407404
1.1,56873.2784375
1.04,56873.27947916667
0.97,56873.28053240741
0.84,56873.28157407408
0.86,56873.28262731482
0.94,56873.28369212963
0.89,56873.28474537037
0.96,56873.285844907405
0.85,56873.28690972222
1.16,56873.309525462966
1.34,56873.36651620371
1.24,56873.367581018516
1.85,56873.36863425926
1.27,56873.36969907407
1.43,56873.37075231481
1.52,56873.37181712963
1.5,56873.372881944444
1.63,56873.37391203704
1.12,56873.374976851854
1.3,56873.37601851852
1.1,56873.37708333333
