dimm,mjd
1.85,56872.27431712963
1.51,56872.275416666664
1.45,56872.27648148148
1.66,56872.27752314815
1.49,56872.27858796297
1.51,56872.279652777775
1.65,56872.280706018515
1.59,56872.28177083333
1.65,56872.2828125
1.38,56872.28386574074
1.45,56872.28491898148
1.43,56872.28597222222
1.13,56872.28702546296
1.25,56872.288090277776
2.13,56872.28915509259
2.09,56872.29020833333
1.67,56872.29125
1.91,56872.29231481482
2.07,56872.29337962963
1.8,56872.2944212963
1.88,56872.295486111114
1.87,56872.29653935185
1.57,56872.29760416667
1.72,56872.29866898148
1.51,56872.29971064815
1.46,56872.300775462965
1.78,56872.301828703705
1.74,56872.30289351852
1.51,56872.30394675926
1.5,56872.305
1.6,56872.30606481482
2.06,56872.3071412037
1.74,56872.308171296296
1.9,56872.309224537035
1.63,56872.310266203705
1.97,56872.31133101852
1.65,56872.31238425926
1.5,56872.3134375
1.51,56872.31450231482
1.67,56872.315567129626
2.25,56872.31662037037
2.75,56872.31767361111
1.54,56872.31873842593
1.26,56872.319814814815
1.83,56872.32084490741
2.17,56872.32189814815
1.55,56872.322962962964
1.39,56872.32400462963
1.37,56872.32508101852
1.64,56872.32613425926
1.44,56872.327199074076
1.52,56872.32827546296
1.42,56872.3293287037
1.61,56872.330405092594
1.8,56872.331458333334
2.01,56872.33252314815
1.73,56872.33358796296
1.66,56872.334641203706
1.96,56872.335706018515
2.22,56872.33677083333
2.34,56872.33783564815
1.87,56872.338900462964
2.29,56872.339953703704
2.55,56872.34101851852
2.29,56872.34206018518
1.72,56872.343136574076
1.91,56872.344189814816
1.99,56872.34525462963
1.78,56872.34630787037
1.82,56872.34738425926
1.73,56872.35114583333
2.08,56872.35221064815
2.27,56872.35327546296
2.4,56872.35434027778
2.02,56872.355416666665
2.45,56872.356469907405
2.48,56872.357881944445
2.24,56872.35894675926
2.2,56872.36001157408
2.29,56872.36104166666
2.1,56872.36211805556
1.22,56872.363171296296
1.65,56872.364224537036
2.75,56872.365277777775
1.86,56872.36635416667
2.13,56872.367418981485
1.92,56872.36849537037
2.04,56872.36954861111
1.76,56872.37061342593
1.5,56872.37168981481
1.75,56872.37274305556
2.18,56872.37488425926
1.9,56872.3759375
1.62,56872.37701388889
1.67,56872.37809027778
1.66,56872.37913194444
1.83,56872.38018518518
2.15,56872.38125
2.28,56872.382314814815
1.99,56872.383368055554
2.13,56872.38443287037
2.48,56872.38549768519
1.98,56872.38655092593
1.73,56872.38763888889
1.86,56872.388703703706
1.68,56872.38976851852
1.78,56872.39084490741
1.64,56872.391909722224
1.52,56872.39298611111
1.49,56872.39405092593
1.48,56872.39511574074
1.43,56872.39616898148
1.53,56872.39724537037
1.48,56872.39832175926
1.54,56872.39938657408
1.44,56872.40045138889
1.35,56872.40152777778
1.32,56872.402592592596
1.53,56872.403657407405
1.67,56872.4047337963
1.68,56872.405798611115
1.77,56872.406875
1.65,56872.40795138889
1.49,56872.40899305556
1.65,56872.41008101852
1.45,56872.411145833335
1.32,56872.412210648145
1.28,56872.41328703704
1.53,56872.4143287037
1.31,56872.41540509259
1.41,56872.41646990741
1.36,56872.41753472222
1.29,56872.41861111111
1.28,56872.41967592593
1.4,56872.42074074074
1.56,56872.4218287037
1.64,56872.42289351852
1.65,56872.42396990741
1.36,56872.42503472222
1.41,56872.42613425926
1.43,56872.427199074074
1.44,56872.42827546296
1.57,56872.43041666667
1.47,56872.431493055556
1.51,56872.43255787037
1.5,56872.43363425926
1.42,56872.43467592593
1.42,56872.435752314814
1.74,56872.436840277776
1.57,56872.437951388885
1.36,56872.43902777778
1.34,56872.440092592595
1.31,56872.44119212963
1.41,56872.44490740741
1.46,56872.445972222224
1.41,56872.44704861111
1.62,56872.448113425926
1.21,56872.44918981481
1.23,56872.45023148148
1.36,56872.45130787037
1.31,56872.45238425926
1.23,56872.45344907408
1.24,56872.454513888886
1.16,56872.45559027778
1.22,56872.456666666665
1.34,56872.45773148148
1.19,56872.45877314815
1.22,56872.459861111114
1.28,56872.46092592592
1.21,56872.462002314816
1.45,56872.4630787037
1.16,56872.46414351852
1.19,56872.465219907404
1.39,56872.4662962963
1.27,56872.467361111114
1.21,56872.4684375
1.28,56872.469513888886
1.25,56872.4705787037
1.24,56872.471655092595
1.26,56872.47269675926
1.14,56872.47377314815
1.17,56872.47484953704
1.26,56872.47591435185
1.05,56872.47699074074
