dimm,mjd
1.35,57960.250451388885
0.98,57960.25252314815
1.07,57960.253541666665
1.01,57960.254583333335
1.15,57960.25732638889
0.93,57960.258356481485
1.08,57960.25939814815
1.09,57960.260416666664
1.17,57960.26248842593
0.83,57960.26353009259
0.95,57960.264548611114
1.05,57960.265601851854
1.03,57960.26788194444
0.96,57960.26899305556
0.96,57960.2700462963
1.0,57960.27112268518
0.88,57960.27217592593
0.97,57960.27332175926
0.95,57960.27439814815
0.88,57960.27549768519
0.73,57960.27663194444
0.94,57960.27769675926
0.75,57960.27877314815
0.99,57960.27983796296
1.28,57960.28090277778
0.77,57960.28209490741
1.32,57960.283171296294
1.04,57960.28428240741
0.76,57960.285358796296
0.7,57960.286527777775
0.9,57960.28761574074
0.94,57960.28869212963
0.93,57960.289930555555
1.13,57960.29101851852
1.0,57960.29207175926
1.45,57960.29318287037
1.29,57960.294270833336
1.03,57960.29537037037
1.07,57960.29645833333
1.01,57960.29759259259
1.49,57960.29875
1.17,57960.29981481482
1.02,57960.300891203704
1.61,57960.30196759259
1.12,57960.30300925926
1.4,57960.30412037037
1.05,57960.3052662037
1.01,57960.30640046296
1.03,57960.307488425926
0.94,57960.309652777774
1.11,57960.31068287037
0.88,57960.31175925926
1.22,57960.31287037037
1.03,57960.31400462963
1.0,57960.315092592595
1.06,57960.31618055556
0.78,57960.31726851852
1.15,57960.31841435185
1.05,57960.319560185184
1.1,57960.320706018516
0.99,57960.321805555555
1.24,57960.32288194444
0.99,57960.32400462963
0.87,57960.32509259259
0.95,57960.32616898148
0.79,57960.32738425926
0.96,57960.328518518516
0.87,57960.329618055555
0.88,57960.33076388889
0.99,57960.33184027778
1.21,57960.33295138889
0.92,57960.334074074075
0.99,57960.33526620371
1.22,57960.337488425925
1.09,57960.33861111111
0.9,57960.33982638889
0.97,57960.34092592593
1.13,57960.34203703704
1.45,57960.343194444446
1.18,57960.34431712963
1.31,57960.34541666666
1.26,57960.34649305556
1.25,57960.347592592596
1.32,57960.348703703705
1.53,57960.35157407408
1.45,57960.35261574074
1.13,57960.353738425925
1.8,57960.35480324074
1.18,57960.3559375
0.87,57960.35704861111
0.76,57960.35811342593
0.83,57960.359768518516
0.93,57960.36085648148
1.14,57960.36206018519
0.95,57960.36313657407
1.29,57960.36430555556
1.24,57960.365428240744
1.08,57960.36649305555
1.02,57960.367581018516
1.07,57960.36865740741
1.01,57960.37466435185
0.9,57960.37584490741
0.97,57960.37693287037
1.01,57960.37803240741
0.9,57960.379108796296
0.9,57960.380208333336
0.96,57960.38134259259
1.04,57960.38244212963
0.97,57960.38363425926
0.99,57960.384722222225
1.31,57960.3858912037
1.12,57960.38707175926
1.35,57960.38815972222
1.19,57960.389340277776
1.2,57960.390543981484
1.02,57960.39162037037
1.01,57960.39288194444
1.04,57960.39403935185
0.87,57960.39519675926
1.67,57960.410219907404
1.93,57960.41131944444
1.32,57960.41237268518
1.23,57960.41341435185
1.37,57960.41446759259
1.55,57960.4165625
1.77,57960.41761574074
1.41,57960.41866898148
1.2,57960.41971064815
1.34,57960.42076388889
1.72,57960.42181712963
1.29,57960.42285879629
1.17,57960.42391203704
0.98,57960.4249537037
1.34,57960.426030092596
1.04,57960.427083333336
1.14,57960.428125
1.11,57960.42917824074
1.01,57960.430231481485
1.0,57960.43130787037
0.92,57960.43239583333
1.08,57960.43344907407
1.13,57960.43450231481
0.98,57960.4359375
0.9,57960.43803240741
1.0,57960.43907407407
1.01,57960.44013888889
0.99,57960.44118055556
0.85,57960.4422337963
0.89,57960.44329861111
0.89,57960.44435185185
1.07,57960.445439814815
0.98,57960.44648148148
1.25,57960.44755787037
1.02,57960.448599537034
0.88,57960.44966435185
1.08,57960.45071759259
1.09,57960.45175925926
0.99,57960.4528125
0.95,57960.45385416667
0.91,57960.45596064815
0.76,57960.45806712963
0.9,57960.46016203704
0.75,57960.46228009259
0.7,57960.4675
0.83,57960.46855324074
0.81,57960.46960648148
0.62,57960.47064814815
0.67,57960.47168981482
0.68,57960.47273148148
0.73,57960.47378472222
0.66,57960.47483796296
0.79,57960.47587962963
0.69,57960.47693287037
0.76,57960.47797453704
0.79,57960.47902777778
0.7,57960.48113425926
0.7,57960.48322916667
0.58,57960.485347222224
0.6,57960.48641203704
0.6,57960.48851851852
0.55,57960.48956018518
0.51,57960.49167824074
0.45,57960.49271990741
0.64,57960.49381944445
0.57,57960.49487268519
0.66,57960.49592592593
0.66,57960.49699074074
0.6,57960.49804398148
0.66,57960.4991087963
0.5,57960.501226851855
0.57,57960.502280092594
0.6,57960.50439814815
0.52,57960.50543981481
0.61,57960.50650462963
0.58,57960.507569444446
0.76,57960.509675925925
0.61,57960.510729166665
0.6,57960.51179398148
0.7,57960.51283564815
0.71,57960.51390046296
0.86,57960.51494212963
0.69,57960.51603009259
0.72,57960.51709490741
0.82,57960.51920138889
0.65,57960.52025462963
0.78,57960.521319444444
0.74,57960.523460648146
0.82,57960.525555555556
0.78,57960.526608796295
0.68,57960.52767361111
0.8,57960.52872685185
0.78,57960.52979166667
0.65,57960.531909722224
0.67,57960.53298611111
0.8,57960.5340625
0.72,57960.53512731481
0.58,57960.53724537037
0.69,57960.53936342592
0.62,57960.54042824074
0.74,57960.54148148148
0.62,57960.54362268518
0.65,57960.54467592593
0.57,57960.54572916667
0.63,57960.546793981484
0.59,57960.54783564815
0.64,57960.54996527778
0.54,57960.55101851852
0.54,57960.552083333336
0.48,57960.55315972222
0.53,57960.55422453704
0.56,57960.55527777778
0.58,57960.556342592594
0.51,57960.55739583333
0.69,57960.55846064815
0.6,57960.55951388889
0.58,57960.56164351852
0.62,57960.56377314815
