dimm,mjd
0.77,57961.25240740741
0.59,57961.25533564815
0.56,57961.25645833334
0.58,57961.25751157408
0.55,57961.258680555555
0.46,57961.26085648148
0.43,57961.26195601852
0.52,57961.26300925926
0.57,57961.26516203704
0.52,57961.27048611111
0.7,57961.29115740741
0.98,57961.30815972222
0.83,57961.309641203705
0.68,57961.31072916667
0.74,57961.311793981484
0.7,57961.31292824074
0.82,57961.314050925925
0.82,57961.31508101852
0.87,57961.31725694444
0.7,57961.318344907406
0.71,57961.31940972222
0.83,57961.320497685185
0.75,57961.32157407407
0.83,57961.32262731482
0.76,57961.32375
0.81,57961.32482638889
0.66,57961.32591435185
0.78,57961.32696759259
0.75,57961.32803240741
0.77,57961.32908564815
0.65,57961.33011574074
0.67,57961.33118055556
0.75,57961.33225694444
0.76,57961.33336805556
0.79,57961.334502314814
0.87,57961.33559027778
0.75,57961.33662037037
0.81,57961.33770833333
0.91,57961.33877314815
0.81,57961.339849537035
0.85,57961.34092592593
0.8,57961.34201388889
0.8,57961.34310185185
0.85,57961.34416666667
0.74,57961.345289351855
0.65,57961.34633101852
0.78,57961.34746527778
0.75,57961.34853009259
0.81,57961.34960648148
0.72,57961.350648148145
0.95,57961.35178240741
0.76,57961.35287037037
0.75,57961.35393518519
0.8,57961.35503472222
0.82,57961.356087962966
0.77,57961.35728009259
0.97,57961.358310185184
0.93,57961.359502314815
0.71,57961.360601851855
0.73,57961.361666666664
0.87,57961.36278935185
1.1,57961.36403935185
0.97,57961.36510416667
0.97,57961.366261574076
0.73,57961.37287037037
0.79,57961.374074074076
0.9,57961.37517361111
0.85,57961.376296296294
0.66,57961.37739583333
0.73,57961.37849537037
0.73,57961.37967592593
0.79,57961.38076388889
0.75,57961.3822337963
0.72,57961.38328703704
0.68,57961.384375
0.74,57961.38547453703
0.68,57961.38663194444
0.72,57961.38769675926
0.66,57961.388773148145
0.83,57961.389814814815
0.67,57961.3908912037
0.9,57961.39199074074
0.79,57961.39304398148
0.88,57961.39456018519
0.8,57961.39560185185
0.89,57961.39679398148
0.82,57961.39784722222
0.88,57961.3990162037
0.98,57961.40017361111
0.89,57961.401284722226
0.75,57961.40237268519
0.97,57961.40346064815
1.1,57961.40457175926
1.06,57961.40568287037
0.89,57961.406747685185
0.83,57961.40788194445
0.95,57961.40893518519
1.07,57961.410162037035
1.03,57961.41234953704
0.91,57961.41347222222
0.96,57961.414560185185
0.86,57961.415671296294
0.95,57961.416817129626
1.06,57961.41799768519
0.88,57961.419120370374
0.92,57961.420324074075
1.18,57961.42138888889
1.31,57961.42255787037
1.24,57961.42375
1.14,57961.424895833334
1.23,57961.42600694444
1.08,57961.427083333336
1.02,57961.428391203706
1.12,57961.429456018515
1.22,57961.430601851855
1.31,57961.43171296296
1.1,57961.432905092595
0.86,57961.434479166666
0.84,57961.436631944445
0.85,57961.43788194445
0.95,57961.474641203706
0.69,57961.47690972222
0.77,57961.478055555555
0.95,57961.48018518519
