wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
32.17,295,0.0,20,613.2,53858.416666666664
27.83,301,0.0,20,613.2,53858.42013888889
31.3,141,0.1,21,613.2,53858.42361111111
29.57,279,0.2,18,613.1,53858.427083333336
37.39,288,0.2,20,613.1,53858.430555555555
30.43,258,0.2,18,613.3,53858.43402777778
31.3,250,0.2,17,613.2,53858.4375
28.7,288,0.3,18,613.2,53858.44097222222
29.57,253,0.3,17,613.1,53858.444444444445
33.91,244,0.5,16,613.1,53858.447916666664
32.17,286,0.5,16,613.1,53858.45138888889
28.7,238,0.5,15,613.0,53858.45486111111
29.57,201,0.5,14,613.0,53858.458333333336
30.43,257,0.5,16,612.9,53858.461805555555
29.57,258,0.3,18,612.9,53858.46527777778
30.43,255,0.1,17,612.8,53858.46875
29.57,277,0.0,18,612.8,53858.47222222222
26.09,282,0.0,16,612.9,53858.475694444445
30.43,258,0.0,16,612.9,53858.479166666664
27.83,275,0.0,16,612.7,53858.48263888889
33.04,257,0.0,16,612.7,53858.48611111111
29.57,229,0.1,16,612.6,53858.489583333336
26.96,242,0.1,16,612.7,53858.493055555555
30.43,259,0.1,16,612.7,53858.49652777778
30.43,290,0.1,15,612.7,53858.5
33.04,261,0.1,15,612.7,53858.50347222222
32.17,292,0.2,13,612.7,53858.506944444445
30.43,242,0.2,14,612.5,53858.510416666664
29.57,284,0.2,14,612.5,53858.51388888889
29.57,286,0.2,14,612.3,53858.51736111111
30.43,263,0.2,14,612.2,53858.520833333336
31.3,269,0.2,13,612.3,53858.524305555555
28.7,283,0.1,14,612.1,53858.52777777778
32.17,288,0.1,14,612.2,53858.53125
33.91,292,0.2,14,612.1,53858.53472222222
33.04,290,0.2,14,612.1,53858.538194444445
32.17,280,0.2,14,612.1,53858.541666666664
31.3,228,0.2,15,612.0,53858.54513888889
34.78,290,0.2,16,611.9,53858.54861111111
36.52,290,0.2,17,611.9,53858.552083333336
34.78,229,0.1,19,611.9,53858.555555555555
33.91,277,0.0,20,611.8,53858.55902777778
35.65,258,0.0,19,611.8,53858.5625
35.65,271,-0.2,20,611.9,53858.56597222222
33.04,203,-0.2,20,611.9,53858.569444444445
35.65,260,-0.2,19,611.9,53858.572916666664
35.65,286,0.0,19,611.8,53858.57638888889
35.65,268,0.0,19,611.9,53858.57986111111
35.65,290,0.0,18,612.1,53858.583333333336
32.17,219,0.2,18,612.0,53858.586805555555
36.52,288,0.2,19,612.0,53858.59027777778
33.91,252,0.2,18,612.1,53858.59375
33.04,250,0.2,18,612.0,53858.59722222222
33.91,313,0.2,17,612.0,53858.600694444445
35.65,292,0.2,18,611.9,53858.604166666664
35.65,265,0.2,17,612.0,53858.60763888889
33.04,266,0.2,17,612.0,53858.61111111111
30.43,238,0.2,17,612.0,53858.614583333336
33.04,296,0.2,17,612.0,53858.618055555555
35.65,274,0.2,17,612.0,53858.62152777778
35.65,264,0.2,17,612.0,53858.625
31.3,293,0.0,16,611.9,53858.62847222222
35.65,275,0.0,15,612.0,53858.631944444445
36.52,306,0.0,15,612.4,53858.635416666664
33.91,295,0.0,14,612.3,53858.63888888889
35.65,298,0.0,14,612.3,53858.64236111111
37.39,301,0.0,13,612.3,53858.645833333336
36.52,292,0.0,13,612.4,53858.649305555555
34.78,298,0.0,13,612.0,53858.65277777778
34.78,276,0.0,13,611.9,53858.65625
35.65,293,0.0,13,612.2,53858.65972222222
33.04,301,0.1,12,612.2,53858.663194444445
32.17,287,0.2,13,612.2,53858.666666666664
32.17,297,0.3,13,612.4,53858.67013888889
33.91,298,0.4,13,612.3,53858.67361111111
31.3,280,0.5,13,612.5,53858.677083333336
27.83,217,0.6,13,612.5,53858.680555555555
33.04,292,0.7,13,612.6,53858.68402777778
32.17,276,0.7,13,612.7,53858.6875
33.04,301,0.7,13,612.8,53858.69097222222
29.57,298,0.8,13,612.9,53858.694444444445
30.43,305,0.9,13,613.0,53858.697916666664
30.43,290,1.0,14,613.1,53858.70138888889
28.7,294,1.1,14,613.2,53858.70486111111
32.17,296,1.1,14,613.4,53858.708333333336
25.22,302,1.1,15,613.3,53858.711805555555
25.22,266,1.1,14,613.4,53858.71527777778
31.3,273,1.2,15,613.4,53858.71875
26.09,302,1.3,15,613.6,53858.72222222222
26.96,303,1.3,15,613.7,53858.725694444445
29.57,199,1.2,16,613.7,53858.729166666664
29.57,313,1.3,14,613.8,53858.73263888889
26.09,273,1.4,15,613.8,53858.73611111111
25.22,268,1.6,14,614.0,53858.739583333336
21.74,274,1.6,13,614.1,53858.743055555555
24.35,210,1.8,13,614.1,53858.74652777778
22.61,299,1.9,12,614.1,53858.75
27.83,316,2.1,11,614.2,53858.75347222222
24.35,217,2.2,13,614.2,53858.756944444445
23.48,265,2.2,13,614.4,53858.760416666664
21.74,292,2.1,12,614.4,53858.76388888889
22.61,311,2.2,13,614.4,53858.76736111111
20.87,269,2.3,10,614.5,53858.770833333336
26.09,318,2.5,11,614.4,53858.774305555555
22.61,294,2.8,11,614.5,53858.77777777778
23.48,314,3.0,11,614.5,53858.78125
21.74,295,3.1,10,614.5,53858.78472222222
23.48,291,3.2,11,614.5,53858.788194444445
23.48,294,3.3,11,614.5,53858.791666666664
24.35,268,3.6,11,614.5,53858.79513888889
22.61,309,3.8,10,614.5,53858.79861111111
25.22,326,4.1,10,614.5,53858.802083333336
26.09,324,4.2,10,614.5,53858.805555555555
19.13,284,4.3,10,614.6,53858.80902777778
26.96,320,4.4,10,614.5,53858.8125
26.96,325,4.5,10,614.5,53858.81597222222
26.96,318,4.7,9,614.5,53858.819444444445
24.35,302,4.8,10,614.5,53858.822916666664
24.35,321,5.0,10,614.5,53858.82638888889
25.22,316,5.0,9,614.5,53858.82986111111
22.61,317,5.2,9,614.5,53858.833333333336
24.35,316,5.2,9,614.5,53858.836805555555
21.74,272,5.3,10,614.5,53858.84027777778
23.48,301,5.4,9,614.5,53858.84375
24.35,310,5.4,10,614.5,53858.84722222222
21.74,299,5.6,9,614.5,53858.850694444445
21.74,325,5.6,9,614.5,53858.854166666664
22.61,314,5.8,10,614.5,53858.85763888889
23.48,312,5.9,11,614.5,53858.86111111111
20.0,333,6.1,9,614.5,53858.864583333336
23.48,322,6.1,9,614.5,53858.868055555555
20.87,312,6.0,9,614.5,53858.87152777778
23.48,292,6.0,8,614.5,53858.875
22.61,317,6.0,10,614.4,53858.87847222222
21.74,320,6.0,9,614.4,53858.881944444445
20.0,299,5.9,11,614.5,53858.885416666664
20.87,315,6.0,11,614.4,53858.88888888889
20.0,305,6.1,9,614.4,53858.89236111111
21.74,288,6.1,11,614.3,53858.895833333336
19.13,316,5.9,11,614.4,53858.899305555555
19.13,318,5.8,11,614.3,53858.90277777778
17.39,267,5.7,11,614.3,53858.90625
20.0,310,5.5,11,614.3,53858.90972222222
20.87,318,5.2,12,614.3,53858.913194444445
19.13,314,5.3,12,614.4,53858.916666666664
20.0,316,5.4,11,614.3,53858.92013888889
18.26,297,5.2,12,614.4,53858.92361111111
16.52,294,5.4,9,614.4,53858.927083333336
14.78,293,5.4,10,614.4,53858.930555555555
16.52,336,5.8,13,614.4,53858.93402777778
18.26,303,5.9,11,614.3,53858.9375
16.52,316,6.0,9,614.2,53858.94097222222
15.65,318,6.2,8,614.3,53858.944444444445
19.13,227,6.2,11,614.2,53858.947916666664
15.65,286,6.2,10,614.1,53858.95138888889
15.65,271,5.9,11,614.1,53858.95486111111
17.39,308,5.8,14,614.1,53858.958333333336
15.65,275,5.7,9,614.0,53858.961805555555
15.65,260,5.8,17,614.0,53858.96527777778
19.13,318,5.9,12,613.9,53858.96875
20.0,313,5.9,10,613.9,53858.97222222222
20.0,289,6.0,11,613.8,53858.975694444445
