wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
13,96,-0.21,28,618.3,56065.416666666664
15,83,-0.21,28,618.3,56065.41736111111
14,88,-0.2,25,618.3,56065.41805555556
14,93,-0.16,25,618.2,56065.41875
13,87,-0.12,26,618.2,56065.419444444444
13,95,-0.1,26,618.2,56065.42013888889
16,88,-0.09,26,618.2,56065.42083333333
17,90,-0.1,26,618.2,56065.42152777778
17,88,-0.11,25,618.2,56065.42222222222
16,91,-0.08,24,618.2,56065.42291666667
15,83,-0.04,24,618.2,56065.42361111111
16,84,-0.02,25,618.2,56065.424305555556
14,90,-0.02,26,618.2,56065.425
13,85,-0.01,27,618.2,56065.42569444444
15,84,-0.02,26,618.2,56065.42638888889
17,94,-0.02,22,618.2,56065.427083333336
17,92,0.01,23,618.2,56065.427777777775
18,92,0.04,23,618.1,56065.42847222222
17,88,0.07,24,618.1,56065.42916666667
19,94,0.08,23,618.1,56065.42986111111
18,86,0.1,26,618.1,56065.430555555555
15,80,0.09,26,618.1,56065.43125
15,87,0.09,26,618.1,56065.43194444444
14,99,0.07,27,618.1,56065.43263888889
13,83,0.02,27,618.1,56065.433333333334
14,80,-0.02,27,618.1,56065.43402777778
13,92,-0.05,27,618.1,56065.43472222222
13,92,-0.08,27,618.1,56065.43541666667
11,93,-0.08,26,618.1,56065.436111111114
11,86,-0.11,27,618.1,56065.43680555555
12,96,-0.13,27,618.1,56065.4375
15,92,-0.18,26,618.1,56065.43819444445
15,89,-0.18,25,618.1,56065.438888888886
15,89,-0.18,25,618.1,56065.43958333333
13,90,-0.18,27,618.1,56065.44027777778
13,98,-0.2,27,618.0,56065.44097222222
13,93,-0.21,28,618.0,56065.441666666666
16,87,-0.25,28,618.0,56065.44236111111
16,84,-0.26,28,618.0,56065.44305555556
15,87,-0.26,28,618.0,56065.44375
13,93,-0.29,29,618.0,56065.444444444445
15,98,-0.3,29,618.0,56065.44513888889
14,90,-0.32,28,618.0,56065.44583333333
14,85,-0.32,28,617.9,56065.44652777778
15,92,-0.34,28,617.9,56065.447222222225
16,91,-0.35,29,617.9,56065.447916666664
14,87,-0.36,29,617.9,56065.44861111111
14,69,-0.35,29,617.9,56065.44930555556
15,86,-0.37,29,617.9,56065.45
16,94,-0.39,29,617.9,56065.450694444444
15,90,-0.36,29,617.9,56065.45138888889
13,101,-0.36,29,617.9,56065.45208333333
12,95,-0.36,29,617.9,56065.45277777778
13,90,-0.38,29,617.9,56065.45347222222
14,95,-0.37,29,617.9,56065.45416666667
13,94,-0.36,29,617.9,56065.45486111111
14,83,-0.36,29,617.9,56065.455555555556
14,91,-0.36,29,617.9,56065.45625
14,82,-0.35,29,617.9,56065.45694444444
15,102,-0.35,29,617.9,56065.45763888889
