wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
11.0,188.0,1.87,63.0,617.5,54951.419444444444
11.0,203.0,1.68,67.0,617.6,54951.42291666667
16.0,200.0,1.63,67.0,617.6,54951.42638888889
10.0,156.0,1.68,67.0,617.5,54951.42986111111
9.0,167.0,1.68,67.0,617.5,54951.433333333334
12.0,174.0,1.68,67.0,617.4,54951.43680555555
11.0,53.0,1.68,68.0,617.3,54951.44027777778
11.0,167.0,1.75,67.0,617.4,54951.44375
8.0,141.0,1.8,66.0,617.4,54951.447222222225
11.0,342.0,1.99,64.0,617.3,54951.450694444444
12.0,176.0,2.12,64.0,617.3,54951.45416666667
8.0,345.0,2.12,65.0,617.3,54951.45763888889
9.0,157.0,1.92,65.0,617.3,54951.46111111111
8.0,16.0,1.99,65.0,617.3,54951.464583333334
13.0,171.0,1.99,66.0,617.2,54951.46805555555
12.0,178.0,1.8,68.0,617.2,54951.47152777778
12.0,192.0,1.55,71.0,617.2,54951.475
10.0,119.0,1.31,73.0,617.1,54951.478472222225
9.0,58.0,1.19,74.0,617.0,54951.481944444444
9.0,159.0,1.07,75.0,617.0,54951.48541666667
10.0,174.0,1.26,72.0,617.0,54951.48888888889
11.0,353.0,1.43,71.0,616.8,54951.49236111111
14.0,199.0,1.55,71.0,616.8,54951.495833333334
11.0,161.0,1.68,71.0,616.8,54951.49930555555
11.0,178.0,1.68,71.0,616.8,54951.50277777778
10.0,183.0,1.63,72.0,616.7,54951.50625
12.0,190.0,1.55,73.0,616.8,54951.509722222225
13.0,174.0,1.43,73.0,616.7,54951.513194444444
8.0,159.0,1.39,74.0,616.6,54951.51666666667
11.0,206.0,1.39,75.0,616.5,54951.52013888889
17.0,103.0,1.31,75.0,616.4,54951.52361111111
7.0,125.0,1.39,75.0,616.4,54951.527083333334
9.0,10.0,1.31,75.0,616.5,54951.53055555555
12.0,125.0,1.38,75.0,616.5,54951.53402777778
12.0,253.0,1.31,75.0,616.5,54951.5375
10.0,135.0,1.14,77.0,616.6,54951.540972222225
8.0,126.0,1.02,76.0,616.6,54951.544444444444
12.0,118.0,1.02,78.0,616.6,54951.54791666667
14.0,167.0,1.02,77.0,616.6,54951.55138888889
11.0,148.0,1.07,76.0,616.6,54951.55486111111
11.0,133.0,1.14,77.0,616.6,54951.558333333334
12.0,167.0,1.19,76.0,616.6,54951.56180555555
10.0,146.0,1.14,78.0,616.6,54951.56527777778
13.0,139.0,1.07,77.0,616.6,54951.56875
8.0,261.0,1.27,72.0,616.6,54951.572222222225
12.0,137.0,1.39,74.0,616.6,54951.575694444444
9.0,260.0,1.4,72.0,616.7,54951.57916666667
12.0,217.0,1.63,68.0,616.6,54951.58263888889
12.0,138.0,1.8,68.0,616.7,54951.58611111111
9.0,165.0,1.75,69.0,616.7,54951.589583333334
15.0,105.0,1.87,69.0,616.8,54951.59305555555
11.0,272.0,1.87,67.0,616.8,54951.59652777778
7.0,194.0,1.92,65.0,616.8,54951.6
9.0,166.0,2.04,65.0,616.9,54951.603472222225
13.0,206.0,2.16,63.0,616.9,54951.606944444444
8.0,87.0,2.24,65.0,616.8,54951.61041666667
10.0,139.0,2.24,63.0,617.0,54951.61388888889
8.0,181.0,2.16,64.0,617.0,54951.61736111111
11.0,108.0,2.14,64.0,617.0,54951.620833333334
6.0,183.0,2.12,67.0,617.0,54951.62430555555
9.0,161.0,1.99,68.0,617.0,54951.62777777778
7.0,354.0,2.12,63.0,617.0,54951.63125
10.0,171.0,2.29,64.0,617.0,54951.634722222225
8.0,263.0,2.36,66.0,617.1,54951.638194444444
8.0,41.0,2.36,62.0,617.2,54951.64166666667
7.0,144.0,2.36,65.0,617.2,54951.64513888889
8.0,85.0,2.16,64.0,617.2,54951.64861111111
9.0,170.0,2.16,65.0,617.2,54951.652083333334
7.0,65.0,1.99,69.0,617.2,54951.65555555555
7.0,145.0,1.8,70.0,617.3,54951.65902777778
18.0,35.0,2.04,59.0,617.1,54951.6625
18.0,82.0,2.53,54.0,617.2,54951.665972222225
23.0,67.0,2.9,55.0,617.2,54951.669444444444
20.0,79.0,3.02,51.0,617.4,54951.67291666667
23.0,43.0,3.14,50.0,617.4,54951.67638888889
17.0,28.0,3.26,50.0,617.5,54951.67986111111
15.0,100.0,3.39,49.0,617.6,54951.683333333334
20.0,72.0,3.63,50.0,617.6,54951.68680555555
25.0,63.0,3.83,50.0,617.6,54951.69027777778
22.0,55.0,3.88,50.0,617.7,54951.69375
23.0,66.0,4.07,48.0,617.7,54951.697222222225
26.0,63.0,4.25,49.0,617.8,54951.700694444444
28.0,71.0,4.44,44.0,617.8,54951.70416666667
28.0,65.0,4.61,45.0,618.0,54951.70763888889
28.0,55.0,4.8,41.0,618.0,54951.71111111111
23.0,60.0,4.8,43.0,618.2,54951.714583333334
25.0,63.0,4.85,45.0,618.2,54951.71805555555
26.0,59.0,5.05,46.0,618.2,54951.72152777778
30.0,62.0,5.17,40.0,618.4,54951.725
28.0,62.0,5.41,42.0,618.4,54951.728472222225
21.0,58.0,5.46,40.0,618.6,54951.731944444444
27.0,61.0,5.59,42.0,618.4,54951.73541666667
31.0,65.0,5.83,40.0,618.4,54951.73888888889
22.0,51.0,5.83,40.0,618.5,54951.74236111111
24.0,50.0,6.02,38.0,618.5,54951.745833333334
27.0,65.0,6.14,40.0,618.7,54951.74930555555
27.0,62.0,6.39,42.0,618.7,54951.75277777778
23.0,64.0,6.51,38.0,618.8,54951.75625
28.0,67.0,6.56,37.0,618.7,54951.759722222225
24.0,56.0,6.6,37.0,618.8,54951.763194444444
29.0,55.0,6.63,38.0,618.8,54951.76666666667
26.0,68.0,6.76,37.0,619.0,54951.77013888889
25.0,63.0,6.81,38.0,619.1,54951.77361111111
22.0,58.0,6.93,39.0,619.1,54951.777083333334
24.0,60.0,7.05,39.0,619.2,54951.78055555555
19.0,64.0,7.17,37.0,619.2,54951.78402777778
26.0,68.0,7.37,38.0,619.3,54951.7875
17.0,38.0,7.18,39.0,619.4,54951.790972222225
16.0,58.0,7.17,37.0,619.3,54951.794444444444
20.0,68.0,7.54,39.0,619.4,54951.79791666667
22.0,56.0,7.73,39.0,619.5,54951.80138888889
18.0,65.0,8.03,35.0,619.5,54951.80486111111
21.0,71.0,8.11,38.0,619.5,54951.808333333334
19.0,66.0,8.51,37.0,619.5,54951.81180555555
19.0,59.0,8.59,33.0,619.5,54951.81527777778
20.0,76.0,8.51,36.0,619.5,54951.81875
19.0,44.0,8.47,35.0,619.5,54951.822222222225
17.0,36.0,8.39,37.0,619.5,54951.825694444444
20.0,45.0,8.39,38.0,619.5,54951.82916666667
22.0,48.0,8.15,36.0,619.5,54951.83263888889
19.0,68.0,7.9,39.0,619.5,54951.83611111111
21.0,74.0,7.85,37.0,619.4,54951.839583333334
24.0,52.0,7.85,38.0,619.3,54951.84305555555
22.0,59.0,8.27,34.0,619.3,54951.84652777778
24.0,65.0,8.47,36.0,619.3,54951.85
21.0,64.0,8.39,35.0,619.2,54951.853472222225
19.0,61.0,8.59,35.0,619.2,54951.856944444444
23.0,64.0,8.39,34.0,619.2,54951.86041666667
19.0,75.0,8.47,33.0,619.2,54951.86388888889
23.0,64.0,8.15,38.0,619.1,54951.86736111111
21.0,71.0,7.78,36.0,619.1,54951.870833333334
18.0,67.0,7.49,39.0,619.1,54951.87430555555
22.0,86.0,7.55,40.0,619.0,54951.87777777778
18.0,71.0,7.42,37.0,619.1,54951.88125
19.0,71.0,7.17,39.0,619.0,54951.884722222225
18.0,70.0,7.49,41.0,619.0,54951.888194444444
17.0,74.0,7.78,42.0,619.0,54951.89166666667
21.0,67.0,7.61,42.0,618.9,54951.89513888889
21.0,91.0,7.3,46.0,618.9,54951.89861111111
17.0,60.0,7.66,39.0,618.8,54951.902083333334
20.0,39.0,7.78,42.0,618.8,54951.90555555555
23.0,75.0,7.61,43.0,618.8,54951.90902777778
22.0,77.0,7.49,45.0,618.8,54951.9125
18.0,75.0,7.49,42.0,618.8,54951.915972222225
20.0,70.0,7.66,44.0,618.7,54951.919444444444
17.0,79.0,7.85,42.0,618.7,54951.92291666667
19.0,80.0,7.73,41.0,618.6,54951.92638888889
21.0,45.0,7.49,47.0,618.6,54951.92986111111
13.0,46.0,7.42,40.0,618.7,54951.933333333334
18.0,30.0,7.54,47.0,618.6,54951.93680555555
16.0,69.0,7.64,41.0,618.6,54951.94027777778
15.0,77.0,7.61,43.0,618.5,54951.94375
16.0,74.0,7.54,43.0,618.5,54951.947222222225
17.0,80.0,7.66,45.0,618.5,54951.950694444444
