wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
9,78.0,0.74,90,619.6,57987.416666666664
12,96.0,0.74,90,619.6,57987.41736111111
8,110.0,0.74,90,619.6,57987.41805555556
6,83.0,0.75,90,619.6,57987.41875
5,85.0,0.77,90,619.6,57987.419444444444
6,91.0,0.77,90,619.6,57987.42013888889
8,81.0,0.77,91,619.6,57987.42083333333
9,77.0,0.77,91,619.5,57987.42152777778
11,52.0,0.76,91,619.5,57987.42222222222
11,81.0,0.75,91,619.5,57987.42291666667
11,80.0,0.77,91,619.5,57987.42361111111
10,61.0,0.79,91,619.5,57987.424305555556
13,73.0,0.81,91,619.5,57987.425
11,82.0,0.83,91,619.5,57987.42569444444
12,91.0,0.87,90,619.5,57987.42638888889
10,86.0,0.91,90,619.5,57987.427083333336
9,69.0,0.93,90,619.5,57987.427777777775
10,62.0,0.95,90,619.5,57987.42847222222
10,84.0,0.96,90,619.5,57987.42916666667
11,100.0,0.96,89,619.5,57987.42986111111
10,61.0,0.97,89,619.5,57987.430555555555
9,83.0,0.99,89,619.5,57987.43125
10,66.0,1.0,89,619.5,57987.43194444444
8,92.0,1.02,89,619.5,57987.43263888889
7,94.0,1.04,89,619.6,57987.433333333334
7,80.0,1.04,89,619.6,57987.43402777778
7,93.0,1.02,89,619.6,57987.43472222222
6,93.0,1.02,89,619.6,57987.43541666667
5,87.0,0.99,89,619.6,57987.436111111114
5,93.0,0.97,89,619.6,57987.43680555555
6,92.0,0.94,89,619.5,57987.4375
6,91.0,0.92,89,619.5,57987.43819444445
6,88.0,0.9,89,619.5,57987.438888888886
6,95.0,0.9,89,619.5,57987.43958333333
5,96.0,0.9,89,619.5,57987.44027777778
4,90.0,0.92,89,619.5,57987.44097222222
5,104.0,0.95,89,619.5,57987.441666666666
5,105.0,0.99,89,619.5,57987.44236111111
5,101.0,1.03,89,619.5,57987.44305555556
4,129.0,1.08,89,619.5,57987.44375
2,105.0,1.13,89,619.4,57987.444444444445
3,96.0,1.17,88,619.4,57987.44513888889
5,102.0,1.21,88,619.4,57987.44583333333
5,91.0,1.25,87,619.4,57987.44652777778
5,93.0,1.29,87,619.4,57987.447222222225
6,99.0,1.33,87,619.4,57987.447916666664
7,95.0,1.35,86,619.4,57987.44861111111
7,102.0,1.38,86,619.4,57987.44930555556
7,99.0,1.39,86,619.4,57987.45
6,104.0,1.39,86,619.4,57987.450694444444
5,100.0,1.39,86,619.4,57987.45138888889
7,104.0,1.39,86,619.4,57987.45208333333
