wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
12,75.0,1.98,13,620.1,57974.416666666664
10,65.0,1.93,13,620.0,57974.41736111111
14,68.0,1.88,13,620.0,57974.41805555556
14,76.0,1.84,13,620.0,57974.41875
13,70.0,1.82,13,620.0,57974.419444444444
14,80.0,1.81,13,620.0,57974.42013888889
12,62.0,1.8,13,620.0,57974.42083333333
14,60.0,1.81,13,620.0,57974.42152777778
15,66.0,1.83,13,620.0,57974.42222222222
16,60.0,1.84,13,620.0,57974.42291666667
16,58.0,1.87,13,619.9,57974.42361111111
14,72.0,1.88,13,620.0,57974.424305555556
13,71.0,1.9,13,620.0,57974.425
13,64.0,1.9,13,620.0,57974.42569444444
13,58.0,1.9,13,620.0,57974.42638888889
13,75.0,1.9,13,620.0,57974.427083333336
13,65.0,1.88,14,620.0,57974.427777777775
14,67.0,1.85,14,620.0,57974.42847222222
14,62.0,1.82,14,619.9,57974.42916666667
14,55.0,1.79,14,619.9,57974.42986111111
15,49.0,1.77,13,619.9,57974.430555555555
15,30.0,1.76,13,620.0,57974.43125
13,74.0,1.75,13,620.0,57974.43194444444
12,45.0,1.75,13,620.0,57974.43263888889
12,64.0,1.74,13,620.0,57974.433333333334
11,70.0,1.71,13,620.0,57974.43402777778
11,72.0,1.68,13,620.0,57974.43472222222
12,62.0,1.65,13,619.9,57974.43541666667
14,52.0,1.63,13,619.9,57974.436111111114
15,28.0,1.63,13,619.9,57974.43680555555
15,59.0,1.65,13,619.9,57974.4375
15,74.0,1.68,13,619.9,57974.43819444445
17,72.0,1.72,13,619.9,57974.438888888886
14,64.0,1.75,13,619.9,57974.43958333333
14,48.0,1.78,13,619.9,57974.44027777778
15,68.0,1.78,13,619.9,57974.44097222222
16,67.0,1.78,13,619.8,57974.441666666666
18,57.0,1.8,13,619.8,57974.44236111111
17,61.0,1.81,13,619.8,57974.44305555556
16,68.0,1.83,13,619.8,57974.44375
14,88.0,1.84,13,619.8,57974.444444444445
15,55.0,1.85,13,619.8,57974.44513888889
15,72.0,1.87,13,619.8,57974.44583333333
15,69.0,1.88,13,619.8,57974.44652777778
14,71.0,1.89,13,619.8,57974.447222222225
12,60.0,1.89,13,619.8,57974.447916666664
12,73.0,1.87,13,619.8,57974.44861111111
12,71.0,1.83,13,619.8,57974.44930555556
11,64.0,1.8,13,619.8,57974.45
12,77.0,1.77,13,619.8,57974.450694444444
12,84.0,1.74,13,619.8,57974.45138888889
11,87.0,1.71,13,619.7,57974.45208333333
11,65.0,1.69,13,619.7,57974.45277777778
13,67.0,1.66,13,619.7,57974.45347222222
13,80.0,1.63,13,619.7,57974.45416666667
13,84.0,1.63,13,619.7,57974.45486111111
12,84.0,1.63,13,619.7,57974.455555555556
13,78.0,1.63,13,619.7,57974.45625
14,67.0,1.61,13,619.6,57974.45694444444
12,57.0,1.62,13,619.7,57974.45763888889
11,80.0,1.63,14,619.7,57974.458333333336
12,82.0,1.63,14,619.7,57974.459027777775
13,55.0,1.62,14,619.6,57974.45972222222
12,68.0,1.62,13,619.7,57974.46041666667
12,78.0,1.6,13,619.6,57974.46111111111
12,84.0,1.57,14,619.6,57974.461805555555
13,88.0,1.54,14,619.6,57974.4625
13,76.0,1.54,14,619.6,57974.46319444444
13,73.0,1.53,14,619.6,57974.46388888889
13,71.0,1.53,14,619.6,57974.464583333334
13,77.0,1.54,14,619.6,57974.46527777778
12,64.0,1.55,14,619.6,57974.46597222222
14,68.0,1.54,14,619.6,57974.46666666667
14,74.0,1.53,14,619.6,57974.467361111114
13,75.0,1.53,14,619.6,57974.46805555555
15,62.0,1.55,14,619.5,57974.46875
13,75.0,1.58,14,619.5,57974.46944444445
13,57.0,1.59,14,619.5,57974.470138888886
14,75.0,1.58,14,619.5,57974.47083333333
13,89.0,1.58,14,619.5,57974.47152777778
13,59.0,1.57,14,619.5,57974.47222222222
12,83.0,1.56,14,619.5,57974.472916666666
14,61.0,1.54,14,619.5,57974.47361111111
14,72.0,1.52,14,619.5,57974.47430555556
13,60.0,1.51,14,619.6,57974.475
12,70.0,1.51,14,619.5,57974.475694444445
14,69.0,1.49,14,619.5,57974.47638888889
14,65.0,1.47,14,619.5,57974.47708333333
14,61.0,1.47,14,619.5,57974.47777777778
14,50.0,1.47,14,619.5,57974.478472222225
14,69.0,1.47,14,619.5,57974.479166666664
14,61.0,1.48,14,619.5,57974.47986111111
16,66.0,1.5,14,619.5,57974.48055555556
16,65.0,1.53,14,619.5,57974.48125
16,63.0,1.56,14,619.5,57974.481944444444
15,56.0,1.6,14,619.5,57974.48263888889
14,59.0,1.64,14,619.5,57974.48333333333
15,42.0,1.66,14,619.5,57974.48402777778
15,77.0,1.67,14,619.5,57974.48472222222
13,70.0,1.68,14,619.5,57974.48541666667
14,63.0,1.69,14,619.5,57974.48611111111
12,79.0,1.68,14,619.5,57974.486805555556
14,63.0,1.67,14,619.5,57974.4875
14,39.0,1.66,14,619.5,57974.48819444444
12,66.0,1.66,14,619.5,57974.48888888889
13,79.0,1.64,14,619.5,57974.489583333336
14,72.0,1.63,14,619.5,57974.490277777775
14,72.0,1.61,14,619.5,57974.49097222222
13,43.0,1.61,14,619.5,57974.49166666667
15,51.0,1.62,14,619.5,57974.49236111111
13,63.0,1.62,14,619.5,57974.493055555555
13,73.0,1.63,14,619.4,57974.49375
13,70.0,1.63,14,619.4,57974.49444444444
13,79.0,1.63,14,619.4,57974.49513888889
14,75.0,1.63,14,619.4,57974.495833333334
14,46.0,1.6,14,619.4,57974.49652777778
15,95.0,1.59,14,619.4,57974.49722222222
16,65.0,1.57,14,619.4,57974.49791666667
15,81.0,1.58,14,619.4,57974.498611111114
16,64.0,1.58,14,619.4,57974.49930555555
16,56.0,1.57,14,619.4,57974.5
18,61.0,1.57,14,619.4,57974.50069444445
16,63.0,1.59,14,619.4,57974.501388888886
14,54.0,1.61,14,619.3,57974.50208333333
14,65.0,1.64,14,619.3,57974.50277777778
15,52.0,1.65,14,619.3,57974.50347222222
15,50.0,1.64,14,619.3,57974.504166666666
16,63.0,1.63,14,619.3,57974.50486111111
15,67.0,1.62,14,619.3,57974.50555555556
15,68.0,1.6,14,619.4,57974.50625
15,66.0,1.58,14,619.4,57974.506944444445
13,76.0,1.57,14,619.4,57974.50763888889
15,43.0,1.57,14,619.4,57974.50833333333
15,61.0,1.56,14,619.4,57974.50902777778
16,52.0,1.55,14,619.4,57974.509722222225
14,33.0,1.56,14,619.4,57974.510416666664
15,61.0,1.56,14,619.3,57974.51111111111
16,56.0,1.56,14,619.3,57974.51180555556
15,66.0,1.57,14,619.3,57974.5125
15,63.0,1.57,14,619.3,57974.513194444444
15,62.0,1.56,14,619.3,57974.51388888889
15,58.0,1.54,14,619.4,57974.51458333333
16,56.0,1.54,14,619.3,57974.51527777778
17,59.0,1.53,14,619.3,57974.51597222222
17,61.0,1.52,14,619.3,57974.51666666667
