wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
25,331,1.99,33,618.5,57525.416666666664
28,325,1.99,33,618.5,57525.41736111111
27,1,1.99,33,618.5,57525.41805555556
26,343,1.99,34,618.4,57525.41875
25,344,1.99,34,618.4,57525.419444444444
26,336,2.0,35,618.4,57525.42013888889
27,14,2.0,35,618.4,57525.42083333333
23,349,2.02,35,618.4,57525.42152777778
28,343,2.02,35,618.4,57525.42222222222
27,340,2.02,35,618.4,57525.42291666667
25,346,2.02,35,618.4,57525.42361111111
24,353,2.02,35,618.4,57525.424305555556
24,341,2.02,35,618.4,57525.425
24,341,2.02,35,618.4,57525.42569444444
25,341,2.02,36,618.4,57525.42638888889
23,4,2.02,35,618.4,57525.427083333336
26,340,2.02,35,618.4,57525.427777777775
23,0,2.02,35,618.3,57525.42847222222
25,349,2.02,35,618.3,57525.42916666667
23,341,2.02,35,618.3,57525.42986111111
24,8,2.01,35,618.3,57525.430555555555
22,1,2.0,35,618.3,57525.43125
24,2,1.99,35,618.2,57525.43194444444
24,354,1.99,35,618.2,57525.43263888889
25,352,1.97,36,618.2,57525.433333333334
28,324,1.96,36,618.2,57525.43402777778
26,346,1.96,37,618.2,57525.43472222222
28,1,1.96,37,618.2,57525.43541666667
29,348,1.96,37,618.2,57525.436111111114
26,349,1.98,37,618.2,57525.43680555555
30,3,1.99,37,618.2,57525.4375
29,6,2.0,37,618.2,57525.43819444445
26,322,2.02,37,618.2,57525.438888888886
26,336,2.03,36,618.2,57525.43958333333
26,0,2.05,37,618.2,57525.44027777778
27,1,2.05,36,618.2,57525.44097222222
27,342,2.06,36,618.2,57525.441666666666
25,340,2.06,36,618.1,57525.44236111111
28,2,2.07,36,618.1,57525.44305555556
25,324,2.07,36,618.1,57525.44375
28,318,2.07,36,618.1,57525.444444444445
27,7,2.06,37,618.1,57525.44513888889
26,327,2.05,36,618.2,57525.44583333333
27,353,2.05,36,618.1,57525.44652777778
29,338,2.04,37,618.2,57525.447222222225
27,336,2.04,37,618.2,57525.447916666664
26,335,2.03,37,618.2,57525.44861111111
24,353,2.03,37,618.2,57525.44930555556
27,345,2.02,38,618.2,57525.45
24,342,2.01,38,618.1,57525.450694444444
28,346,2.0,38,618.1,57525.45138888889
22,337,1.99,38,618.2,57525.45208333333
27,7,1.99,38,618.1,57525.45277777778
27,1,1.98,38,618.1,57525.45347222222
26,343,1.96,38,618.1,57525.45416666667
26,4,1.96,38,618.1,57525.45486111111
25,343,1.97,38,618.1,57525.455555555556
28,348,1.97,38,618.0,57525.45625
26,343,1.98,38,618.0,57525.45694444444
29,330,1.99,38,618.0,57525.45763888889
26,346,1.99,37,618.0,57525.458333333336
29,354,1.99,37,618.0,57525.459027777775
25,343,1.99,37,618.0,57525.45972222222
25,345,1.99,37,618.0,57525.46041666667
30,342,1.99,37,618.0,57525.46111111111
28,347,2.0,38,618.0,57525.461805555555
27,11,2.0,37,617.9,57525.4625
27,2,2.0,38,618.0,57525.46319444444
26,329,2.0,38,617.9,57525.46388888889
28,349,2.0,38,617.9,57525.464583333334
28,1,2.01,38,617.9,57525.46527777778
25,347,2.02,38,617.9,57525.46597222222
28,352,2.01,38,617.9,57525.46666666667
28,339,2.01,38,617.9,57525.467361111114
28,350,2.0,38,617.9,57525.46805555555
24,335,2.0,38,617.9,57525.46875
27,351,1.99,38,617.9,57525.46944444445
27,339,1.99,38,617.9,57525.470138888886
28,346,1.99,38,617.9,57525.47083333333
27,334,1.98,38,617.9,57525.47152777778
28,0,1.96,38,617.9,57525.47222222222
27,334,1.96,38,617.8,57525.472916666666
27,350,1.94,38,617.8,57525.47361111111
28,340,1.93,38,617.8,57525.47430555556
27,350,1.91,38,617.8,57525.475
29,341,1.9,38,617.8,57525.475694444445
28,328,1.89,38,617.8,57525.47638888889
28,352,1.87,38,617.8,57525.47708333333
27,0,1.86,37,617.8,57525.47777777778
27,334,1.84,37,617.8,57525.478472222225
27,2,1.82,37,617.8,57525.479166666664
28,348,1.81,38,617.8,57525.47986111111
26,347,1.78,38,617.8,57525.48055555556
27,0,1.77,38,617.8,57525.48125
25,342,1.75,38,617.8,57525.481944444444
27,343,1.73,38,617.8,57525.48263888889
26,351,1.72,38,617.8,57525.48333333333
27,8,1.71,37,617.8,57525.48402777778
27,334,1.69,38,617.7,57525.48472222222
29,8,1.69,38,617.7,57525.48541666667
26,16,1.69,38,617.7,57525.48611111111
26,1,1.69,38,617.7,57525.486805555556
24,348,1.68,38,617.7,57525.4875
26,3,1.67,38,617.6,57525.48819444444
26,3,1.66,38,617.6,57525.48888888889
27,2,1.66,38,617.6,57525.489583333336
26,329,1.66,38,617.7,57525.490277777775
26,0,1.65,38,617.7,57525.49097222222
26,335,1.65,38,617.6,57525.49166666667
30,0,1.64,38,617.6,57525.49236111111
28,0,1.63,38,617.6,57525.493055555555
25,353,1.63,38,617.6,57525.49375
26,336,1.63,38,617.6,57525.49444444444
27,351,1.63,38,617.6,57525.49513888889
27,3,1.61,38,617.6,57525.495833333334
26,337,1.6,38,617.5,57525.49652777778
28,343,1.6,38,617.5,57525.49722222222
28,338,1.6,38,617.5,57525.49791666667
28,342,1.59,38,617.5,57525.498611111114
25,4,1.59,38,617.5,57525.49930555555
28,345,1.58,38,617.5,57525.5
25,1,1.58,37,617.5,57525.50069444445
25,8,1.58,37,617.5,57525.501388888886
30,323,1.57,37,617.5,57525.50208333333
30,320,1.57,37,617.5,57525.50277777778
32,1,1.57,37,617.5,57525.50347222222
24,0,1.58,36,617.5,57525.504166666666
24,325,1.57,36,617.5,57525.50486111111
27,330,1.57,36,617.5,57525.50555555556
26,330,1.57,36,617.5,57525.50625
31,327,1.57,36,617.5,57525.506944444445
27,354,1.56,36,617.5,57525.50763888889
28,353,1.56,36,617.4,57525.50833333333
28,332,1.57,37,617.5,57525.50902777778
25,0,1.57,37,617.4,57525.509722222225
26,350,1.57,36,617.4,57525.510416666664
27,324,1.59,37,617.4,57525.51111111111
31,337,1.59,37,617.4,57525.51180555556
26,331,1.59,37,617.4,57525.5125
26,5,1.59,37,617.4,57525.513194444444
24,353,1.59,37,617.4,57525.51388888889
25,329,1.59,38,617.4,57525.51458333333
28,349,1.59,38,617.4,57525.51527777778
25,348,1.59,38,617.4,57525.51597222222
25,351,1.59,38,617.4,57525.51666666667
25,345,1.58,38,617.3,57525.51736111111
25,337,1.58,38,617.3,57525.518055555556
26,345,1.58,38,617.3,57525.51875
24,348,1.59,39,617.3,57525.51944444444
23,0,1.58,39,617.3,57525.52013888889
21,2,1.58,39,617.3,57525.520833333336
22,345,1.58,39,617.3,57525.521527777775
23,11,1.58,39,617.3,57525.52222222222
22,338,1.58,39,617.3,57525.52291666667
25,351,1.57,39,617.2,57525.52361111111
23,335,1.57,39,617.3,57525.524305555555
24,328,1.57,39,617.2,57525.525
24,341,1.57,39,617.2,57525.52569444444
23,327,1.56,39,617.2,57525.52638888889
26,342,1.56,39,617.2,57525.527083333334
25,344,1.55,39,617.2,57525.52777777778
27,339,1.54,39,617.2,57525.52847222222
25,3,1.54,39,617.2,57525.52916666667
24,10,1.54,39,617.2,57525.529861111114
25,354,1.54,40,617.1,57525.53055555555
20,349,1.54,40,617.1,57525.53125
23,328,1.53,40,617.1,57525.53194444445
22,349,1.53,40,617.1,57525.532638888886
22,335,1.53,40,617.1,57525.53333333333
23,0,1.53,40,617.1,57525.53402777778
22,11,1.53,40,617.2,57525.53472222222
24,335,1.53,40,617.1,57525.535416666666
23,353,1.53,40,617.1,57525.53611111111
22,8,1.54,40,617.1,57525.53680555556
26,335,1.54,40,617.1,57525.5375
27,330,1.54,40,617.1,57525.538194444445
27,332,1.54,40,617.1,57525.53888888889
26,347,1.54,40,617.1,57525.53958333333
24,353,1.55,40,617.1,57525.54027777778
25,349,1.56,40,617.1,57525.540972222225
25,329,1.57,40,617.1,57525.541666666664
29,326,1.57,40,617.1,57525.54236111111
27,326,1.59,40,617.1,57525.54305555556
28,340,1.59,40,617.0,57525.54375
28,351,1.6,40,617.0,57525.544444444444
27,347,1.6,40,617.0,57525.54513888889
28,13,1.6,40,617.0,57525.54583333333
25,342,1.6,40,617.0,57525.54652777778
24,0,1.61,40,617.0,57525.54722222222
27,335,1.6,41,617.0,57525.54791666667
28,0,1.6,41,617.0,57525.54861111111
25,0,1.6,41,617.0,57525.549305555556
26,329,1.6,41,616.9,57525.55
33,341,1.59,41,616.9,57525.55069444444
29,332,1.59,41,616.9,57525.55138888889
28,321,1.6,41,616.9,57525.552083333336
30,10,1.59,41,616.9,57525.552777777775
28,8,1.59,41,616.9,57525.55347222222
27,8,1.59,41,616.9,57525.55416666667
27,354,1.59,41,616.9,57525.55486111111
30,329,1.58,41,616.9,57525.555555555555
29,339,1.57,41,616.9,57525.55625
28,348,1.57,41,616.9,57525.55694444444
29,342,1.57,41,616.9,57525.55763888889
28,347,1.57,41,616.9,57525.558333333334
27,340,1.57,41,616.9,57525.55902777778
29,329,1.57,41,616.9,57525.55972222222
32,350,1.57,41,616.9,57525.56041666667
30,323,1.56,41,616.9,57525.561111111114
29,11,1.57,41,616.9,57525.56180555555
27,0,1.56,41,616.9,57525.5625
25,346,1.55,41,616.9,57525.56319444445
25,328,1.54,41,616.9,57525.563888888886
29,334,1.54,41,616.9,57525.56458333333
25,342,1.53,41,616.9,57525.56527777778
24,314,1.52,41,616.9,57525.56597222222
24,343,1.51,41,616.9,57525.566666666666
24,338,1.51,41,616.9,57525.56736111111
22,351,1.5,41,617.0,57525.56805555556
24,18,1.49,41,617.0,57525.56875
22,2,1.48,40,617.0,57525.569444444445
25,343,1.47,40,617.0,57525.57013888889
22,351,1.46,40,617.0,57525.57083333333
26,350,1.45,40,617.0,57525.57152777778
25,7,1.45,40,617.1,57525.572222222225
24,11,1.45,40,617.0,57525.572916666664
23,337,1.44,40,617.0,57525.57361111111
27,344,1.45,40,617.1,57525.57430555556
24,351,1.46,39,617.0,57525.575
26,3,1.47,39,617.0,57525.575694444444
21,30,1.47,38,617.0,57525.57638888889
21,327,1.47,38,617.0,57525.57708333333
27,326,1.47,38,617.0,57525.57777777778
26,353,1.46,38,617.0,57525.57847222222
24,0,1.45,38,617.0,57525.57916666667
22,4,1.46,37,617.0,57525.57986111111
25,349,1.45,36,617.0,57525.580555555556
23,353,1.44,36,617.0,57525.58125
25,334,1.43,35,617.0,57525.58194444444
29,350,1.41,34,617.0,57525.58263888889
25,325,1.41,34,617.0,57525.583333333336
25,1,1.41,34,617.0,57525.584027777775
26,307,1.41,34,617.1,57525.58472222222
26,330,1.42,34,617.0,57525.58541666667
24,335,1.44,34,617.1,57525.58611111111
22,350,1.45,34,617.1,57525.586805555555
