wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
25,70,2.12,16,620.6,56505.416666666664
24,70,2.16,16,620.6,56505.41736111111
24,72,2.18,16,620.6,56505.41805555556
24,73,2.18,16,620.6,56505.41875
26,66,2.19,16,620.6,56505.419444444444
26,73,2.24,18,620.6,56505.42013888889
26,73,2.24,20,620.6,56505.42083333333
25,73,2.23,19,620.6,56505.42152777778
25,74,2.24,19,620.6,56505.42222222222
26,77,2.22,20,620.6,56505.42291666667
27,70,2.21,18,620.6,56505.42361111111
24,76,2.19,19,620.6,56505.424305555556
26,73,2.18,18,620.5,56505.425
24,76,2.17,19,620.5,56505.42569444444
27,74,2.15,18,620.5,56505.42638888889
25,70,2.15,18,620.5,56505.427083333336
27,68,2.14,18,620.5,56505.427777777775
28,76,2.12,17,620.5,56505.42847222222
24,80,2.14,19,620.5,56505.42916666667
24,80,2.14,19,620.5,56505.42986111111
24,70,2.13,20,620.4,56505.430555555555
24,78,2.13,20,620.4,56505.43125
24,78,2.12,19,620.4,56505.43194444444
23,82,2.13,20,620.4,56505.43263888889
24,80,2.13,22,620.4,56505.433333333334
24,79,2.13,21,620.4,56505.43402777778
23,79,2.14,19,620.4,56505.43472222222
24,77,2.14,19,620.4,56505.43541666667
24,84,2.14,19,620.4,56505.436111111114
24,78,2.15,20,620.4,56505.43680555555
24,81,2.15,21,620.3,56505.4375
24,87,2.15,20,620.3,56505.43819444445
26,79,2.15,19,620.3,56505.438888888886
26,76,2.15,19,620.4,56505.43958333333
25,80,2.14,19,620.4,56505.44027777778
27,78,2.14,19,620.3,56505.44097222222
25,91,2.13,18,620.4,56505.441666666666
24,79,2.14,19,620.3,56505.44236111111
25,72,2.14,19,620.3,56505.44305555556
24,79,2.15,19,620.3,56505.44375
25,80,2.15,19,620.3,56505.444444444445
26,70,2.15,20,620.3,56505.44513888889
25,78,2.15,20,620.3,56505.44583333333
25,66,2.15,20,620.3,56505.44652777778
26,71,2.16,21,620.2,56505.447222222225
27,78,2.15,21,620.2,56505.447916666664
27,67,2.15,20,620.2,56505.44861111111
26,66,2.15,21,620.2,56505.44930555556
26,67,2.15,20,620.2,56505.45
27,74,2.15,20,620.2,56505.450694444444
26,75,2.14,19,620.2,56505.45138888889
26,69,2.13,19,620.2,56505.45208333333
27,79,2.13,18,620.2,56505.45277777778
27,77,2.13,19,620.1,56505.45347222222
27,89,2.13,20,620.1,56505.45416666667
26,70,2.14,20,620.1,56505.45486111111
26,81,2.13,20,620.1,56505.455555555556
26,77,2.13,19,620.1,56505.45625
27,77,2.13,19,620.1,56505.45694444444
27,79,2.14,20,620.1,56505.45763888889
25,87,2.13,20,620.1,56505.458333333336
22,75,2.15,21,620.1,56505.459027777775
24,79,2.13,21,620.0,56505.45972222222
24,85,2.13,20,620.0,56505.46041666667
24,88,2.12,21,620.0,56505.46111111111
25,67,2.12,22,620.0,56505.461805555555
25,87,2.1,20,620.0,56505.4625
25,72,2.09,20,620.0,56505.46319444444
26,78,2.08,21,620.0,56505.46388888889
25,78,2.07,21,620.0,56505.464583333334
25,76,2.06,21,619.9,56505.46527777778
25,78,2.05,22,619.9,56505.46597222222
27,77,2.03,22,619.9,56505.46666666667
25,78,2.02,21,619.9,56505.467361111114
25,72,2.02,18,619.9,56505.46805555555
25,77,2.03,18,619.9,56505.46875
25,77,2.04,18,619.9,56505.46944444445
24,88,2.05,20,619.9,56505.470138888886
26,72,2.05,21,619.9,56505.47083333333
24,73,2.09,21,620.0,56505.47152777778
25,76,2.08,21,619.9,56505.47222222222
26,70,2.08,21,619.9,56505.472916666666
24,70,2.09,21,619.9,56505.47361111111
24,83,2.09,20,619.9,56505.47430555556
24,75,2.09,22,619.8,56505.475
25,66,2.09,21,619.9,56505.475694444445
25,85,2.08,21,619.9,56505.47638888889
25,74,2.07,20,619.9,56505.47708333333
25,81,2.06,21,619.9,56505.47777777778
26,77,2.05,22,619.9,56505.478472222225
26,79,2.04,22,619.9,56505.479166666664
24,79,2.03,22,619.9,56505.47986111111
23,84,2.03,22,619.9,56505.48055555556
22,77,2.03,21,619.8,56505.48125
24,78,2.02,20,619.9,56505.481944444444
23,81,2.02,20,619.9,56505.48263888889
23,78,2.02,21,619.9,56505.48333333333
23,79,2.02,21,619.9,56505.48402777778
23,71,2.02,20,619.9,56505.48472222222
24,77,2.02,19,619.9,56505.48541666667
24,68,2.02,18,619.8,56505.48611111111
23,76,2.02,19,619.8,56505.486805555556
24,77,2.04,21,619.8,56505.4875
23,80,2.04,21,619.8,56505.48819444444
24,76,2.03,19,619.8,56505.48888888889
24,76,2.04,17,619.8,56505.489583333336
24,79,2.05,18,619.7,56505.490277777775
25,83,2.05,19,619.7,56505.49097222222
26,78,2.05,21,619.7,56505.49166666667
25,76,2.05,20,619.7,56505.49236111111
26,77,2.05,20,619.7,56505.493055555555
