wind_speed,wind_direction,temperature,relative_humidity,pressure,mjd
24.35,14,-0.8,43,616.2,53906.416666666664
22.61,54,-0.8,46,616.1,53906.42013888889
25.22,77,-0.7,49,616.1,53906.42361111111
22.61,31,-0.7,47,616.1,53906.42638888889
23.48,75,-0.7,51,615.9,53906.42986111111
23.48,19,-0.7,54,616.0,53906.433333333334
24.35,73,-0.7,54,616.0,53906.43680555555
24.35,80,-0.7,54,615.8,53906.44027777778
26.09,26,-0.7,56,615.9,53906.44375
25.22,99,-0.7,56,615.9,53906.447222222225
23.48,66,-0.7,57,615.8,53906.450694444444
24.35,97,-0.7,57,615.8,53906.45416666667
26.09,8,-0.7,58,615.6,53906.458333333336
25.22,33,-0.7,58,615.6,53906.461805555555
26.09,94,-0.7,57,615.5,53906.464583333334
26.09,126,-0.8,58,615.4,53906.46805555555
24.35,89,-0.8,59,615.5,53906.47152777778
25.22,119,-0.8,57,615.3,53906.475
25.22,60,-0.9,56,615.3,53906.478472222225
25.22,63,-0.8,57,615.2,53906.481944444444
24.35,54,-0.8,55,615.1,53906.48541666667
24.35,123,-0.8,56,615.2,53906.48888888889
23.48,144,-0.9,57,615.3,53906.493055555555
22.61,25,-0.9,57,615.1,53906.49652777778
21.74,20,-0.9,55,615.3,53906.5
21.74,36,-0.9,58,615.0,53906.50277777778
24.35,79,-1.0,57,615.1,53906.50625
24.35,57,-0.9,55,615.0,53906.509722222225
21.74,20,-0.9,58,615.2,53906.513194444444
23.48,133,-1.0,58,615.1,53906.51666666667
25.22,31,-0.9,54,615.0,53906.52013888889
22.61,111,-0.8,51,615.0,53906.52361111111
27.83,56,-0.8,57,615.0,53906.527083333334
25.22,55,-0.7,45,614.9,53906.53125
26.09,119,-0.7,49,614.9,53906.53472222222
23.48,21,-0.7,56,614.9,53906.538194444445
22.61,50,-0.8,57,614.9,53906.540972222225
26.09,100,-0.8,55,614.8,53906.544444444444
22.61,63,-1.0,61,614.7,53906.54791666667
24.35,20,-1.0,57,614.9,53906.55138888889
28.7,66,-1.0,53,614.8,53906.55486111111
24.35,46,-0.8,49,614.9,53906.558333333334
25.22,74,-0.6,49,614.9,53906.56180555555
25.22,50,-0.6,44,614.9,53906.56527777778
21.74,121,-0.5,43,614.9,53906.56875
20.87,81,-0.5,42,615.0,53906.572916666664
26.09,114,-0.4,42,614.9,53906.575694444444
26.09,35,-0.4,43,614.9,53906.57916666667
23.48,83,-0.5,49,615.0,53906.58263888889
20.0,94,-0.6,48,615.0,53906.58611111111
22.61,102,-0.6,45,615.0,53906.589583333334
23.48,119,-0.6,45,615.0,53906.59305555555
21.74,114,-0.5,47,615.1,53906.59652777778
22.61,100,-0.5,45,615.0,53906.6
22.61,80,-0.5,44,615.1,53906.604166666664
21.74,97,-0.5,43,615.2,53906.60763888889
23.48,109,-0.5,38,615.1,53906.61111111111
21.74,62,-0.4,43,615.2,53906.614583333336
22.61,108,-0.3,39,615.2,53906.61736111111
23.48,88,-0.4,35,615.2,53906.620833333334
24.35,109,-0.2,40,615.2,53906.62430555555
24.35,87,-0.2,32,615.1,53906.62777777778
23.48,92,-0.1,33,615.2,53906.63125
25.22,45,-0.2,35,615.2,53906.634722222225
24.35,92,-0.2,33,615.3,53906.638194444444
23.48,111,-0.2,33,615.2,53906.64166666667
22.61,114,-0.2,30,615.3,53906.64513888889
21.74,109,-0.1,29,615.4,53906.649305555555
21.74,117,-0.1,28,615.5,53906.65277777778
21.74,104,0.0,27,615.5,53906.65555555555
20.0,12,0.0,29,615.5,53906.65902777778
20.87,80,0.1,25,615.6,53906.6625
20.87,121,0.3,26,615.6,53906.665972222225
23.48,113,0.4,24,615.7,53906.669444444444
21.74,109,0.6,20,615.8,53906.67291666667
21.74,85,0.8,20,615.7,53906.67638888889
20.87,91,1.0,22,615.9,53906.67986111111
20.87,98,1.1,20,615.8,53906.68402777778
21.74,67,1.3,20,615.9,53906.6875
22.61,114,1.4,16,616.0,53906.69097222222
21.74,111,1.6,16,616.0,53906.69375
23.48,63,1.9,14,616.0,53906.697222222225
21.74,111,2.0,13,616.2,53906.700694444444
22.61,93,2.2,12,616.1,53906.70416666667
22.61,115,2.5,10,616.1,53906.70763888889
22.61,118,2.7,11,616.2,53906.71111111111
22.61,61,2.8,11,616.2,53906.714583333334
23.48,107,3.0,10,616.3,53906.71805555555
21.74,54,3.1,10,616.3,53906.72152777778
24.35,112,3.3,10,616.4,53906.725694444445
19.13,112,3.3,10,616.5,53906.729166666664
23.48,110,3.3,10,616.4,53906.731944444444
26.96,111,3.3,10,616.5,53906.73541666667
21.74,109,3.5,10,616.5,53906.73888888889
21.74,43,3.6,11,616.5,53906.74236111111
21.74,124,3.9,12,616.6,53906.745833333334
20.87,117,4.0,12,616.7,53906.74930555555
22.61,74,4.0,11,616.7,53906.75277777778
20.0,96,4.0,11,616.7,53906.75625
23.48,57,4.1,10,616.7,53906.760416666664
20.87,96,4.2,11,616.7,53906.76388888889
21.74,111,4.3,12,616.9,53906.76736111111
21.74,115,4.2,10,616.9,53906.77013888889
23.48,86,4.3,11,617.0,53906.77361111111
21.74,71,4.2,13,617.0,53906.777083333334
24.35,117,4.3,13,617.4,53906.78055555555
23.48,95,4.5,12,617.0,53906.78402777778
21.74,136,4.6,12,617.0,53906.7875
24.35,90,4.7,13,617.2,53906.790972222225
26.09,54,4.8,12,617.0,53906.794444444444
22.61,41,4.9,12,617.3,53906.79791666667
23.48,41,5.0,10,617.2,53906.802083333336
23.48,102,5.1,11,617.3,53906.805555555555
22.61,111,4.9,11,617.4,53906.808333333334
24.35,110,4.9,11,617.4,53906.81180555555
22.61,115,5.0,12,617.4,53906.81527777778
26.96,106,5.2,11,617.5,53906.81875
20.0,89,5.3,12,617.5,53906.822222222225
26.96,89,5.6,11,617.4,53906.825694444444
20.87,78,5.4,12,617.5,53906.82916666667
23.48,119,5.7,11,617.4,53906.83263888889
23.48,132,5.6,11,617.4,53906.836805555555
23.48,91,5.3,10,617.6,53906.84027777778
23.48,91,5.2,11,617.4,53906.84375
20.87,20,5.3,10,617.4,53906.84722222222
21.74,80,5.5,11,617.5,53906.85
25.22,114,5.7,11,617.5,53906.853472222225
20.0,144,5.8,11,617.5,53906.856944444444
20.87,107,5.6,11,617.4,53906.86041666667
19.13,102,5.8,11,617.5,53906.86388888889
22.61,122,5.7,11,617.5,53906.86736111111
17.39,116,5.8,12,617.7,53906.870833333334
22.61,118,6.1,12,617.5,53906.875
23.48,68,6.0,12,617.6,53906.87847222222
26.09,81,5.8,12,617.5,53906.881944444445
24.35,97,5.4,12,617.6,53906.884722222225
23.48,89,5.7,11,617.5,53906.888194444444
25.22,119,6.6,11,617.6,53906.89166666667
21.74,135,6.3,11,617.6,53906.89513888889
23.48,100,6.2,11,617.6,53906.89861111111
21.74,98,5.9,12,617.5,53906.902083333334
17.39,56,6.0,11,617.6,53906.90555555555
22.61,104,6.2,12,617.5,53906.90902777778
23.48,105,6.1,11,617.5,53906.9125
26.09,83,6.2,13,617.5,53906.916666666664
19.13,95,6.3,13,617.5,53906.92013888889
19.13,92,6.4,14,617.4,53906.92291666667
17.39,56,6.4,13,617.5,53906.92638888889
18.26,94,6.4,11,617.3,53906.92986111111
18.26,113,6.7,11,617.3,53906.933333333334
13.91,64,6.5,12,617.4,53906.93680555555
20.0,112,6.6,11,617.3,53906.94027777778
19.13,145,6.3,11,617.3,53906.94375
18.26,102,6.3,14,617.2,53906.947222222225
17.39,110,6.2,13,617.2,53906.95138888889
20.0,106,6.2,13,617.2,53906.95486111111
18.26,104,6.4,14,617.2,53906.958333333336
20.87,110,6.5,15,617.2,53906.96111111111
18.26,104,6.8,19,617.1,53906.964583333334
21.74,117,6.7,14,617.1,53906.96805555555
18.26,144,6.6,15,617.1,53906.97152777778
12.17,142,6.5,15,617.1,53906.975
17.39,135,6.7,18,617.1,53906.978472222225
19.13,114,6.5,13,617.0,53906.981944444444
18.26,99,6.3,13,617.0,53906.98541666667
16.52,108,6.3,15,617.0,53906.98888888889
21.74,125,6.6,13,616.9,53906.993055555555
17.39,132,6.4,14,617.0,53906.995833333334
17.39,109,6.3,14,616.9,53906.99930555555
21.74,114,6.4,12,616.9,53907.00277777778
16.52,120,6.3,12,617.0,53907.00625
14.78,29,6.3,15,617.1,53907.009722222225
13.04,33,6.2,14,617.1,53907.013194444444
13.91,106,6.3,13,617.1,53907.01666666667
20.87,98,6.5,16,617.0,53907.02013888889
15.65,111,6.0,13,617.0,53907.02361111111
18.26,126,5.9,13,616.9,53907.02777777778
17.39,114,5.8,11,616.9,53907.03125
15.65,102,5.7,12,616.9,53907.03402777778
17.39,117,5.7,13,616.9,53907.0375
16.52,86,5.7,13,616.8,53907.040972222225
14.78,117,5.5,12,616.8,53907.044444444444
14.78,101,5.5,11,616.9,53907.04791666667
15.65,132,5.5,12,616.8,53907.05138888889
20.0,123,5.6,12,616.8,53907.05486111111
14.78,123,5.5,12,616.7,53907.058333333334
13.04,108,5.6,13,616.7,53907.06180555555
17.39,99,5.3,12,616.6,53907.06527777778
22.61,115,5.4,12,616.6,53907.069444444445
15.65,85,5.2,12,616.6,53907.072916666664
15.65,101,5.1,13,616.5,53907.075694444444
14.78,76,5.1,13,616.6,53907.07916666667
13.91,104,5.1,12,616.5,53907.08263888889
14.78,115,5.2,13,616.5,53907.08611111111
13.04,106,5.0,12,616.5,53907.089583333334
9.57,146,4.8,14,616.7,53907.09305555555
13.91,130,5.0,12,616.6,53907.09652777778
11.3,138,4.9,13,616.7,53907.1
14.78,132,4.7,13,616.7,53907.104166666664
11.3,129,4.7,13,616.7,53907.10763888889
13.04,127,4.7,13,616.7,53907.11111111111
10.43,165,4.8,13,616.8,53907.11388888889
15.65,102,4.7,12,616.8,53907.11736111111
15.65,137,4.5,13,616.8,53907.120833333334
19.13,104,4.3,13,616.8,53907.12430555555
13.04,86,4.1,14,616.9,53907.12777777778
14.78,124,4.1,12,616.7,53907.13125
15.65,118,4.1,12,616.8,53907.134722222225
13.04,103,4.0,13,616.9,53907.138194444444
13.04,113,3.8,13,616.8,53907.14166666667
13.04,132,3.7,13,616.8,53907.145833333336
12.17,125,3.6,12,616.8,53907.14861111111
15.65,117,3.6,12,616.7,53907.152083333334
13.91,122,3.5,12,616.8,53907.15555555555
10.43,127,3.4,12,616.7,53907.15902777778
10.43,131,3.3,12,616.9,53907.1625
10.43,128,3.2,13,616.8,53907.165972222225
12.17,136,3.1,12,616.8,53907.169444444444
11.3,125,2.9,12,616.8,53907.17291666667
10.43,145,2.7,12,616.8,53907.17638888889
12.17,119,2.7,12,616.8,53907.180555555555
13.04,127,2.7,12,616.8,53907.18402777778
13.04,119,2.7,12,616.7,53907.1875
13.91,113,2.7,12,616.6,53907.19027777778
13.04,128,2.6,12,616.8,53907.19375
12.17,114,2.4,12,616.8,53907.197222222225
13.91,105,2.3,12,616.8,53907.200694444444
12.17,123,2.1,12,616.9,53907.20416666667
11.3,122,1.9,12,616.8,53907.20763888889
12.17,123,1.6,12,616.9,53907.21111111111
12.17,125,1.4,12,617.0,53907.214583333334
13.91,116,1.5,12,616.9,53907.21875
12.17,104,1.3,12,617.0,53907.22222222222
11.3,113,1.3,11,617.0,53907.225694444445
12.17,131,1.3,12,617.0,53907.228472222225
11.3,127,1.3,12,617.1,53907.231944444444
8.7,103,1.1,12,617.1,53907.23541666667
9.57,106,1.3,11,617.1,53907.23888888889
12.17,103,1.1,13,617.0,53907.24236111111
12.17,123,1.0,12,617.1,53907.245833333334
13.91,106,1.0,12,617.1,53907.24930555555
11.3,118,1.2,12,617.2,53907.25277777778
8.7,131,1.1,12,617.1,53907.25625
11.3,117,0.7,12,617.2,53907.260416666664
10.43,117,0.5,12,617.2,53907.26388888889
12.17,123,0.3,12,617.2,53907.26666666667
11.3,129,0.3,12,617.2,53907.27013888889
6.96,135,0.3,12,617.3,53907.27361111111
6.96,136,0.0,14,617.3,53907.277083333334
7.83,137,-0.4,27,617.3,53907.28055555555
6.96,141,-0.4,32,617.3,53907.28402777778
7.83,136,-0.7,37,617.3,53907.2875
7.83,137,-0.7,36,617.3,53907.291666666664
10.43,132,-0.8,32,617.2,53907.29513888889
9.57,139,-0.8,36,617.2,53907.29861111111
8.7,139,-0.9,38,617.3,53907.30138888889
11.3,123,-0.8,31,617.3,53907.30486111111
9.57,127,-0.6,37,617.2,53907.308333333334
9.57,135,-0.8,34,617.2,53907.31180555555
6.96,145,-0.8,32,617.3,53907.31527777778
7.83,134,-0.8,38,617.3,53907.31875
