mass,mjd
0.4,55709.2653587963
0.32,55709.266388888886
0.33,55709.267430555556
0.26,55709.26846064815
0.23,55709.26949074074
0.29,55709.270532407405
0.26,55709.271574074075
0.23,55709.27261574074
0.24,55709.27364583333
0.24,55709.274675925924
0.27,55709.275717592594
0.38,55709.27675925926
0.33,55709.28142361111
0.29,55709.28462962963
0.61,55709.28671296296
0.59,55709.28774305555
1.01,55709.288773148146
0.79,55709.289814814816
1.43,55709.29084490741
0.41,55709.29292824074
0.45,55709.293958333335
0.43,55709.295
0.47,55709.29605324074
0.51,55709.29709490741
0.69,55709.298125
0.59,55709.299166666664
0.64,55709.300208333334
0.75,55709.30123842593
0.58,55709.30228009259
0.51,55709.30332175926
0.85,55709.30434027778
0.63,55709.30538194445
0.51,55709.30642361111
0.47,55709.30746527778
0.78,55709.30850694444
0.59,55709.309537037036
0.64,55709.310578703706
0.62,55709.31162037037
0.51,55709.3137037037
0.47,55709.31474537037
0.51,55709.315775462965
0.54,55709.31680555556
0.52,55709.31784722222
0.45,55709.31890046296
0.38,55709.31993055555
0.47,55709.320972222224
0.44,55709.32201388889
0.63,55709.32305555556
0.47,55709.32409722222
0.35,55709.32512731481
0.46,55709.326157407406
0.51,55709.327199074076
0.69,55709.32824074074
0.54,55709.32928240741
0.57,55709.33032407407
0.48,55709.331354166665
0.35,55709.332395833335
0.44,55709.333449074074
0.37,55709.33449074074
0.34,55709.33552083333
0.36,55709.3365625
0.46,55709.33760416666
0.5,55709.33864583333
0.51,55709.3396875
0.37,55709.341770833336
0.53,55709.3428125
0.52,55709.34489583333
0.45,55709.3459375
0.4,55709.346979166665
0.57,55709.34905092593
0.45,55709.35009259259
0.52,55709.35113425926
0.53,55709.352175925924
0.44,55709.35322916666
0.47,55709.3553125
0.43,55709.356354166666
0.61,55709.357395833336
0.57,55709.358449074076
0.65,55709.35949074074
0.34,55709.36157407407
0.51,55709.36261574074
0.58,55709.363645833335
0.39,55709.36471064815
0.73,55709.36576388889
0.54,55709.36680555555
0.5,55709.36785879629
0.59,55709.36888888889
0.6,55709.369942129626
0.62,55709.370983796296
0.58,55709.37201388889
0.63,55709.37305555555
0.66,55709.3741087963
0.68,55709.37515046296
0.57,55709.376180555555
0.52,55709.377233796295
0.45,55709.378287037034
0.42,55709.379328703704
0.49,55709.3803587963
0.79,55709.38244212963
0.65,55709.38349537037
0.71,55709.38452546296
0.73,55709.38662037037
0.96,55709.387662037036
0.85,55709.388703703706
0.7,55709.389756944445
0.6,55709.39079861111
0.6,55709.39184027778
0.51,55709.39287037037
0.65,55709.39393518519
0.52,55709.39498842593
0.68,55709.39601851852
0.51,55709.39708333334
0.61,55709.398125
0.52,55709.39917824074
0.48,55709.40021990741
0.57,55709.40126157407
0.48,55709.40335648148
0.37,55709.40546296296
0.39,55709.40650462963
0.49,55709.40755787037
0.72,55709.40861111111
0.59,55709.40965277778
0.93,55709.41069444444
1.35,55709.41174768518
0.94,55709.4128125
0.74,55709.41385416667
0.54,55709.41491898148
0.63,55709.415972222225
0.52,55709.41918981481
0.56,55709.42023148148
0.49,55709.421273148146
0.49,55709.422314814816
0.61,55709.423368055555
0.38,55709.424409722225
0.43,55709.425462962965
0.38,55709.42650462963
0.34,55709.42755787037
0.4,55709.428611111114
0.42,55709.429664351854
0.46,55709.43070601852
0.43,55709.43174768519
0.28,55709.433854166666
0.37,55709.434895833336
0.32,55709.435949074075
0.33,55709.437002314815
0.44,55709.438043981485
0.43,55709.440150462964
0.4,55709.44119212963
0.8,55709.4422337963
0.79,55709.44432870371
0.58,55709.44537037037
0.61,55709.44641203704
0.51,55709.44746527778
0.51,55709.448530092595
0.64,55709.449583333335
0.65,55709.450625
0.6,55709.45167824074
0.64,55709.452731481484
0.6,55709.453784722224
0.76,55709.45482638889
0.9,55709.4558912037
1.14,55709.45694444444
0.97,55709.45799768518
0.62,55709.45903935185
0.56,55709.46009259259
0.62,55709.46368055556
0.52,55709.46576388889
0.62,55709.46680555555
0.98,55709.46891203704
0.83,55709.4699537037
0.99,55709.47100694444
0.72,55709.47206018519
1.4,55709.47310185185
1.57,55709.47415509259
1.33,55709.47520833334
1.46,55709.47625
0.95,55709.47730324074
0.75,55709.47835648148
1.19,55709.480462962965
1.07,55709.481527777774
1.02,55709.48258101852
1.11,55709.483622685184
1.05,55709.484664351854
0.9,55709.48571759259
0.85,55709.48678240741
0.78,55709.48783564815
0.84,55709.48888888889
0.81,55709.48994212963
0.89,55709.49099537037
0.87,55709.49204861111
0.84,55709.493101851855
0.67,55709.494155092594
1.28,55709.495208333334
0.94,55709.49731481481
0.6,55709.49837962963
0.63,55709.49943287037
0.72,55709.50048611111
0.71,55709.501539351855
0.84,55709.502592592595
0.86,55709.503645833334
0.87,55709.50471064815
0.67,55709.50576388889
0.83,55709.50682870371
0.71,55709.50787037037
0.83,55709.50892361111
0.93,55709.50997685185
0.94,55709.511030092595
1.21,55709.512083333335
1.26,55709.51314814815
1.35,55709.51422453704
1.42,55709.51527777778
1.16,55709.51634259259
1.38,55709.51739583333
0.99,55709.51844907407
1.16,55709.51950231481
1.34,55709.52055555556
1.77,55709.52162037037
1.63,55709.52266203704
1.67,55709.523726851854
1.11,55709.52478009259
1.31,55709.52584490741
1.73,55709.52689814815
1.46,55709.52900462963
1.44,55709.53005787037
1.26,55709.53383101852
