dimm,mjd
0.89,55709.26325231481
0.7,55709.265023148146
0.78,55709.26605324074
0.8,55709.26709490741
0.66,55709.268113425926
0.74,55709.269155092596
0.66,55709.27018518518
0.76,55709.27123842593
0.67,55709.27226851852
0.72,55709.27329861111
0.6,55709.27434027778
0.59,55709.27538194445
0.54,55709.276412037034
0.51,55709.28108796296
0.55,55709.282118055555
0.73,55709.28533564815
0.65,55709.28636574074
0.62,55709.28739583334
0.68,55709.28947916667
0.61,55709.291550925926
0.63,55709.292592592596
0.62,55709.29362268518
0.59,55709.29466435185
0.56,55709.295694444445
0.58,55709.29675925926
0.77,55709.297789351855
0.65,55709.29883101852
0.65,55709.299849537034
0.71,55709.30090277778
0.66,55709.301932870374
0.67,55709.30297453704
0.66,55709.30504629629
0.57,55709.306076388886
0.58,55709.307118055556
0.77,55709.30815972222
0.67,55709.30920138889
0.71,55709.31024305556
0.76,55709.311273148145
0.69,55709.31232638889
0.65,55709.313368055555
0.63,55709.31439814815
0.61,55709.31542824074
0.69,55709.316469907404
0.62,55709.31854166667
0.56,55709.31959490741
0.71,55709.32063657408
0.72,55709.32270833333
0.64,55709.32375
0.64,55709.32478009259
0.67,55709.32582175926
0.74,55709.32685185185
0.76,55709.327893518515
0.61,55709.32894675926
0.73,55709.329976851855
0.63,55709.33101851852
0.63,55709.33206018519
0.75,55709.33310185185
0.73,55709.33414351852
0.77,55709.335185185184
0.79,55709.336226851854
0.84,55709.33725694445
0.69,55709.33829861111
0.82,55709.33934027778
0.81,55709.34143518518
0.84,55709.34247685185
0.84,55709.343506944446
0.85,55709.34454861111
0.73,55709.345601851855
0.67,55709.34767361111
0.74,55709.348715277774
0.87,55709.349756944444
0.88,55709.35184027778
0.77,55709.35392361111
0.77,55709.35497685185
0.78,55709.35601851852
0.84,55709.35706018518
0.85,55709.35810185185
0.99,55709.359143518515
0.9,55709.360185185185
0.73,55709.361226851855
0.9,55709.36226851852
0.94,55709.36331018519
0.81,55709.36435185185
1.0,55709.36541666667
0.85,55709.36645833333
0.91,55709.36751157408
0.89,55709.36855324074
0.79,55709.37063657407
0.9,55709.37167824074
0.86,55709.372719907406
0.94,55709.37480324074
0.95,55709.37584490741
0.9,55709.37688657407
0.99,55709.37898148148
1.01,55709.381064814814
0.93,55709.38209490741
0.94,55709.38314814815
0.91,55709.38418981482
0.97,55709.38523148148
0.94,55709.38627314815
0.98,55709.38732638889
1.01,55709.38835648148
0.91,55709.389398148145
1.02,55709.390439814815
1.08,55709.391493055555
0.99,55709.392534722225
0.83,55709.393587962964
0.91,55709.39462962963
1.04,55709.395682870374
0.81,55709.39673611111
0.74,55709.39778935185
0.73,55709.39881944445
0.7,55709.399872685186
0.94,55709.401967592596
0.67,55709.40300925926
0.72,55709.40405092593
0.64,55709.40511574074
0.81,55709.406168981484
0.74,55709.40721064815
0.97,55709.40825231482
0.95,55709.410358796296
0.94,55709.41244212963
0.8,55709.41457175926
1.11,55709.415613425925
0.84,55709.416666666664
0.82,55709.41988425926
0.71,55709.42092592592
0.79,55709.42197916667
0.77,55709.42302083333
0.65,55709.42407407407
0.76,55709.425104166665
0.66,55709.426157407404
0.63,55709.42721064815
0.71,55709.428252314814
0.71,55709.42930555555
0.75,55709.43035879629
0.65,55709.4324537037
0.78,55709.43349537037
1.03,55709.43454861111
0.79,55709.43560185185
0.72,55709.43664351852
0.77,55709.43770833333
0.7,55709.43875
0.75,55709.43980324074
0.82,55709.44085648148
0.88,55709.441875
0.9,55709.442928240744
0.84,55709.44398148148
0.95,55709.445023148146
0.85,55709.446076388886
0.92,55709.44712962963
0.86,55709.448171296295
1.0,55709.449224537035
1.08,55709.450277777774
0.96,55709.45133101852
0.98,55709.45238425926
1.03,55709.4534375
1.08,55709.45449074074
1.41,55709.45553240741
1.34,55709.45658564815
1.02,55709.45763888889
1.06,55709.45869212963
0.98,55709.45974537037
0.88,55709.463321759256
1.07,55709.46436342593
1.22,55709.465416666666
0.85,55709.466469907406
1.08,55709.467511574076
1.29,55709.46855324074
1.11,55709.46960648148
1.21,55709.470659722225
1.19,55709.47275462963
1.33,55709.473807870374
1.33,55709.47486111111
1.26,55709.47591435185
1.08,55709.47696759259
0.93,55709.47800925926
1.13,55709.4790625
1.14,55709.48011574074
1.33,55709.48116898148
1.19,55709.48222222222
1.33,55709.48327546296
1.33,55709.4843287037
1.15,55709.48538194445
1.12,55709.48642361111
1.02,55709.48747685185
1.08,55709.488541666666
0.91,55709.489583333336
0.92,55709.490648148145
0.89,55709.49170138889
1.52,55709.492743055554
0.97,55709.49486111111
1.17,55709.49696759259
0.81,55709.498032407406
1.18,55709.499074074076
1.14,55709.50119212963
1.02,55709.50329861111
1.06,55709.50540509259
1.15,55709.507523148146
1.17,55709.508576388886
1.15,55709.50962962963
1.33,55709.510671296295
1.31,55709.51173611111
1.32,55709.51384259259
1.49,55709.51493055555
1.43,55709.51598379629
1.37,55709.51703703704
1.4,55709.51809027778
1.45,55709.519155092596
1.74,55709.52019675926
1.9,55709.521261574075
1.6,55709.522314814814
1.86,55709.52337962963
1.36,55709.52443287037
1.39,55709.52548611111
1.77,55709.527592592596
2.02,55709.528645833336
1.46,55709.529699074075
1.43,55709.530752314815
1.47,55709.534537037034
1.6,55709.53665509259
2.2,55709.538773148146
1.51,55709.539826388886
1.45,55709.5408912037
1.39,55709.54300925926
1.36,55709.544074074074
1.28,55709.54513888889
1.59,55709.54620370371
1.31,55709.54724537037
1.26,55709.54832175926
1.57,55709.549375
1.97,55709.55043981481
1.61,55709.55149305556
1.6,55709.55255787037
1.19,55709.55467592592
1.2,55709.556805555556
1.19,55709.558912037035
0.76,55709.55997685185
1.08,55709.56104166667
1.56,55709.563159722224
1.41,55709.56422453704
1.48,55709.56528935185
1.13,55709.566354166665
1.39,55709.567407407405
1.17,55709.568460648145
1.05,55709.56952546296
1.17,55709.57059027778
1.33,55709.57164351852
1.02,55709.57270833333
1.1,55709.57377314815
1.32,55709.574837962966
1.21,55709.575902777775
1.3,55709.57695601852
1.58,55709.57802083333
1.51,55709.57907407408
1.3,55709.58012731482
1.86,55709.581192129626
1.54,55709.58226851852
1.65,55709.583333333336
1.93,55709.584398148145
1.54,55709.58657407408
1.75,55709.58762731482
1.43,55709.588692129626
1.37,55709.59079861111
1.43,55709.59292824074
1.46,55709.5940162037
1.41,55709.59508101852
1.34,55709.59615740741
1.43,55709.59721064815
1.39,55709.5984837963
1.35,55709.59953703704
1.23,55709.600590277776
1.31,55709.60166666667
1.65,55709.60271990741
1.29,55709.60486111111
1.55,55709.60592592593
1.58,55709.60697916667
1.11,55709.60805555555
1.17,55709.6091087963
1.29,55709.61016203704
1.14,55709.611238425925
1.22,55709.61230324074
1.1,55709.61440972222
1.15,55709.61546296296
1.18,55709.61653935185
1.36,55709.61866898148
