strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure,train,strehl_RF_pred,strehl_RF_err,strehl_RF_percent_err,fwhm_RF_pred,fwhm_RF_err,fwhm_RF_percent_err
0.336,54.37,1.5187700000000002,176.31097,0.06,0.43,3.0,101.0,3.71,8.0,618.5,False,,,,57.1735,-2.8034999999999997,-0.051563362148243516
0.308,55.46,1.51841,176.55176,0.06,0.42,4.0,100.0,3.67,8.0,618.5,True,,,,55.638100000000016,-0.1781000000000148,-0.003211323476379639
0.295,56.54,1.51799,176.84843999999995,0.06,0.42,5.0,101.0,3.64,8.0,618.5,True,,,,56.50039999999999,0.039600000000007185,0.0007003891050584929
0.324,55.08,1.51768,177.08794,0.06,0.44,4.0,107.0,3.61,8.0,618.5,True,,,,55.813199999999966,-0.7331999999999681,-0.013311546840958028
0.309,54.93,1.51737,177.34561000000005,0.08,0.44,4.0,119.0,3.58,8.0,618.5,True,,,,55.663100000000014,-0.7331000000000145,-0.013346076825050329
0.304,56.56,1.51711,177.58776,0.08,0.42,3.0,115.0,3.57,8.0,618.5,True,,,,56.57020000000005,-0.010200000000047282,-0.0001803394625185163
0.335,54.85,1.5168700000000002,177.8288,0.08,0.42,3.0,106.0,3.57,8.0,618.5,True,,,,55.417600000000036,-0.5676000000000343,-0.01034822242479552
0.315,55.67,1.51665,178.0865,0.08,0.48,3.0,106.0,3.57,8.0,618.5,True,,,,55.931100000000036,-0.2611000000000345,-0.004690138315071574
0.335,55.58,1.51642,178.38608,0.08,0.48,4.0,98.0,3.57,8.0,618.5,True,,,,55.936299999999974,-0.3562999999999761,-0.006410579345087731
0.298,56.78,1.51627,178.62778,0.08,0.48,4.0,105.0,3.57,8.0,618.5,True,,,,56.61599999999999,0.16400000000000858,0.0028883409651287175
0.33799999999999997,54.82,1.51614,178.86891,0.08,0.39,4.0,103.0,3.56,8.0,618.5,False,,,,55.77739999999997,-0.9573999999999714,-0.01746442904049565
0.306,55.25,1.51603,179.12552,0.08,0.39,4.0,100.0,3.56,8.0,618.5,True,,,,55.62019999999998,-0.37019999999998277,-0.006700452488687471
0.26899999999999996,55.24,1.51595,179.40083,0.08,0.45,4.0,103.0,3.57,8.0,618.5,False,,,,56.62100000000002,-1.3810000000000215,-0.02500000000000039
0.317,56.37,1.5159,179.64129,0.08,0.34,4.0,108.0,3.57,8.0,618.5,True,,,,56.71839999999997,-0.3483999999999696,-0.006180592513747909
0.304,57.59,1.51587,179.95295,0.08,0.34,4.0,109.0,3.58,8.0,618.5,True,,,,57.40010000000004,0.18989999999996598,0.0032974474735191174
0.284,58.57,1.51587,180.19225,0.08,0.43,3.0,110.0,3.58,8.0,618.5,True,,,,58.15090000000001,0.41909999999999314,0.007155540379033518
0.267,57.77,1.51591,180.43401,0.08,0.43,3.0,110.0,3.58,8.0,618.5,True,,,,57.78390000000009,-0.013900000000084844,-0.00024060931279357527
0.24600000000000002,57.74,1.51596,180.67588,0.08,0.31,3.0,110.0,3.61,8.0,618.5,False,,,,58.44130000000004,-0.7013000000000389,-0.012145826117077223
0.252,57.91,1.51605,180.93461,0.08,0.47,3.0,110.0,3.62,8.0,618.5,True,,,,57.92249999999996,-0.01249999999996021,-0.00021585218442341926
0.266,58.84,1.51616,181.17469,0.08,0.47,3.0,107.0,3.64,8.0,618.5,True,,,,58.34360000000002,0.49639999999997997,0.008436437797416383
0.268,58.36,1.51633,181.47604,0.08,0.51,4.0,108.0,3.65,8.0,618.5,True,,,,57.87609999999996,0.4839000000000411,0.008291638108294055
0.271,57.11,1.5165,181.71595,0.08,0.51,3.0,108.0,3.65,8.0,618.5,True,,,,57.55939999999996,-0.4493999999999616,-0.007869024689195616
0.308,54.09,1.51668,181.95708,0.08,0.41,4.0,108.0,3.66,8.0,618.5,True,,,,55.2073,-1.117299999999993,-0.020656313551488132
0.314,56.41,1.5169,182.19894,0.08,0.41,4.0,107.0,3.64,8.0,618.5,True,,,,56.35979999999997,0.05020000000002511,0.0008899131359692451
0.289,58.05,1.51714,182.43938,0.08,0.46,4.0,107.0,3.64,8.0,618.5,True,,,,57.821000000000055,0.22899999999994236,0.003944875107664812
0.285,59.19,1.5174,182.68125,0.08,0.46,4.0,110.0,3.63,9.0,618.5,False,,,,58.40470000000004,0.7852999999999568,0.013267443824969706
0.24600000000000002,62.15,1.51778,182.99265,0.08,0.46,3.0,111.0,3.6,9.0,618.5,True,,,,60.74669999999996,1.403300000000037,0.02257924376508507
