strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure,train,strehl_RF_pred,strehl_RF_err,strehl_RF_percent_err,fwhm_RF_pred,fwhm_RF_err,fwhm_RF_percent_err
0.331,59.09,1.55908,166.16518,0.06,0.4,1.0,119.0,3.52,48.0,618.2,True,0.32471111111111095,0.006288888888889066,0.018999664316885396,59.851868686868734,-0.7618686868687305,-0.012893360752559325
0.312,61.04,1.55759,166.39213,0.06,0.4,1.0,119.0,3.52,48.0,618.2,True,0.31726666666666675,-0.005266666666666753,-0.016880341880342157,60.618313131313144,0.4216868686868551,0.006908369408369186
0.316,57.67,1.55611,166.62168,0.06,0.45,1.0,119.0,3.5,47.0,618.2,True,0.30957777777777756,0.00642222222222244,0.02032348804500772,60.892861111111145,-3.2228611111111434,-0.05588453461264337
0.23800000000000002,73.3,1.55465,166.85421000000005,0.06,0.45,2.0,119.0,3.47,47.0,618.3,True,0.2635333333333332,-0.025533333333333158,-0.10728291316526536,67.93297222222228,5.3670277777777216,0.07322002425344777
0.26899999999999996,65.81,1.5531,167.10523,0.06,0.42,1.0,120.0,3.45,50.0,618.3,False,0.3180111111111108,-0.04901111111111084,-0.18219743907476152,60.72520202020203,5.084797979797969,0.07726482266825663
0.33899999999999997,58.32,1.55171,167.33548000000005,0.06,0.49,1.0,119.0,3.41,50.0,618.3,True,0.32278888888888846,0.01621111111111151,0.04782038675844103,59.210638888888866,-0.8906388888888657,-0.015271585886297422
0.299,59.41,1.55003,167.62265,0.06,0.49,1.0,119.0,3.38,48.0,618.3,True,0.30368888888888856,-0.004688888888888576,-0.015681902638423333,60.01186111111106,-0.601861111111063,-0.010130636443545919
0.31,60.92,1.54872,167.8518,0.06,0.45,1.0,120.0,3.36,44.0,618.3,True,0.30935555555555516,0.0006444444444448361,0.0020788530465962454,60.38355555555558,0.5364444444444203,0.00880571970525969
0.316,59.94,1.54741,168.08527,0.06,0.45,1.0,120.0,3.35,38.0,618.3,True,0.31615,-0.00014999999999998348,-0.0004746835443037452,60.29000555555555,-0.3500055555555548,-0.005839265191117031
0.295,63.06,1.54614,168.31732,0.06,0.38,1.0,120.0,3.35,38.0,618.3,True,0.30278888888888933,-0.007788888888889345,-0.026403013182675746,61.8992277777778,1.1607722222221994,0.01840742502731049
0.306,61.08,1.54489,168.55097,0.06,0.32,1.0,120.0,3.35,35.0,618.3,True,0.3092296296296299,-0.0032296296296299154,-0.010554345194869004,61.30450925925923,-0.2245092592592286,-0.0036756591234320336
0.312,60.47,1.54367,168.78489,0.06,0.32,1.0,120.0,3.36,35.0,618.3,True,0.31397407407407435,-0.00197407407407435,-0.006327160493828045,60.71239814814812,-0.24239814814811922,-0.004008568681133111
0.336,58.63,1.54211,169.09126,0.06,0.39,1.0,120.0,3.37,33.0,618.3,False,0.3418074074074078,-0.005807407407407761,-0.017283950617285,58.02900555555552,0.6009944444444812,0.010250630128679536
0.35,56.65,1.54096,169.32488,0.06,0.39,1.0,120.0,3.38,32.0,618.3,True,0.3468518518518522,0.003148148148147789,0.00899470899470797,57.28734646464644,-0.6373464646464413,-0.011250599552452627
0.35700000000000004,55.96,1.53983,169.55851,0.06,0.38,0.0,120.0,3.41,30.0,618.3,True,0.3537666666666664,0.0032333333333336434,0.009056956115780513,56.65829090909093,-0.6982909090909288,-0.012478393657807877
0.354,56.93,1.53874,169.79246,0.06,0.38,0.0,120.0,3.43,30.0,618.3,False,0.347511111111111,0.006488888888888988,0.018330194601381324,57.32906868686866,-0.3990686868686595,-0.007009813575771289
0.335,59.45,1.53766,170.02764,0.06,0.35,0.0,120.0,3.43,30.0,618.3,True,0.3393444444444448,-0.004344444444444762,-0.012968490878939587,58.62038350168343,0.8296164983165752,0.013954861199605975
0.304,62.2,1.5286,172.32881,0.06,0.35,0.0,119.0,3.61,13.0,618.4,True,0.3110248513563727,-0.007024851356372708,-0.023108063672278644,60.54893981481475,1.6510601851852513,0.02654437596760854
0.311,58.49,1.52775,172.58457,0.06,0.35,0.0,119.0,3.62,12.0,618.4,False,0.3213017032082247,-0.01030170320822471,-0.033124447614870454,59.07168981481477,-0.5816898148147658,-0.00994511565762978
0.33399999999999996,56.11,1.52699,172.82173,0.06,0.35,0.0,120.0,3.62,11.0,618.4,True,0.32809074074074046,0.005909259259259503,0.01769239299179492,57.428856481481446,-1.318856481481447,-0.023504838379637266
