comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_SVR_pred,strehl_SVR_err,strehl_SVR_percent_err,fwhm_SVR_pred,fwhm_SVR_err,fwhm_SVR_percent_err
-0.8598182864807979,-1.1741637491763008,0.17759492496796855,-1.6336013950889994,1.1400022669415262,-0.3015707914505269,1.3786173261558072,0.5453668688797909,0.5423195550947489,0.331,59.09,True,0.36499027959083546,-0.03399027959083545,-0.10268966643756933,60.90099053063198,-1.810990530631976,-0.03064800356459597
-0.8544174150793706,-1.1892183966903165,0.1835353595065456,-1.62483185450322,1.1422296696278895,-0.3005338546409347,1.370886267273978,0.5463352604260627,0.5423033805532579,0.312,61.04,True,0.3645369529320079,-0.052536952932007885,-0.16838766965387142,60.94020720511203,0.09979279488796777,0.0016348754077321064
-0.7672163238385128,-1.1385349999627663,0.153751105727399,-1.4065228842470607,1.1299949125747093,-0.33438087943877826,1.484725359440249,0.476286126210669,0.514791080964228,0.316,57.67,True,0.3603088693067192,-0.04430886930671918,-0.14021794084404804,59.757035792768534,-2.087035792768532,-0.03618928026302292
-0.6984593273476623,-1.1238752510800696,0.08263805369369434,-1.4049849463490658,1.1304691212002522,-0.3824400518259144,1.3870865534414138,0.4634879194048706,0.514487869409082,0.238,73.3,True,0.36033009632164636,-0.12233009632164638,-0.5139920013514554,59.183610272097916,14.116389727902082,0.19258376163577193
-0.7338984929988808,-1.2572849891066615,0.14502085892575245,-1.6056223795721145,1.25920835972449,-0.304684048301592,1.4367406352602947,0.5199488896625002,0.5291246501233323,0.269,65.81,False,0.36491429272405834,-0.09591429272405833,-0.3565587090113692,60.884733238722106,4.925266761277896,0.07484070447162887
-0.5705495112958572,-1.2110736435039402,0.08576874112191235,-1.3576522457784688,1.2886512683718514,-0.34907341266175235,1.63254380123631,0.4245517391563792,0.5187592847297423,0.339,58.32,True,0.35979755001853575,-0.020797550018535726,-0.06134970506942692,59.28050273097621,-0.9605027309762093,-0.016469525565435687
-0.6073001726781769,-1.187408804082347,0.12153659230840005,-1.2817139279766951,1.2063816362408502,-0.3574141421329923,1.5819593370531015,0.4198171516452918,0.4663918709168564,0.299,59.41,True,0.3587848811356848,-0.05978488113568481,-0.19994943523640404,59.00150342441672,0.40849657558327834,0.00687588916989191
-0.7854580855696041,-1.1524041990449676,0.21876292114964632,-1.2753875753663386,1.028228118189347,-0.3480092457875553,1.3740153601500975,0.4649142288158444,0.3721984306670244,0.31,60.92,True,0.35916857917325723,-0.04916857917325723,-0.158608319913733,59.22806749503536,1.6919325049646403,0.027773022077554832
-0.9303427171990384,-1.0475082063081522,0.29181076010264284,-1.05812596409592,0.7770637550410394,-0.36570964134298056,1.241978042369546,0.4555682884827802,0.2411000470315001,0.316,59.94,True,0.3547751024554667,-0.03877510245546667,-0.122706020428692,58.38628284789531,1.5537171521046886,0.025921207075486966
-1.0681968319743185,-1.1240086319327156,0.3691121048910931,-1.2986312426081257,0.739723260326409,-0.3230555582361726,1.0355340806256366,0.5504908079325532,0.24070342865327224,0.295,63.06,True,0.358007008744813,-0.06300700874481302,-0.2135830804908916,59.595769890446,3.464230109554002,0.05493546003098639
