comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_SVR_pred,strehl_SVR_err,strehl_SVR_percent_err,fwhm_SVR_pred,fwhm_SVR_err,fwhm_SVR_percent_err
-0.8598182864807979,-1.1741637491763008,0.17759492496796855,-1.6336013950889994,1.1400022669415262,-0.3015707914505269,1.3786173261558072,0.5453668688797909,0.5423195550947489,0.331,59.09,True,,,,57.69223401081303,1.397765989186972,0.023654865276476086
-0.8544174150793706,-1.1892183966903165,0.1835353595065456,-1.62483185450322,1.1422296696278895,-0.3005338546409347,1.370886267273978,0.5463352604260627,0.5423033805532579,0.312,61.04,True,,,,57.73627153725304,3.3037284627469603,0.05412399185365269
-0.7672163238385128,-1.1385349999627663,0.153751105727399,-1.4065228842470607,1.1299949125747093,-0.33438087943877826,1.484725359440249,0.476286126210669,0.514791080964228,0.316,57.67,True,,,,58.95803092506158,-1.2880309250615767,-0.022334505376479567
-0.6984593273476623,-1.1238752510800696,0.08263805369369434,-1.4049849463490658,1.1304691212002522,-0.3824400518259144,1.3870865534414138,0.4634879194048706,0.514487869409082,0.238,73.3,True,,,,59.53275793975322,13.76724206024678,0.1878204919542535
-0.7338984929988808,-1.2572849891066615,0.14502085892575245,-1.6056223795721145,1.25920835972449,-0.304684048301592,1.4367406352602947,0.5199488896625002,0.5291246501233323,0.269,65.81,False,,,,57.823710947489715,7.986289052510287,0.12135373123401134
-0.5705495112958572,-1.2110736435039402,0.08576874112191235,-1.3576522457784688,1.2886512683718514,-0.34907341266175235,1.63254380123631,0.4245517391563792,0.5187592847297423,0.339,58.32,True,,,,59.058987225775674,-0.7389872257756736,-0.01267124872729207
-0.6073001726781769,-1.187408804082347,0.12153659230840005,-1.2817139279766951,1.2063816362408502,-0.3574141421329923,1.5819593370531015,0.4198171516452918,0.4663918709168564,0.299,59.41,True,,,,59.50993952506603,-0.09993952506603421,-0.001682200388251712
-0.7854580855696041,-1.1524041990449676,0.21876292114964632,-1.2753875753663386,1.028228118189347,-0.3480092457875553,1.3740153601500975,0.4649142288158444,0.3721984306670244,0.31,60.92,True,,,,59.77890985347838,1.1410901465216199,0.018730961039422518
-0.9303427171990384,-1.0475082063081522,0.29181076010264284,-1.05812596409592,0.7770637550410394,-0.36570964134298056,1.241978042369546,0.4555682884827802,0.2411000470315001,0.316,59.94,True,,,,60.86116423876424,-0.9211642387642414,-0.015368105418155512
-1.0681968319743185,-1.1240086319327156,0.3691121048910931,-1.2986312426081257,0.739723260326409,-0.3230555582361726,1.0355340806256366,0.5504908079325532,0.24070342865327224,0.295,63.06,True,,,,59.87527604136042,3.18472395863958,0.05050307577925119
-1.2619535808147413,-1.1322834377553201,0.4686733836386301,-1.398379311384076,0.5814754373888625,-0.29515172007595586,0.7952162990805082,0.6274213623521268,0.1764354808873938,0.306,61.08,True,,,,59.30210383625019,1.7778961637498085,0.029107664763421883
-1.259350602948064,-1.1468737863628269,0.4718690909187319,-1.3890655810109631,0.5834144781666936,-0.2915571770655605,0.7876749861380675,0.6271821109708349,0.17979226825481012,0.312,60.47,True,,,,59.355242333397285,1.1147576666027135,0.018434887822105398
-1.1630708272073071,-1.063636579691487,0.42666815022236576,-1.0588022982328738,0.5407435694487067,-0.3339201528519746,0.9353517164292184,0.5282077851648461,0.14102839822539712,0.336,58.63,False,,,,60.943133410902945,-2.3131334109029424,-0.03945306858098145
-1.1860124450489884,-1.0581016674869692,0.4405659563817345,-1.0146619421264012,0.5004122847878577,-0.3331084202416087,0.9071731976846944,0.5261671231360038,0.12309283639704775,0.35,56.65,True,,,,61.11121101303995,-4.46121101303995,-0.07875041505807502
-1.316387725063335,-1.080175817854472,0.5213951244120956,-0.9658881417952434,0.4183946830788655,-0.2732437687533679,0.9143115613016202,0.5521185079919259,0.04988968165121863,0.35700000000000004,55.96,True,,,,60.919389324424706,-4.959389324424706,-0.08862382638357229
-1.316492062691062,-1.0948059154677474,0.5220204409865138,-0.9555664150840228,0.4202736167423025,-0.2677598956803995,0.9068725172072516,0.5517503289971214,0.056554546607069475,0.354,56.93,False,,,,60.9674373971722,-4.037437397172198,-0.0709193289508554
-1.372832135000096,-1.134748343225383,0.5580205256726238,-1.0547972840967117,0.4050350581200093,-0.24764024830763626,0.8143932085527635,0.590887859891998,0.0565001097961224,0.335,59.45,True,,,,60.54920954756704,-1.0992095475670354,-0.018489647562103202
-1.8003100758408401,-0.9469952168105386,0.7130277164631771,-0.3689553227776787,-0.3027753267082152,-0.23275561770985545,0.3897771227324364,0.5580782566459959,-0.2739426325082189,0.304,62.2,True,,,,61.76885344333359,0.43114655666641255,0.006931616666662581
-1.8233385806235636,-0.9406143468214608,0.7266506509227564,-0.32571621266512485,-0.34360060686666044,-0.2303149514062827,0.36162174375791994,0.5534720527273915,-0.29172286131729314,0.311,58.49,False,,,,61.75501640494186,-3.2650164049418606,-0.05582178842437785
