file,strehl,rms_err,fwhm,mjd,epoch,airmass,itime,coadds,fwiname,az,dmgain,dtgain,xref,yref,xstrehl,ystrehl,wsfrrt,aolbfwhm,lsamppwr,lgrmswf,aoaoamed,tubetemp,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c3089.fits,0.126,486.9,101.02,56409.59119,13aprlgs,1.52791,2.8,10,Kp,187.4359,0.25,0.02,450.731,713.1469999999999,555.931,428.671,750,1.154261,14.488372,136.5,857,0.0041,56409.59150462963,56409.59114583334,56409.59078703704,56409.59097222223,0.45,0.53,1.8e-21,1.42e-21,1.6100000000000002e-20,4.7e-14,2.2200000000000001e-13,2.14e-23,0.57,0.0,106.0,2.1,14.0,615.4
c3090.fits,0.134,479.5,96.36,56409.59178,13aprlgs,1.52873,2.8,10,Kp,187.68137,0.25,0.02,450.32,712.959,555.61,428.559,750,1.098301,14.906977,118.7,690,0.0077,56409.59150462963,56409.59221064815,56409.591851851845,56409.59166666668,0.45,0.48,5.1800000000000015e-22,8.86e-23,1.14e-20,2.18e-14,1.95e-13,2.1199999999999997e-15,0.51,0.0,106.0,2.12,14.0,615.4
c3091.fits,0.125,487.4,101.03,56409.59242000001,13aprlgs,1.5296399999999999,2.8,10,Kp,187.94572,0.25,0.02,448.777,714.038,554.275,429.48699999999997,750,1.115883,14.604651,161.7,734,0.0092,56409.59255787037,56409.59221064815,56409.59291666668,56409.59236111112,0.38,0.48,9.650000000000001e-23,7.43e-22,1.25e-20,2.48e-15,1.21e-13,6.11e-15,0.37,0.0,106.0,2.09,11.0,615.4
c3092.fits,0.132,481.0,97.72,56409.59306,13aprlgs,1.53057,2.8,10,Kp,188.20566000000002,0.25,0.02,449.55199999999996,714.062,554.779,429.556,750,1.105915,15.069767,147.2,771,0.0009,56409.59255787037,56409.59327546296,56409.59291666668,56409.593055555546,0.38,0.51,9.650000000000001e-23,7.43e-22,1.25e-20,2.48e-15,1.21e-13,6.11e-15,0.37,0.0,106.0,2.06,10.0,615.4
c3093.fits,0.135,478.4,99.19,56409.59365,13aprlgs,1.53147,2.8,10,Kp,188.44884,0.25,0.02,450.13800000000003,712.725,555.346,428.12,750,1.0909440000000001,14.953488,257.9,626,-0.0104,56409.59363425926,56409.59327546296,56409.593981481485,56409.59375,0.19,0.51,5.1900000000000005e-23,2.8200000000000007e-22,6.1099999999999985e-21,4.49e-15,1.02e-13,2.07e-14,0.37,0.0,106.0,2.01,9.0,615.4
c3094.fits,0.112,500.1,110.53,56409.59424,13aprlgs,1.5324,2.8,10,Kp,188.69146,0.25,0.02,449.491,714.1080000000001,554.707,429.655,750,1.0835700000000001,14.767442,164.9,746,0.0076,56409.5946875,56409.59434027777,56409.593981481485,56409.59444444445,0.27,0.54,5.1900000000000005e-23,2.8200000000000007e-22,6.1099999999999985e-21,4.49e-15,1.02e-13,2.07e-14,0.37,0.0,106.0,1.93,9.0,615.4
c3095.fits,0.104,509.0,104.43,56409.59483,13aprlgs,1.53336,2.8,10,Kp,188.93395,0.25,0.02,449.221,713.663,554.351,429.405,750,1.084395,14.651163,151.6,739,0.0062,56409.5946875,56409.59434027777,56409.59504629629,56409.595138888886,0.27,0.54,3.12e-24,2.6199999999999998e-23,3.0799999999999997e-24,3.91e-16,6.89e-14,2.35e-14,0.3,0.0,106.0,1.87,9.0,615.4
c3096.fits,0.163,455.7,89.18,56409.59542000001,13aprlgs,1.53434,2.8,10,Kp,189.17643,0.25,0.02,451.73900000000003,713.7719999999999,557.0,429.069,750,1.128115,14.72093,163.9,725,0.0061,56409.59575231482,56409.59540509259,56409.59504629629,56409.595138888886,0.14,0.52,3.12e-24,2.6199999999999998e-23,3.0799999999999997e-24,3.91e-16,6.89e-14,2.35e-14,0.3,0.0,106.0,1.87,9.0,615.4
c3097.fits,0.17,450.3,88.57,56409.59602000001,13aprlgs,1.53536,2.8,10,Kp,189.41881999999998,0.25,0.02,452.89599999999996,713.332,558.102,428.96,750,1.068724,14.953488,149.8,740,0.0119,56409.59575231482,56409.59652777777,56409.596180555556,56409.59583333332,0.14,0.55,3.8e-22,2.8200000000000007e-22,1.1400000000000001e-21,5.07e-15,8.199999999999999e-14,1.7e-14,0.32,0.0,106.0,1.83,9.0,615.3
c3098.fits,0.136,477.8,96.41,56409.5967,13aprlgs,1.53656,2.8,10,Kp,189.70049,0.25,0.02,386.844,684.168,491.718,399.963,750,1.089574,15.162791,145.8,756,0.0059,56409.59688657407,56409.59652777777,56409.596180555556,56409.59652777777,0.13,0.55,3.8e-22,2.8200000000000007e-22,1.1400000000000001e-21,5.07e-15,8.199999999999999e-14,1.7e-14,0.32,0.0,106.0,1.79,8.0,615.3
