masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
9.939999999999999e-22,1.1e-15,1.87e-15,1.74e-14,6.640000000000001e-15,1.62e-14,0.19,55797.25145833333
5.530000000000001e-24,1.9399999999999998e-21,1.08e-19,2.45e-14,1.87e-15,1.76e-14,0.19,55797.25247685185
2.66e-23,1.76e-21,4.75e-20,5.47e-15,4.02e-14,1.7e-14,0.24,55797.25351851852
3.96e-24,1.6600000000000001e-21,1.6199999999999999e-19,7.48e-16,4.74e-14,1.94e-14,0.25,55797.25456018518
3.84e-23,5.75e-22,3.04e-19,2.75e-14,2.87e-15,2.56e-14,0.22,55797.255590277775
4.74e-22,4.15e-23,9.34e-20,4.67e-16,2.03e-14,1.76e-14,0.18,55797.25662037037
1.6000000000000002e-23,3.15e-22,3.8299999999999996e-20,6.4e-16,2.13e-14,1.54e-14,0.18,55797.25765046296
2.14e-21,1.31e-21,4.5099999999999996e-21,3.2700000000000003e-15,1.52e-14,1.81e-14,0.17,55797.25869212963
5.880000000000001e-23,1.03e-16,1.27e-16,1.02e-14,2.68e-15,1.95e-14,0.16,55797.259722222225
1.01e-21,6.39e-15,1.5900000000000002e-16,8.990000000000001e-15,1.87e-15,2.03e-14,0.18,55797.26076388889
8.13e-22,2.31e-15,4.01e-20,5.28e-15,4.700000000000001e-24,1.73e-14,0.14,55797.26180555556
1.9600000000000003e-21,1.49e-15,1.29e-16,9.05e-15,2.2199999999999998e-15,1.67e-14,0.15,55797.26284722222
7.07e-22,3.94e-16,7.01e-17,5.6600000000000005e-15,2.52e-15,1.46e-14,0.13,55797.263877314814
1.24e-21,7.92e-19,1.5e-16,7.36e-15,5.38e-15,1.53e-14,0.15,55797.264918981484
1.84e-21,8.25e-22,2.76e-19,1.06e-14,2.95e-16,1.74e-14,0.15,55797.26594907408
1.62e-22,1.6600000000000002e-19,1.22e-19,9.1e-15,5.2e-16,1.15e-14,0.12,55797.26699074074
1.1200000000000001e-22,5.5200000000000006e-15,3e-16,5.11e-15,7.140000000000001e-17,1.42e-14,0.14,55797.26802083333
7.63e-23,7.35e-23,2.8899999999999997e-21,1.25e-14,3.47e-16,1.24e-14,0.14,55797.27009259259
2.19e-18,1.71e-14,2.25e-18,1.78e-14,2.2399999999999997e-15,1.22e-14,0.21,55797.27112268518
6.859999999999999e-23,3.3100000000000004e-17,5.17e-18,2.92e-14,1.12e-14,1.63e-14,0.23,55797.27216435185
3.9499999999999996e-23,2.3199999999999998e-21,7.610000000000001e-20,6.1399999999999996e-15,5.05e-14,1.17e-14,0.25,55797.273206018515
1.84e-21,1.65e-23,2.1199999999999998e-19,2.05e-14,5.79e-14,1.42e-14,0.3,55797.27423611111
1.63e-21,6.049999999999999e-22,1.1400000000000001e-21,1.4e-15,3.03e-14,9.66e-15,0.19,55797.2752662037
6.63e-23,9.68e-15,1.08e-18,8.120000000000001e-15,1.65e-21,1.73e-14,0.17,55797.27630787037
1.27e-21,8.06e-15,4.47e-19,3.87e-15,2.67e-23,1.89e-14,0.26,55797.27837962963
2.23e-14,1.12e-14,1.57e-16,1.48e-14,5.229999999999999e-15,1.89e-14,0.26,55797.27837962963
1.42e-23,1.38e-19,1.6299999999999999e-16,1.66e-14,2.65e-15,1.46e-14,0.17,55797.2794212963
5.0600000000000005e-21,1.16e-17,3.8e-15,1.46e-14,6.17e-16,1.23e-14,0.16,55797.28046296296
2.46e-22,1.0699999999999998e-15,7.429999999999999e-16,1.85e-14,4.66e-15,1.24e-14,0.18,55797.28150462963
1.79e-23,1.24e-16,1.6100000000000001e-15,1.42e-14,1.22e-15,1.21e-14,0.15,55797.282534722224
1.27e-21,1.65e-23,6.670000000000001e-21,2.76e-14,1.9100000000000003e-15,1.71e-14,0.2,55797.28357638889
3.55e-22,1.44e-22,1.4899999999999998e-20,2.86e-14,6.639999999999999e-16,1.33e-14,0.19,55797.28461805556
9.04e-22,1.59e-15,2.1899999999999997e-15,2.15e-14,2.42e-15,1.31e-14,0.19,55797.28564814815
2.12e-21,7.0200000000000005e-15,8.120000000000001e-15,1.49e-14,1.8e-15,1.27e-14,0.2,55797.28668981481
3.37e-14,2e-14,3.08e-15,1.6e-14,6.0700000000000004e-15,1.2e-14,0.3,55797.28771990741
1.37e-22,2.3199999999999998e-21,1.43e-20,1.16e-14,1.87e-14,1.14e-14,0.19,55797.28876157408
1.52e-21,1e-15,9.2e-16,1.29e-14,6.4400000000000005e-15,1.3e-14,0.17,55797.28980324074
3.3200000000000003e-23,1.9800000000000002e-15,6.12e-16,1.31e-14,1.46e-15,1.35e-14,0.16,55797.29084490741
