masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
1.2199999999999998e-23,3.6299999999999993e-23,1.28e-21,2.8600000000000005e-17,3.25e-14,1.54e-14,0.21,56841.27228009259
1.7e-22,1.3900000000000001e-21,8.519999999999999e-21,5.719999999999999e-16,3.64e-14,1.73e-14,0.22,56841.27333333333
1.8100000000000002e-21,2.2e-22,4.24e-22,7.91e-16,3.32e-14,1.32e-14,0.2,56841.27438657408
1.8100000000000002e-21,3.71e-22,2.85e-22,7.63e-16,3.08e-14,7.32e-15,0.18,56841.27545138889
1.5e-21,2.09e-21,6.45e-21,8.119999999999999e-16,3.74e-14,7.95e-15,0.2,56841.27756944444
6.6e-23,5.799999999999999e-23,1.9799999999999998e-20,6.2e-16,4.95e-14,1.08e-14,0.24,56841.27862268518
1.1100000000000001e-21,2.22e-23,3.18e-21,1.54e-15,5.8e-14,8.609999999999999e-15,0.25,56841.2796875
1.1199999999999999e-23,2.94e-22,6.78e-22,2.37e-14,7.07e-14,4.7799999999999996e-15,0.32,56841.280752314815
6.209999999999999e-23,1.2300000000000002e-21,1.46e-22,4.23e-15,8.93e-14,1.03e-15,0.31,56841.281805555554
5.360000000000001e-23,1.67e-21,1.17e-21,5.16e-14,7.5e-14,2.46e-15,0.37,56841.282858796294
4.72e-23,1.7e-21,3.7400000000000003e-26,3.64e-15,4.49e-14,6.640000000000001e-15,0.22,56841.28391203703
1.78e-21,8.11e-22,9.75e-21,5.26e-16,3.08e-14,8.89e-15,0.19,56841.28494212963
2.69e-22,3.03e-22,1.3900000000000001e-21,2.4e-15,5.63e-14,5.77e-15,0.25,56841.28600694444
2.07e-25,8.82e-23,1.36e-20,7.150000000000001e-16,2.91e-14,1.13e-14,0.19,56841.28704861111
3.65e-23,1.04e-23,1.46e-20,4.870000000000001e-17,3.11e-14,1e-14,0.19,56841.28810185185
2.05e-22,5.85e-22,9.470000000000001e-22,6.31e-16,2.86e-14,9.85e-15,0.18,56841.28915509259
3.0399999999999996e-23,1.4100000000000001e-22,3.01e-21,1.21e-15,3.35e-14,9.46e-15,0.2,56841.29021990741
1.65e-21,4.55e-23,4.8100000000000005e-21,1.08e-15,5.78e-14,4.5799999999999995e-15,0.24,56841.29127314815
1.53e-21,8.3e-23,4.04e-21,1.6100000000000001e-15,3.66e-14,8.45e-15,0.2,56841.292337962965
7.870000000000001e-23,3.71e-22,3.28e-21,7.45e-16,3.24e-14,1.11e-14,0.2,56841.293391203704
1.08e-21,1.9000000000000001e-25,2.08e-21,2.06e-17,2.63e-14,9.35e-15,0.17,56841.29445601852
3.84e-23,1.3800000000000003e-21,1.65e-20,8.31e-17,2.43e-14,1.06e-14,0.17,56841.29552083334
1.3400000000000002e-22,1.0199999999999999e-21,1.56e-20,1.27e-16,4.45e-14,1.27e-14,0.23,56841.29657407408
1.09e-23,2.78e-22,4.0799999999999994e-21,1.64e-17,5.55e-14,1.78e-14,0.27,56841.29760416667
4.2200000000000005e-22,2.51e-22,4.1100000000000006e-21,3.4000000000000004e-17,6.3e-14,1.12e-14,0.27,56841.298726851855
1.34e-15,1.3800000000000003e-21,1.73e-23,1.69e-14,9.44e-14,1.98e-14,0.38,56841.299791666665
2.07e-22,1.5500000000000001e-21,1.0000000000000001e-20,4.0500000000000005e-17,8.4e-14,1.49e-14,0.32,56841.30085648148
1.2e-22,1.67e-21,1.26e-20,1.08e-15,5.56e-14,1.33e-14,0.26,56841.3019212963
1.9300000000000003e-21,5.65e-23,7.77e-21,4.3e-17,4.03e-14,1.32e-14,0.22,56841.30297453704
1.1400000000000001e-21,1.4099999999999999e-21,3.89e-22,9.269999999999999e-16,4.64e-14,9.8e-15,0.23,56841.30403935185
1.71e-23,1.0499999999999999e-22,5.520000000000001e-21,1.34e-15,3.77e-14,9.93e-15,0.21,56841.305081018516
2.66e-23,1.18e-21,5.15e-21,6.89e-16,3.03e-14,9.33e-15,0.19,56841.30614583333
2.8200000000000003e-22,2.38e-22,3.67e-22,1.22e-15,3.58e-14,1.31e-14,0.21,56841.30721064815
1.5799999999999998e-22,1.3e-22,1.7199999999999998e-21,4.29e-15,3.74e-14,9.55e-15,0.21,56841.308287037034
1.59e-21,3.99e-22,1.36e-21,1.29e-15,3.58e-14,5.6600000000000005e-15,0.19,56841.30934027778
2.41e-25,5.93e-23,1.9000000000000003e-21,6.15e-16,2.29e-14,7.88e-15,0.16,56841.31040509259
1.5e-21,1.39e-22,1.0500000000000001e-20,6.7e-16,3.72e-14,1.19e-14,0.21,56841.31145833333
4.55e-24,5.22e-22,5.249999999999999e-22,8.119999999999999e-16,2.66e-14,1.23e-14,0.18,56841.31251157408
1.83e-21,4.0199999999999996e-22,7.600000000000001e-21,1.53e-14,1.76e-14,9.1e-15,0.19,56841.313564814816
1.51e-21,6.69e-22,6.82e-21,1.43e-14,1.26e-14,1.09e-14,0.18,56841.3146412037
1.34e-21,8.65e-24,8.279999999999999e-21,2.75e-15,7.16e-14,1.87e-14,0.31,56841.31569444444
5.91e-22,2.4399999999999997e-22,3.37e-20,5.5200000000000006e-15,3.35e-14,7.25e-15,0.2,56841.31675925926
1.2200000000000001e-21,7.170000000000001e-23,9.37e-21,8.940000000000001e-15,2.75e-14,7.65e-15,0.2,56841.31783564815
1.17e-20,1.82e-15,1.68e-17,4.12e-14,6.21e-15,2.2e-14,0.26,56841.321076388886
2.06e-14,2.02e-14,1.84e-15,2.35e-14,6.840000000000001e-15,2.26e-14,0.31,56841.3221412037
1.6399999999999998e-15,3.69e-14,1.4300000000000002e-21,1.4e-14,7.45e-15,1.98e-14,0.28,56841.32319444444
1.6799999999999997e-24,1.1599999999999998e-22,1.57e-20,2.9699999999999997e-15,1.85e-14,1.82e-14,0.18,56841.324270833335
2.98e-22,2.2899999999999997e-15,4.44e-16,9.92e-15,7.920000000000001e-15,1.91e-14,0.18,56841.325324074074
1.7100000000000003e-21,1.4400000000000001e-21,1.02e-22,1.36e-14,1.77e-14,1.57e-14,0.2,56841.32638888889
1.2500000000000001e-21,4.64e-15,9.51e-16,2.16e-14,1.05e-14,1.86e-14,0.22,56841.32745370371
1.49e-14,4.2e-16,1.39e-18,2.15e-14,3.45e-15,1.92e-14,0.23,56841.32850694445
3.76e-14,3.38e-23,2.21e-18,1.71e-14,2.95e-15,1.72e-14,0.27,56841.329560185186
1.52e-21,3.47e-22,1.23e-19,5.04e-15,2.6e-14,1.17e-14,0.19,56841.330625
8.8e-15,2.73e-16,1.04e-15,3.68e-14,4.0600000000000005e-15,2.73e-14,0.27,56841.33167824074
1.06e-21,1.6200000000000002e-16,1.8100000000000002e-15,1.83e-14,7.74e-15,2.16e-14,0.21,56841.3337962963
8.81e-21,7.01e-16,5.949999999999999e-17,1.35e-14,1.04e-14,1.65e-14,0.19,56841.334861111114
3.4000000000000004e-17,1.76e-14,1.0699999999999998e-15,2.68e-15,2.24e-14,1.63e-14,0.23,56841.33592592592
8.809999999999999e-15,7.92e-16,2.26e-15,1.53e-14,1.4e-14,2.19e-14,0.24,56841.33699074074
6.1000000000000005e-22,2.0600000000000002e-23,9.570000000000001e-21,3.12e-16,2.32e-14,1.55e-14,0.18,56841.33806712963
4.63e-23,2.25e-23,7.37e-20,2.22e-14,1.33e-14,2.07e-14,0.22,56841.34017361111
1.45e-22,2.46e-15,9.54e-16,1.44e-14,6.559999999999999e-15,1.66e-14,0.19,56841.34123842593
3.26e-22,2.38e-15,1.6e-15,1.45e-14,8.33e-15,1.63e-14,0.19,56841.34229166667
6.62e-19,8.72e-15,1.89e-15,8.16e-15,1.78e-14,1.42e-14,0.21,56841.34336805555
1.4499999999999998e-21,1.04e-21,1.6699999999999998e-19,8.47e-15,2.56e-14,1.3e-14,0.2,56841.34443287037
