masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
2.25e-14,1.7499999999999998e-21,2.5900000000000003e-22,4.74e-22,1.8100000000000002e-21,5.1e-14,0.27,56843.281122685185
2.33e-13,6.08e-22,8.240000000000001e-23,6.45e-15,5.4399999999999996e-18,4.49e-14,0.6,56843.2872337963
6.0199999999999996e-18,3.64e-22,2.49e-18,2.86e-14,6.8e-14,8.6e-15,0.33,56843.29483796296
6.54e-13,8.960000000000001e-22,1.7100000000000003e-13,1.4099999999999998e-13,1.7100000000000002e-15,6.3700000000000006e-15,1.24,56843.32177083333
6.63e-13,2.75e-18,1.47e-15,2.46e-14,5.05e-15,3.99e-14,1.05,56843.32282407407
2.09e-13,7.009999999999999e-23,3.86e-18,9.68e-14,1.31e-14,1.84e-14,0.66,56843.32388888889
6.55e-13,2.75e-22,1.32e-18,8.38e-14,9.57e-16,2.28e-14,1.07,56843.324953703705
2.8800000000000004e-13,2.08e-14,9.819999999999999e-22,6.08e-22,8.18e-22,4.44e-14,0.68,56843.33021990741
1.4899999999999999e-21,8.48e-14,6.4699999999999995e-22,2.51e-22,5.29e-22,4.32e-14,0.37,56843.33130787037
2.28e-14,1.09e-19,1.14e-15,2.22e-14,3.34e-14,1.49e-14,0.31,56843.334502314814
1.67e-21,4.879999999999999e-22,2.96e-14,8.1e-14,1.43e-14,1.19e-14,0.38,56843.33556712963
1.35e-21,2.8000000000000003e-23,3.12e-19,7.38e-14,1.13e-14,1.16e-14,0.31,56843.336643518516
2.7199999999999996e-22,2.5699999999999996e-19,5.1500000000000005e-24,3.98e-15,5.14e-14,1.99e-14,0.27,56843.34018518519
8.300000000000001e-22,6.890000000000001e-23,3.7499999999999996e-21,2.57e-14,3.41e-14,1.3e-14,0.26,56843.342314814814
2.69e-18,5.07e-17,5.99e-19,3.66e-14,1.5e-14,1.88e-14,0.26,56843.34337962963
6.67e-23,2.09e-21,1.9900000000000002e-20,1.39e-14,4.34e-14,9.8e-15,0.25,56843.34443287037
5.66e-14,6.6200000000000005e-22,2.2000000000000002e-20,4.29e-14,5.53e-14,2.76e-14,0.45,56843.34548611111
8.749999999999999e-22,2.7e-23,3.1399999999999997e-21,6.559999999999999e-15,1.0800000000000002e-13,1.79e-14,0.37,56843.34653935185
1.34e-15,5.26e-16,2.48e-21,2.18e-14,1.2700000000000001e-13,2.68e-14,0.45,56843.34758101852
4.97e-14,2.89e-16,9.15e-21,1.42e-14,1.02e-13,2.33e-14,0.47,56843.34868055556
1.56e-22,3.3700000000000004e-17,8.740000000000001e-21,5.49e-15,9.91e-14,3.02e-14,0.38,56843.3497337963
2.0600000000000002e-21,1.56e-22,1.77e-21,2.49e-15,1.1400000000000002e-13,3.69e-14,0.41,56843.35078703704
1.8e-21,9.62e-22,2.9799999999999996e-20,4.6700000000000005e-15,4.16e-14,2.05e-14,0.25,56843.35184027778
8.97e-22,1.08e-21,2.3e-21,9.96e-16,6.85e-14,3.33e-14,0.32,56843.35291666666
1.5999999999999999e-21,2.09e-21,1.54e-20,1.37e-14,3.89e-14,2.08e-14,0.26,56843.35398148148
1.0199999999999999e-21,6.96e-22,3.2200000000000004e-20,2.77e-14,4.26e-14,1.24e-14,0.28,56843.355046296296
3.72e-22,2.18e-14,1.46e-16,2.23e-14,4.36e-14,2.02e-14,0.33,56843.35612268518
1.54e-23,4.96e-23,2.72e-20,2.96e-14,4.11e-14,2.1e-14,0.3,56843.35716435185
1.1599999999999999e-21,1.06e-21,4.1900000000000007e-20,2.89e-14,5.07e-14,1.46e-14,0.31,56843.35824074074
9.05e-22,2.1799999999999999e-26,4.0000000000000004e-20,1.3900000000000001e-15,4.27e-14,1.81e-14,0.24,56843.36037037037
2.56e-24,1.59e-22,7.47e-20,4.41e-14,3.9299999999999996e-15,3.13e-14,0.28,56843.361446759256
1.0899999999999999e-22,1.84e-19,4.47e-20,2.15e-15,6e-14,1.89e-14,0.28,56843.36252314815
1.7899999999999997e-13,5.129999999999999e-15,1.4e-22,1.54e-14,3.79e-15,3e-14,0.53,56843.36357638889
1.28e-21,1.9999999999999999e-22,1.2699999999999998e-19,2.8e-14,8.13e-14,2.67e-15,0.34,56843.364652777775
1.17e-21,1.87e-22,1.49e-19,1.0300000000000002e-13,9.68e-15,1.19e-14,0.36,56843.36572916667
1.17e-21,1.87e-22,1.82e-18,1.02e-13,7.68e-15,1.63e-14,0.36,56843.36572916667
7e-14,2.12e-21,1.37e-15,1.0800000000000002e-13,1.22e-14,3.49e-14,0.52,56843.367847222224
2.65e-13,2.14e-19,1.82e-19,7.27e-14,8.99e-14,3.35e-14,0.79,56843.36891203704
1.88e-14,2.57e-22,3e-15,7.19e-14,3.19e-14,2.37e-14,0.4,56843.36997685185
5.8e-13,1.88e-24,9.7e-15,7.39e-14,2.84e-14,4.92e-14,1.05,56843.37210648148
4.6e-12,3.5099999999999997e-22,1.31e-22,8.450000000000001e-22,6.41e-23,4.56e-14,3.17,56843.3731712963
8.02e-13,1.68e-22,5.44e-19,9.31e-15,1.2700000000000001e-13,3.43e-14,1.24,56843.37488425926
5.460000000000001e-13,1.9399999999999998e-21,8.65e-22,2.26e-21,7.710000000000001e-22,5.93e-14,0.93,56843.37596064815
2.31e-12,1.4000000000000002e-21,7.849999999999999e-22,1e-14,3.02e-22,5.92e-14,2.12,56843.37701388889
