mass,mjd
0.13,56840.27506944445
0.07,56840.27614583333
0.13,56840.27825231481
0.09,56840.279282407406
0.13,56840.2803587963
0.08,56840.28138888889
0.13,56840.2824537037
0.13,56840.28351851852
0.12,56840.28457175926
0.09,56840.28668981481
0.1,56840.287766203706
0.09,56840.288819444446
0.06,56840.28988425926
0.17,56840.2909375
0.07,56840.29200231482
0.06,56840.29519675926
0.12,56840.29625
0.07,56840.29730324074
0.08,56840.29834490741
0.49,56840.299409722225
0.16,56840.300462962965
0.06,56840.30152777778
0.08,56840.30260416667
0.1,56840.30366898148
0.08,56840.30577546296
0.25,56840.3068287037
0.34,56840.30789351852
0.11,56840.308958333335
0.12,56840.310011574074
0.08,56840.31105324074
0.06,56840.312106481484
0.1,56840.31318287037
0.18,56840.314247685186
0.12,56840.315300925926
0.16,56840.31637731481
0.1,56840.31743055556
0.13,56840.319560185184
0.09,56840.33059027778
0.06,56840.34229166667
0.07,56840.34442129629
0.16,56840.34868055556
0.27,56840.35077546296
0.21,56840.35184027778
0.28,56840.35290509259
0.17,56840.35396990741
0.2,56840.355046296296
0.12,56840.35611111111
0.06,56840.35717592593
0.16,56840.35824074074
0.15,56840.359305555554
0.22,56840.36038194445
0.18,56840.36143518519
0.24,56840.3625
0.23,56840.36357638889
0.19,56840.36571759259
0.23,56840.36678240741
0.29,56840.367847222224
0.15,56840.36892361111
0.17,56840.37105324074
0.24,56840.372094907405
0.25,56840.373136574075
0.12,56840.37421296296
0.15,56840.375289351854
0.15,56840.37634259259
0.21,56840.37740740741
0.13,56840.378483796296
0.18,56840.37957175926
0.3,56840.38061342593
0.11,56840.381689814814
0.25,56840.382743055554
0.33,56840.38381944445
0.38,56840.384884259256
0.24,56840.38594907407
0.32,56840.387025462966
0.28,56840.388078703705
0.39,56840.38914351852
0.18,56840.39021990741
0.33,56840.391284722224
0.23,56840.39234953704
0.13,56840.393425925926
0.1,56840.39878472222
0.09,56840.39983796296
0.2,56840.40090277778
0.18,56840.401967592596
0.13,56840.405185185184
0.09,56840.40625
0.2,56840.40945601852
0.3,56840.410532407404
0.21,56840.41159722222
0.23,56840.41268518518
0.11,56840.41375
0.11,56840.416967592595
0.13,56840.418020833335
0.11,56840.42016203704
0.14,56840.42123842592
0.06,56840.423368055555
0.08,56840.42444444444
0.2,56840.42659722222
0.14,56840.42765046296
0.21,56840.42979166667
0.17,56840.430868055555
0.09,56840.43193287037
0.28,56840.43300925926
0.27,56840.43407407407
0.34,56840.44045138889
0.33,56840.44152777778
0.43,56840.44260416667
0.44,56840.44366898148
0.39,56840.44474537037
0.35,56840.44579861111
0.34,56840.446875
0.43,56840.44792824074
0.37,56840.44905092593
0.48,56840.45011574074
0.4,56840.45118055555
0.29,56840.452256944445
0.34,56840.45332175926
0.37,56840.454375
0.39,56840.45545138889
0.33,56840.45652777778
0.22,56840.45759259259
0.26,56840.45866898148
0.32,56840.4597337963
0.3,56840.46082175926
0.36,56840.46188657408
0.47,56840.46296296296
0.4,56840.4640162037
0.52,56840.46508101852
0.46,56840.4672337963
0.54,56840.468310185184
0.48,56840.46939814815
0.47,56840.47046296296
0.5,56840.471550925926
0.4,56840.47263888889
0.49,56840.473715277774
0.32,56840.47476851852
0.55,56840.475856481484
0.44,56840.47693287037
0.44,56840.47800925926
0.59,56840.47907407407
0.43,56840.480162037034
0.37,56840.48125
0.26,56840.482395833336
0.26,56840.4834837963
0.36,56840.48454861111
0.36,56840.48563657407
0.41,56840.48670138889
0.31,56840.48778935185
0.43,56840.48887731481
0.39,56840.48994212963
0.5,56840.49101851852
0.39,56840.49208333333
0.43,56840.49314814815
0.34,56840.49422453704
0.5,56840.49532407407
0.26,56840.49638888889
0.44,56840.497465277775
0.41,56840.49855324074
0.45,56840.49962962963
0.41,56840.500706018516
0.47,56840.50177083333
0.42,56840.50393518519
0.39,56840.505011574074
0.37,56840.50609953704
0.34,56840.508263888885
0.48,56840.509351851855
0.45,56840.51042824074
0.41,56840.51155092593
0.29,56840.51262731481
0.24,56840.513715277775
0.32,56840.51480324074
0.35,56840.515868055554
0.27,56840.51957175926
0.22,56840.52065972222
0.18,56840.52174768518
0.21,56840.5228125
0.13,56840.52390046296
0.15,56840.524976851855
0.12,56840.52606481482
0.11,56840.527141203704
0.12,56840.53086805555
0.07,56840.53193287037
0.07,56840.533009259256
0.07,56840.54488425926
0.1,56840.54813657407
0.08,56840.554618055554
0.08,56840.557858796295
0.09,56840.576203703706
0.06,56840.5859837963
0.07,56840.59297453704
0.07,56840.59405092592
0.08,56840.596238425926
