mass,mjd
0.81,56766.26412037037
0.83,56766.26516203704
0.92,56766.266226851854
0.89,56766.267280092594
1.75,56766.26834490741
1.71,56766.269421296296
1.38,56766.270474537036
1.51,56766.27153935185
1.59,56766.27259259259
1.11,56766.27365740741
1.28,56766.27471064815
1.33,56766.27576388889
1.54,56766.27680555556
1.6,56766.27893518518
1.6,56766.28
1.58,56766.28105324074
1.63,56766.282118055555
1.62,56766.283171296294
2.55,56766.28423611111
3.08,56766.28528935185
2.49,56766.28635416667
2.25,56766.287627314814
1.57,56766.31582175926
1.64,56766.31688657407
3.07,56766.31795138889
2.91,56766.319027777776
2.93,56766.320069444446
2.23,56766.32113425926
1.83,56766.322175925925
1.63,56766.32324074074
1.5,56766.32431712963
2.27,56766.32538194444
1.96,56766.32643518518
2.15,56766.3275
1.54,56766.328576388885
1.51,56766.32962962963
1.82,56766.33070601852
2.1,56766.331770833334
1.87,56766.33284722222
1.7,56766.33584490741
1.58,56766.33731481482
2.75,56766.338587962964
1.37,56766.33965277778
1.39,56766.34069444444
2.71,56766.34210648148
2.58,56766.343518518515
2.27,56766.34459490741
1.92,56766.34626157407
3.19,56766.34731481481
4.58,56766.34878472222
3.73,56766.36481481481
4.03,56766.366944444446
1.67,56766.43508101852
2.85,56766.43613425926
2.34,56766.43722222222
3.03,56766.43829861111
2.2,56766.439375
3.57,56766.44064814815
1.25,56766.441724537035
1.72,56766.44278935185
2.09,56766.443877314814
2.07,56766.44495370371
1.71,56766.44603009259
2.02,56766.44709490741
1.79,56766.4483912037
2.41,56766.449467592596
1.61,56766.45054398148
2.49,56766.452685185184
2.02,56766.453738425924
1.34,56766.45482638889
1.61,56766.45590277778
1.86,56766.456979166665
1.94,56766.45805555556
1.78,56766.459131944444
1.5,56766.46020833333
1.62,56766.46130787037
1.35,56766.46236111111
1.47,56766.46344907407
1.6,56766.464525462965
1.34,56766.46560185185
1.12,56766.466678240744
1.6,56766.46776620371
3.33,56766.46990740741
3.19,56766.470983796295
2.49,56766.47204861111
2.29,56766.47311342593
1.65,56766.47418981481
1.49,56766.475266203706
1.19,56766.47634259259
1.99,56766.47739583333
2.62,56766.478483796294
1.92,56766.47982638889
0.66,56766.49638888889
0.73,56766.497453703705
0.83,56766.49853009259
0.84,56766.499606481484
1.2,56766.50069444445
1.03,56766.50177083333
0.91,56766.502847222226
0.95,56766.50392361111
1.42,56766.505
2.33,56766.50608796296
1.78,56766.50716435185
2.1,56766.50822916667
1.86,56766.50929398148
1.7,56766.51037037037
2.03,56766.511458333334
2.17,56766.51253472222
1.42,56766.51361111111
2.02,56766.514699074076
1.76,56766.515752314815
1.42,56766.516851851855
1.39,56766.517916666664
1.67,56766.51899305556
2.23,56766.52008101852
4.35,56766.543761574074
4.09,56766.55954861111
1.93,56766.560625
1.6,56766.56171296296
1.58,56766.56387731482
1.61,56766.56494212963
1.42,56766.566030092596
2.36,56766.56710648148
2.48,56766.568194444444
1.53,56766.56927083333
1.25,56766.57142361111
0.97,56766.57251157407
1.01,56766.573599537034
0.83,56766.57469907407
0.94,56766.57577546296
1.04,56766.576875
0.68,56766.57797453704
1.02,56766.579050925924
2.05,56766.58012731482
1.36,56766.58121527778
1.03,56766.58230324074
0.92,56766.58446759259
1.27,56766.58560185185
1.17,56766.58666666667
1.19,56766.58775462963
2.4,56766.588854166665
1.85,56766.58993055556
1.18,56766.59103009259
1.23,56766.59211805555
1.29,56766.59322916667
1.41,56766.594293981485
1.17,56766.59539351852
1.12,56766.59648148148
1.09,56766.59756944444
1.19,56766.598657407405
1.33,56766.59974537037
0.94,56766.60084490741
0.87,56766.60193287037
0.79,56766.60302083333
0.76,56766.604108796295
0.92,56766.60519675926
0.92,56766.6062962963
0.94,56766.60737268518
0.8,56766.60847222222
0.86,56766.60954861111
1.05,56766.61064814815
1.07,56766.61172453704
0.76,56766.6128125
1.29,56766.61388888889
