dimm,mjd
0.74,56764.23222222222
0.75,56764.23328703704
0.8,56764.23431712963
0.72,56764.235347222224
0.7,56764.23638888889
0.8,56764.23741898148
0.92,56764.23844907407
0.67,56764.23947916667
0.94,56764.24054398148
0.69,56764.241585648146
0.74,56764.24261574074
0.68,56764.24364583333
0.59,56764.244675925926
0.57,56764.24570601852
0.69,56764.24674768518
0.83,56764.247777777775
0.84,56764.24953703704
0.71,56764.25056712963
0.79,56764.25162037037
0.94,56764.25524305556
1.06,56764.2562962963
0.84,56764.25734953704
0.76,56764.258414351854
0.76,56764.259467592594
0.88,56764.26050925926
0.93,56764.26155092593
0.84,56764.26261574074
0.7,56764.26366898148
0.93,56764.26472222222
1.01,56764.26578703704
1.17,56764.266851851855
1.11,56764.26789351852
1.05,56764.268958333334
0.82,56764.27
1.28,56764.27106481481
0.7,56764.27210648148
1.11,56764.27315972222
1.56,56764.27422453704
1.04,56764.27527777778
0.93,56764.27633101852
0.69,56764.277395833335
0.88,56764.27846064815
0.67,56764.27952546296
0.65,56764.28057870371
1.02,56764.281689814816
0.85,56764.28275462963
0.71,56764.28381944444
1.04,56764.28487268519
0.73,56764.2859375
0.81,56764.286990740744
0.65,56764.28805555555
0.76,56764.28912037037
0.81,56764.290185185186
0.72,56764.29125
0.72,56764.29230324074
0.87,56764.29336805556
0.77,56764.2944212963
0.79,56764.29547453704
0.81,56764.29653935185
0.71,56764.29760416667
0.78,56764.29865740741
0.79,56764.299722222226
0.79,56764.300775462965
0.8,56764.30185185185
0.88,56764.30291666667
1.35,56764.342199074075
1.45,56764.37459490741
1.21,56764.37563657408
1.45,56764.37670138889
1.16,56764.377754629626
1.25,56764.37883101852
1.12,56764.37987268518
1.5,56764.38091435185
1.24,56764.38199074074
1.23,56764.383043981485
1.69,56764.38412037037
1.52,56764.38517361111
1.19,56764.38625
1.09,56764.38731481481
1.56,56764.38837962963
1.12,56764.389444444445
1.67,56764.39050925926
1.34,56764.39157407408
1.23,56764.39263888889
1.4,56764.39597222222
