mass,mjd
0.34,57243.26144675926
0.38,57243.26248842593
0.38,57243.265601851854
0.27,57243.26664351852
0.16,57243.26767361111
0.18,57243.26975694444
0.08,57243.27287037037
0.12,57243.27391203704
0.09,57243.275983796295
0.07,57243.277025462965
0.06,57243.29519675926
0.14,57243.297268518516
0.22,57243.298310185186
0.26,57243.29935185185
0.26,57243.30038194444
0.07,57243.3034837963
0.15,57243.30452546296
0.13,57243.30556712963
0.06,57243.306597222225
0.13,57243.31494212963
0.13,57243.315983796296
0.1,57243.317025462966
0.22,57243.318078703705
0.12,57243.3191087963
0.11,57243.32431712963
0.13,57243.325370370374
0.16,57243.33736111111
0.22,57243.3383912037
0.19,57243.33943287037
0.16,57243.34048611111
0.15,57243.34153935185
0.17,57243.34258101852
0.18,57243.343622685185
0.12,57243.344664351855
0.13,57243.345717592594
0.15,57243.34675925926
0.12,57243.3478125
0.12,57243.34886574074
0.15,57243.349907407406
0.16,57243.350949074076
0.17,57243.352002314816
0.14,57243.354108796295
0.1,57243.35513888889
0.09,57243.35619212963
0.06,57243.359351851854
0.06,57243.36040509259
0.07,57243.36145833333
0.07,57243.363541666666
0.07,57243.364583333336
0.08,57243.365636574075
0.09,57243.366689814815
0.1,57243.367731481485
0.09,57243.368784722225
0.09,57243.369837962964
0.06,57243.37090277778
0.09,57243.371932870374
0.07,57243.37298611111
0.06,57243.375081018516
0.1,57243.37613425926
0.1,57243.3771875
0.11,57243.378229166665
0.07,57243.379282407404
0.09,57243.38033564815
0.1,57243.38243055555
0.15,57243.38452546296
0.09,57243.38662037037
0.08,57243.38767361111
0.09,57243.38873842593
0.11,57243.38979166667
0.06,57243.39083333333
0.08,57243.39188657407
0.07,57243.39293981482
0.06,57243.39398148148
0.09,57243.39503472222
0.12,57243.39711805555
0.11,57243.39922453704
0.12,57243.4002662037
0.2,57243.40237268519
0.18,57243.40342592593
0.13,57243.40447916667
0.11,57243.405543981484
0.11,57243.40658564815
0.12,57243.407638888886
0.11,57243.40869212963
0.1,57243.40974537037
0.13,57243.41079861111
0.13,57243.411840277775
0.17,57243.41289351852
0.11,57243.41394675926
0.14,57243.414988425924
0.22,57243.41605324074
0.17,57243.41711805556
0.13,57243.41815972222
0.15,57243.41921296297
0.2,57243.42130787037
0.16,57243.42236111111
0.16,57243.423425925925
0.15,57243.424467592595
0.16,57243.43047453704
0.28,57243.43258101852
0.09,57243.43467592593
0.21,57243.43572916667
0.15,57243.43677083333
0.16,57243.43783564815
0.22,57243.4399537037
0.08,57243.44204861111
0.19,57243.443090277775
0.25,57243.44414351852
0.12,57243.44519675926
0.29,57243.44625
0.16,57243.447291666664
0.24,57243.44834490741
0.13,57243.452581018515
0.26,57243.455729166664
0.16,57243.4578125
0.17,57243.46203703704
0.11,57243.46309027778
0.12,57243.46519675926
0.06,57243.471504629626
0.06,57243.47256944444
0.12,57243.47362268518
0.11,57243.47574074074
0.24,57243.477847222224
0.19,57243.478900462964
0.09,57243.4799537037
0.19,57243.48310185185
0.17,57243.48520833333
0.18,57243.48627314815
0.17,57243.48731481482
0.32,57243.48836805556
0.1,57243.489432870374
0.21,57243.49048611111
0.39,57243.49153935185
0.34,57243.49259259259
0.78,57243.49365740741
1.13,57243.49469907407
1.15,57243.49575231481
0.81,57243.49787037037
1.6,57243.498923611114
1.38,57243.499976851854
0.92,57243.50103009259
0.92,57243.50314814815
0.79,57243.50420138889
0.68,57243.505266203705
0.7,57243.506319444445
0.59,57243.507372685184
0.54,57243.5084375
0.44,57243.50950231482
0.45,57243.51055555556
0.43,57243.511608796296
0.34,57243.512662037036
0.36,57243.51372685185
0.26,57243.51479166667
0.23,57243.51583333333
0.18,57243.51689814815
0.34,57243.517962962964
0.19,57243.5190162037
0.21,57243.52006944444
0.31,57243.52113425926
0.16,57243.522199074076
0.15,57243.523252314815
0.27,57243.52431712963
0.32,57243.52537037037
0.15,57243.52642361111
0.17,57243.52748842593
0.3,57243.52854166667
0.11,57243.529594907406
0.19,57243.53065972222
0.24,57243.53172453704
0.1,57243.53277777778
0.08,57243.53383101852
0.19,57243.535949074074
0.16,57243.53912037037
0.31,57243.540185185186
0.33,57243.54230324074
0.3,57243.54336805556
0.34,57243.5444212963
0.17,57243.54549768518
0.12,57243.5465625
0.23,57243.54761574074
0.3,57243.548680555556
0.34,57243.55278935185
0.17,57243.55385416667
0.1,57243.55490740741
0.15,57243.55704861111
0.14,57243.55811342593
0.08,57243.55917824074
0.16,57243.56023148148
0.27,57243.56128472222
0.2,57243.56234953704
0.18,57243.563414351855
0.14,57243.56658564815
0.33,57243.56763888889
0.18,57243.568715277775
0.29,57243.56978009259
0.35,57243.57084490741
0.29,57243.571909722225
0.35,57243.57297453703
0.39,57243.57402777778
0.17,57243.576157407406
0.15,57243.57722222222
0.18,57243.57827546296
0.09,57243.57934027778
0.14,57243.58039351852
0.12,57243.581458333334
0.12,57243.582870370374
0.08,57243.58392361111
0.2,57243.58498842592
0.28,57243.58608796296
0.23,57243.587164351855
0.46,57243.58943287037
0.29,57243.59048611111
0.34,57243.59155092593
0.35,57243.59260416667
0.3,57243.593668981484
0.28,57243.59474537037
0.2,57243.59581018519
0.21,57243.596875
0.26,57243.59793981481
0.17,57243.59900462963
0.19,57243.60009259259
0.33,57243.60115740741
0.28,57243.602222222224
0.3,57243.60328703704
0.28,57243.60434027778
0.32,57243.605405092596
0.45,57243.606469907405
0.43,57243.60859953704
0.39,57243.60859953704
0.33,57243.60967592592
0.45,57243.61074074074
0.46,57243.61179398148
