masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
9.7e-22,8.820000000000001e-24,2.97e-20,2.25e-16,3.6e-14,2.51e-14,0.24,57242.26133101852
1.94e-23,2.43e-22,2.41e-19,2.1299999999999999e-16,1.5e-14,1.85e-14,0.17,57242.26236111111
1.08e-15,5.99e-15,9.6e-21,5.37e-16,1.73e-14,1.53e-14,0.18,57242.263402777775
2.3100000000000003e-21,1.09e-15,2.62e-19,1.03e-14,1.23e-15,2.3e-14,0.17,57242.26443287037
1.9900000000000002e-20,3.06e-14,1.64e-21,6.83e-23,7.7e-16,1.51e-14,0.2,57242.26547453704
2.94e-15,1.28e-14,3.12e-15,5.2200000000000004e-15,1.23e-16,1.83e-14,0.19,57242.266493055555
1.91e-21,1.89e-20,3.32e-22,6.52e-15,3.62e-16,2.29e-14,0.15,57242.267546296294
1.2200000000000001e-21,3.7100000000000003e-23,2.3300000000000003e-22,1.6800000000000003e-21,7.68e-15,2e-14,0.15,57242.268587962964
7.13e-15,4.82e-15,9.06e-22,2.6100000000000002e-15,5.66e-16,1.82e-14,0.16,57242.26961805556
6.03e-22,1.0599999999999999e-15,1.0400000000000001e-19,9.67e-15,7.41e-16,2.07e-14,0.16,57242.27064814815
2.8000000000000003e-23,1.6199999999999999e-15,4.74e-22,1.72e-15,1.23e-14,2.05e-14,0.17,57242.27170138889
1.03e-14,3.18e-15,1.13e-24,6.3e-15,8.84e-16,1.67e-14,0.18,57242.27274305555
2.78e-19,1.15e-14,2.71e-22,1.2499999999999999e-23,8.29e-16,1.69e-14,0.15,57242.27377314815
2.14e-21,1.22e-14,2.08e-21,2.1199999999999997e-15,1.4300000000000002e-17,1.9e-14,0.16,57242.27479166666
3.98e-14,2.6600000000000002e-15,7.68e-23,7.39e-15,1.91e-16,1.62e-14,0.25,57242.27583333333
5.82e-14,5.5299999999999995e-15,9.19e-17,1.22e-14,6.26e-15,2.14e-14,0.32,57242.276875
2.79e-14,1.01e-21,6.22e-17,9.740000000000001e-15,1.13e-14,1.79e-14,0.25,57242.27790509259
5.33e-23,1.73e-23,5.53e-20,3.77e-16,2.91e-14,1.64e-14,0.2,57242.27894675926
4.4799999999999997e-23,3.74e-15,1.1899999999999999e-16,2.57e-15,1.79e-14,1.77e-14,0.19,57242.27998842593
2.34e-14,1.5e-14,2.46e-16,6.87e-15,4.7e-15,1.95e-14,0.26,57242.281018518515
1.27e-14,5.71e-15,2.1200000000000002e-16,7.85e-15,3.0800000000000003e-16,1.93e-14,0.2,57242.282060185185
1.05e-24,2.17e-14,3.34e-21,5.81e-15,9.13e-15,2.07e-14,0.23,57242.28309027778
5.45e-24,4.39e-23,2.44e-20,1.11e-14,9.47e-16,2.11e-14,0.16,57242.28414351852
3.75e-22,6.9299999999999994e-15,8.29e-25,3.19e-16,1.64e-14,1.76e-14,0.19,57242.28518518519
2.04e-14,4.33e-15,1.43e-22,1.14e-14,1.01e-15,1.79e-14,0.22,57242.28724537037
1.1e-22,2.72e-14,5.070000000000001e-20,8.409999999999999e-15,1.18e-14,1.76e-14,0.24,57242.28828703704
2.98e-17,2.1e-14,1.46e-15,1.82e-14,3.78e-15,2.03e-14,0.24,57242.28931712963
8.270000000000001e-22,1.48e-14,9.88e-17,1.27e-14,1.9e-15,1.93e-14,0.21,57242.29037037037
1.27e-22,1.43e-14,2.8e-15,1.07e-14,1.56e-14,2.38e-14,0.25,57242.29141203704
5.72e-22,1.8199999999999997e-21,8.51e-16,2.14e-14,1.54e-14,2.14e-14,0.23,57242.29244212963
2.12e-22,2.49e-22,9.73e-20,2.36e-14,2.7600000000000003e-15,2.09e-14,0.2,57242.29349537037
2.07e-17,3.35e-14,8.49e-20,2.49e-14,5.45e-15,2.39e-14,0.29,57242.29452546296
6.11e-22,4.23e-15,1.0699999999999998e-15,2.4e-14,1.54e-14,2.78e-14,0.26,57242.29556712963
1.37e-24,6.770000000000001e-22,3.7e-20,4.3600000000000003e-16,5.23e-14,2.05e-14,0.26,57242.2966087963
8.6e-23,5.55e-15,3.72e-19,4.73e-15,5.09e-14,2e-14,0.28,57242.29765046296
4.8599999999999996e-23,1.65e-24,8.31e-20,2.73e-16,3.42e-14,1.45e-14,0.21,57242.298680555556
8.41e-14,2.12e-14,6.75e-16,6.9200000000000004e-15,8.17e-15,1.74e-14,0.39,57242.29971064815
8.719999999999999e-22,4.53e-18,8.340000000000001e-17,1.78e-14,6.05e-15,2e-14,0.19,57242.30076388889
2.65e-13,4.5700000000000005e-15,1.28e-15,1.69e-14,2.82e-15,2.2e-14,0.63,57242.301782407405
1.6200000000000002e-13,7.32e-20,5.47e-16,7.52e-15,1.36e-14,1.79e-14,0.48,57242.302835648145
7.42e-14,8.9e-15,5.349999999999999e-16,1.25e-14,8.05e-15,2.62e-14,0.37,57242.30386574074
7.06e-14,5.03e-15,8.459999999999999e-23,9.38e-15,2.8700000000000003e-16,2.08e-14,0.33,57242.30490740741
2.32e-15,1.28e-14,7.650000000000001e-24,7.55e-15,1.18e-15,1.75e-14,0.19,57242.30596064815
1.71e-14,1.31e-14,2.16e-23,6.62e-15,1.41e-15,1.3e-14,0.21,57242.311435185184
5.75e-14,1.03e-14,3.7200000000000005e-15,1.24e-14,3.46e-23,1.27e-14,0.31,57242.312476851854
5.8e-14,4.32e-15,6.139999999999999e-16,6.81e-15,2.54e-15,1.47e-14,0.29,57242.31456018519
4.24e-26,1.1e-18,8.42e-16,1.33e-14,1.7600000000000002e-15,1.48e-14,0.16,57242.315613425926
1.77e-21,3.96e-16,7.170000000000001e-17,1.31e-14,4.23e-15,1.48e-14,0.16,57242.316666666666
2.62e-14,8.07e-16,1.7800000000000002e-25,7.56e-15,9.790000000000001e-17,1.35e-14,0.2,57242.317708333336
