mass,mjd
0.42,57512.25755787037
0.46,57512.25858796296
0.33,57512.259618055556
0.31,57512.26170138889
0.37,57512.26951388889
0.42,57512.27055555556
0.41,57512.27159722222
0.35,57512.27263888889
0.47,57512.273668981485
0.44,57512.27471064815
0.48,57512.27575231482
0.61,57512.27678240741
0.53,57512.27782407407
0.45,57512.278865740744
0.53,57512.27989583334
0.41,57512.2809375
0.42,57512.28199074074
0.44,57512.28302083333
0.39,57512.2840625
0.36,57512.285104166665
0.25,57512.28613425926
0.29,57512.28717592593
0.28,57512.28822916667
0.25,57512.28927083333
0.3,57512.290300925924
0.24,57512.291354166664
0.19,57512.29238425926
0.21,57512.29342592593
0.2,57512.29446759259
0.16,57512.29552083334
0.17,57512.29759259259
0.19,57512.298634259256
0.18,57512.299675925926
0.18,57512.30070601852
0.18,57512.30179398148
0.23,57512.30284722222
0.23,57512.303877314815
0.21,57512.304918981485
0.16,57512.305972222224
0.24,57512.30700231482
0.17,57512.30804398148
0.17,57512.30908564815
0.19,57512.31012731481
0.34,57512.31116898148
0.28,57512.31219907408
0.34,57512.313252314816
0.29,57512.31428240741
0.23,57512.31532407407
0.23,57512.31636574074
0.32,57512.31775462963
0.29,57512.3187962963
0.26,57512.31983796296
0.23,57512.32087962963
0.21,57512.321921296294
0.24,57512.324016203704
0.24,57512.325057870374
0.25,57512.32608796296
0.24,57512.32712962963
0.26,57512.3281712963
0.23,57512.32922453704
0.4,57512.3302662037
0.53,57512.331296296295
0.62,57512.332337962966
0.43,57512.333391203705
0.5,57512.3344212963
0.31,57512.33546296296
0.54,57512.3365162037
0.69,57512.33788194445
0.77,57512.33893518519
0.47,57512.33996527778
0.52,57512.34101851852
0.47,57512.34204861111
0.5,57512.343090277776
0.5,57512.344143518516
0.65,57512.348449074074
0.23,57512.349490740744
0.18,57512.35054398148
0.16,57512.351585648146
0.13,57512.352638888886
0.15,57512.35366898148
0.15,57512.35472222222
0.14,57512.35575231481
0.18,57512.35679398148
0.16,57512.35784722222
0.14,57512.35890046296
0.12,57512.35994212963
0.14,57512.360983796294
0.17,57512.36306712963
0.14,57512.3641087963
0.16,57512.36516203704
0.16,57512.36620370371
0.19,57512.367256944446
0.19,57512.36828703704
0.22,57512.36934027778
0.22,57512.37038194444
0.21,57512.37142361111
0.19,57512.37247685185
0.24,57512.37353009259
0.27,57512.37458333333
0.25,57512.37563657408
0.21,57512.37667824074
0.24,57512.37771990741
0.24,57512.37877314815
0.35,57512.37981481481
0.32,57512.38086805555
0.33,57512.3819212963
0.25,57512.38297453704
0.26,57512.3840162037
0.3,57512.38506944444
0.28,57512.38612268519
0.23,57512.38717592593
0.25,57512.38821759259
0.36,57512.38927083334
0.55,57512.3903125
0.38,57512.39135416667
0.27,57512.39344907407
0.3,57512.39449074074
0.33,57512.39554398148
0.35,57512.39659722222
0.36,57512.397627314815
0.42,57512.398680555554
0.37,57512.399733796294
0.38,57512.40078703704
0.36,57512.40184027778
0.42,57512.40393518518
0.35,57512.40604166667
0.33,57512.40813657407
0.6,57512.41023148148
0.55,57512.41128472222
0.49,57512.412314814814
0.52,57512.41336805555
0.71,57512.41442129629
0.55,57512.41547453704
0.37,57512.41653935185
0.42,57512.417592592596
0.51,57512.41863425926
0.45,57512.4196875
0.53,57512.420752314814
0.52,57512.421793981484
0.45,57512.422847222224
0.47,57512.42390046296
0.52,57512.424942129626
0.44,57512.42707175926
0.56,57512.428136574075
0.5,57512.42917824074
0.29,57512.430231481485
0.28,57512.431284722225
0.3,57512.43232638889
0.3,57512.43337962963
0.28,57512.434432870374
0.29,57512.43547453704
0.33,57512.436527777776
0.32,57512.43759259259
0.29,57512.43863425926
0.25,57512.4396875
0.3,57512.44074074074
0.38,57512.44179398148
0.24,57512.44284722222
0.22,57512.44390046296
0.23,57512.44495370371
0.22,57512.44600694445
0.2,57512.44704861111
0.18,57512.44810185185
0.23,57512.449155092596
0.21,57512.450208333335
0.27,57512.451261574075
0.24,57512.452314814815
0.19,57512.453356481485
0.15,57512.454409722224
0.13,57512.45547453704
0.15,57512.4565162037
0.21,57512.45756944444
0.18,57512.45863425926
0.18,57512.4596875
0.19,57512.460752314815
0.25,57512.461805555555
0.25,57512.462858796294
0.27,57512.463912037034
0.25,57512.46497685185
0.24,57512.46603009259
0.2,57512.46708333334
0.29,57512.468125
0.23,57512.46917824074
0.24,57512.470243055555
0.26,57512.471284722225
0.19,57512.472337962965
