mass,mjd
0.9,57510.256006944444
1.33,57510.25707175926
2.03,57510.25811342592
1.99,57510.25914351852
2.0,57510.26018518519
1.53,57510.26122685185
1.4,57510.26225694444
1.08,57510.263287037036
1.45,57510.26431712963
1.65,57510.2653587963
1.26,57510.266388888886
1.17,57510.274930555555
0.54,57510.27596064815
0.54,57510.27700231481
0.77,57510.27804398148
0.99,57510.27908564815
1.02,57510.280127314814
0.61,57510.281168981484
0.41,57510.28221064815
0.47,57510.28325231482
0.61,57510.28429398148
0.5,57510.28533564815
0.63,57510.28637731481
0.78,57510.28743055555
0.64,57510.288460648146
0.8,57510.289502314816
0.81,57510.29054398148
1.07,57510.29158564815
1.53,57510.29262731481
0.97,57510.29366898148
0.79,57510.29472222222
0.93,57510.29576388889
0.86,57510.296805555554
0.97,57510.29785879629
0.75,57510.29890046296
0.96,57510.2999537037
0.82,57510.30100694444
0.69,57510.30206018518
0.79,57510.304143518515
0.74,57510.30519675926
0.83,57510.30625
1.04,57510.30730324074
0.98,57510.308344907404
1.11,57510.309386574074
1.62,57510.310428240744
0.9,57510.31145833333
1.43,57510.31251157408
1.39,57510.31355324074
1.05,57510.31459490741
1.15,57510.31564814815
1.12,57510.31668981481
1.32,57510.31773148148
1.35,57510.318761574075
1.29,57510.319814814815
1.07,57510.320868055554
1.0,57510.321909722225
1.04,57510.322962962964
1.23,57510.324016203704
1.35,57510.325057870374
1.04,57510.32608796296
1.29,57510.32714120371
1.09,57510.328194444446
0.97,57510.32923611111
1.26,57510.33028935185
1.27,57510.33133101852
0.83,57510.33238425926
0.79,57510.33446759259
0.75,57510.33550925926
0.8,57510.3365625
0.61,57510.33760416666
0.57,57510.33865740741
0.66,57510.33969907407
0.6,57510.34075231481
0.58,57510.34179398148
0.84,57510.34284722222
0.76,57510.34390046296
0.69,57510.344930555555
0.7,57510.345983796295
0.99,57510.347025462965
0.97,57510.34806712963
0.84,57510.34912037037
0.92,57510.35016203704
0.85,57510.35422453703
0.54,57510.35525462963
0.6,57510.356307870374
0.54,57510.35736111111
0.53,57510.358402777776
0.5,57510.359456018516
0.55,57510.36050925926
0.52,57510.3615625
0.48,57510.362604166665
0.54,57510.363657407404
0.58,57510.36577546296
0.54,57510.36681712963
0.49,57510.36787037037
0.67,57510.36996527778
0.56,57510.37100694444
0.7,57510.37207175926
0.55,57510.37415509259
0.82,57510.37626157407
0.78,57510.37731481482
0.62,57510.37835648148
0.7,57510.37939814815
0.69,57510.38046296296
0.54,57510.38149305555
0.59,57510.3825462963
0.64,57510.38359953704
0.81,57510.38465277778
0.63,57510.38569444444
0.7,57510.38675925926
0.86,57510.3878125
0.75,57510.388865740744
0.84,57510.39096064815
0.93,57510.392013888886
1.2,57510.394108796296
1.48,57510.395162037035
1.59,57510.396215277775
1.34,57510.397256944445
1.58,57510.398310185185
1.29,57510.399363425924
1.37,57510.40042824074
1.55,57510.40146990741
1.43,57510.40252314815
1.66,57510.40356481481
1.51,57510.40461805555
1.58,57510.4056712963
1.63,57510.40672453704
1.75,57510.4077662037
1.71,57510.40880787037
1.57,57510.40987268519
1.61,57510.41091435185
1.59,57510.41196759259
1.52,57510.41300925926
1.51,57510.4140625
1.53,57510.415127314816
1.66,57510.416180555556
2.04,57510.41724537037
1.68,57510.41829861111
1.42,57510.41935185185
1.22,57510.42040509259
1.48,57510.42145833333
1.05,57510.42251157408
0.99,57510.42356481482
0.99,57510.42461805556
0.76,57510.425671296296
0.87,57510.42673611111
0.76,57510.42778935185
0.71,57510.42884259259
0.69,57510.42989583333
0.7,57510.43094907407
0.61,57510.43305555556
0.58,57510.4341087963
0.53,57510.435162037036
0.49,57510.437268518515
0.51,57510.439375
0.57,57510.44149305556
0.49,57510.4425462963
0.54,57510.44359953704
0.52,57510.44466435185
0.6,57510.445706018516
0.64,57510.44675925926
0.57,57510.44782407407
0.57,57510.44887731481
0.72,57510.44994212963
0.49,57510.45099537037
0.5,57510.452048611114
0.56,57510.45311342592
0.54,57510.45523148148
0.39,57510.45628472222
0.45,57510.457349537035
0.45,57510.45945601852
0.47,57510.46052083333
0.58,57510.46157407408
0.52,57510.46263888889
0.59,57510.4637037037
0.53,57510.46474537037
0.55,57510.46579861111
0.43,57510.46791666667
0.45,57510.46896990741
0.48,57510.470034722224
0.48,57510.47109953704
0.44,57510.4721412037
0.45,57510.48917824074
0.52,57510.4927662037
0.46,57510.49381944445
0.48,57510.49486111111
0.45,57510.49696759259
0.5,57510.499085648145
0.55,57510.50013888889
0.4,57510.50119212963
0.44,57510.50225694444
0.38,57510.50329861111
0.39,57510.50435185185
0.38,57510.50540509259
0.35,57510.507523148146
0.37,57510.508564814816
0.49,57510.50962962963
0.43,57510.510671296295
0.49,57510.51173611111
0.43,57510.51278935185
0.58,57510.51385416667
0.59,57510.51596064815
0.59,57510.51702546296
0.6,57510.5180787037
0.58,57510.51913194444
0.63,57510.52019675926
0.52,57510.52125
0.46,57510.52230324074
0.35,57510.523356481484
0.37,57510.52547453704
0.39,57510.52758101852
0.28,57510.528645833336
0.2,57510.529710648145
0.33,57510.530752314815
0.16,57510.53181712963
0.21,57510.53287037037
0.37,57510.53393518519
0.27,57510.53498842593
0.3,57510.53606481481
0.37,57510.53710648148
0.37,57510.5381712963
0.52,57510.53922453704
0.77,57510.540289351855
0.72,57510.541354166664
0.94,57510.54240740741
0.95,57510.54347222222
0.93,57510.54452546296
0.98,57510.545578703706
1.02,57510.546643518515
