masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
2.41e-21,1.2499999999999999e-23,1.3100000000000001e-17,1.3600000000000002e-17,2.52e-14,2.2e-14,0.2,56788.25732638889
3.15e-22,1.4499999999999998e-21,1.38e-20,3.42e-17,2.66e-14,2.47e-14,0.22,56788.258414351854
1.73e-22,1.7100000000000003e-21,2.08e-21,4.1499999999999996e-17,1.73e-14,2.23e-14,0.18,56788.259467592594
4.07e-22,6.48e-22,6.95e-20,5.9700000000000006e-18,1.13e-13,2.62e-14,0.39,56788.26053240741
1.94e-23,4.6700000000000004e-24,7.379999999999999e-23,1.41e-16,7.97e-14,2.46e-14,0.33,56788.26159722222
2.84e-22,4.33e-22,1.47e-21,8e-16,9.35e-14,2.36e-14,0.35,56788.262650462966
5.12e-23,1.8499999999999997e-21,1.7100000000000003e-21,1.68e-18,7.49e-14,2.13e-14,0.31,56788.26405092593
2.0000000000000002e-21,1.6799999999999997e-24,7.79e-22,1.4000000000000003e-17,9.1e-14,2.12e-14,0.34,56788.26511574074
4.98e-22,2.48e-21,1.24e-21,3.02e-14,1.7e-13,2.86e-14,0.53,56788.26615740741
8.78e-23,3.87e-15,1.4300000000000002e-15,2.2e-14,1.51e-13,2.78e-14,0.5,56788.267222222225
3.76e-21,4.41e-19,1.74e-14,1.12e-14,1.59e-13,2.8e-14,0.51,56788.26828703703
1.8300000000000002e-22,1.1100000000000001e-21,8.72e-19,1.45e-15,6.77e-14,1.97e-14,0.3,56788.26934027778
1.15e-22,3.93e-23,2.77e-16,6.85e-16,4e-14,1.75e-14,0.23,56788.271458333336
1.13e-21,6.63e-22,3.3799999999999997e-20,1.02e-14,2.34e-14,1.52e-14,0.21,56788.272523148145
3.53e-22,2.5e-15,4.24e-20,4.49e-15,3.96e-14,1.34e-14,0.24,56788.27355324074
2.2299999999999996e-22,2.3300000000000003e-22,4.98e-21,3e-14,1.3200000000000002e-13,1.52e-14,0.45,56788.275671296295
1.2e-21,4.639999999999999e-22,9.12e-20,9.16e-16,7.68e-14,1.35e-14,0.3,56788.27673611111
5.84e-22,9.23e-23,6.81e-23,2.8100000000000003e-15,1.25e-13,1.84e-14,0.4,56788.27780092593
1.62e-22,1.4400000000000001e-21,3.68e-20,3.88e-14,1.77e-13,2.26e-14,0.54,56788.27885416667
1.9999999999999999e-22,8.459999999999999e-23,6.800000000000001e-18,6.45e-14,1.8100000000000004e-13,2.83e-14,0.59,56788.27991898148
4.22e-23,4.74e-22,9.120000000000001e-21,5.91e-15,1.73e-13,1.49e-14,0.48,56788.2809837963
9.759999999999999e-22,7.209999999999999e-22,1.64e-21,5.13e-14,2.04e-13,2.79e-14,0.6,56788.28203703704
1.51e-21,2.98e-23,3.6200000000000004e-20,1.9e-14,1.2799999999999998e-13,2.49e-14,0.44,56788.283101851855
2.0899999999999997e-23,1.07e-21,9.889999999999999e-23,4.0499999999999997e-16,8.18e-14,2.03e-14,0.33,56788.284155092595
4.31e-22,3.8199999999999996e-22,6.21e-22,3.5299999999999998e-15,7.13e-14,1.84e-14,0.31,56788.28523148148
6.4999999999999995e-22,2.31e-22,1.59e-21,1.77e-15,7.88e-14,1.73e-14,0.32,56788.28628472222
4.8e-22,1.5e-23,3.61e-17,3.01e-14,1.1400000000000002e-13,1.99e-14,0.43,56788.28736111111
5.51e-23,7.94e-22,1.54e-19,1.92e-14,1.4599999999999998e-13,2.13e-14,0.47,56788.28842592592
9.78e-24,3.44e-22,5.429999999999999e-21,3.35e-15,9.87e-14,2.11e-14,0.36,56788.28949074074
1.28e-21,6.83e-23,3.91e-16,3.88e-14,1.5399999999999997e-13,2.92e-14,0.52,56788.290555555555
9.91e-22,6.909999999999999e-23,1.05e-15,1.5e-14,1.3699999999999997e-13,2.59e-14,0.46,56788.29162037037
2.1899999999999998e-21,1.11e-23,7.25e-21,1.1199999999999999e-17,9.18e-14,2.44e-14,0.35,56788.29269675926
7.440000000000001e-23,8.35e-22,5.5299999999999994e-21,2.0699999999999999e-16,8.54e-14,1.9e-14,0.33,56788.29482638889
4.61e-23,2.96e-15,7.65e-17,3.55e-15,9.89e-14,2.18e-14,0.37,56788.29591435185
9.55e-24,3.58e-22,6.59e-21,3.22e-17,8.82e-14,1.9e-14,0.33,56788.29697916667
1.32e-22,4.99e-22,6.08e-22,7.15e-15,1.1400000000000002e-13,1.78e-14,0.39,56788.29804398148
3.55e-22,2.6699999999999997e-22,1.82e-22,3.11e-15,1.31e-13,1.96e-14,0.42,56788.299097222225
2.25e-24,8.62e-22,3.61e-18,7.2e-15,9.93e-14,2.08e-14,0.37,56788.300162037034
2.11e-23,4.879999999999999e-22,1.22e-20,2.07e-14,1.25e-13,2.65e-14,0.44,56788.30121527778
2.11e-21,2.22e-22,1.25e-15,4.43e-14,1.7499999999999999e-13,3.09e-14,0.56,56788.30226851852
8.06e-22,1.42e-21,1.65e-19,5.38e-14,1.49e-13,3.67e-14,0.54,56788.30334490741
8.4e-23,1.1999999999999998e-23,2.9500000000000004e-20,1.98e-14,1.4400000000000002e-13,2.51e-14,0.47,56788.304398148146
1.91e-21,6.22e-17,1.99e-14,1.32e-14,1.42e-13,2.54e-14,0.49,56788.30547453704
3.44e-22,2.4500000000000004e-16,1.78e-14,1.51e-14,1.53e-13,2.37e-14,0.5,56788.30652777778
8.72e-23,2.54e-16,1.19e-14,2.36e-14,1.2700000000000001e-13,2.49e-14,0.47,56788.307592592595
5.01e-22,3.9499999999999996e-23,1.03e-15,3.13e-14,9.89e-14,2.54e-14,0.42,56788.308657407404
2.17e-22,3.96e-17,1.9e-17,1.92e-14,7.32e-14,2.33e-14,0.35,56788.30972222222
1.2099999999999998e-21,2.7699999999999996e-17,1.21e-14,1.85e-14,1.06e-13,2.2e-14,0.42,56788.31078703704
1.4499999999999998e-21,1.06e-21,5.66e-22,4.9700000000000005e-17,5.58e-14,1.58e-14,0.26,56788.31292824074
5.07e-22,4.06e-23,1.47e-20,7.0200000000000005e-15,4.37e-14,1.65e-14,0.25,56788.31398148148
4.59e-22,1.19e-21,6.57e-22,1.13e-14,3.81e-14,1.55e-14,0.25,56788.315034722225
6.51e-23,1.97e-22,2.29e-22,5.3e-15,3.47e-14,1.53e-14,0.22,56788.316087962965
4.44e-22,5.2e-18,1.36e-21,3.7e-15,3.25e-14,1.67e-14,0.22,56788.31715277778
1.24e-21,5.73e-16,2.12e-21,8.34e-15,3.84e-14,1.7e-14,0.25,56788.31821759259
1.92e-23,1.42e-21,5.3e-21,8.34e-15,2.64e-14,1.81e-14,0.22,56788.31930555555
6.67e-23,3.73e-23,6.049999999999999e-22,9.869999999999999e-18,2.58e-14,1.86e-14,0.2,56788.32034722222
6.54e-23,2.79e-23,7.06e-21,1.33e-14,8.32e-15,2.16e-14,0.19,56788.32141203704
5.19e-22,2.8999999999999996e-23,2.6499999999999998e-20,3.74e-16,3.05e-14,2.28e-14,0.22,56788.322488425925
2.71e-22,6.859999999999999e-23,3.0200000000000003e-16,2.67e-16,3.29e-14,2.1e-14,0.22,56788.323541666665
1.18e-22,1.5399999999999999e-21,1.3700000000000003e-20,3.6e-15,4.28e-14,2.36e-14,0.26,56788.32460648148
8.6e-22,1.3e-15,3.99e-22,8.34e-15,4.06e-14,2.99e-14,0.28,56788.32568287037
1.1e-21,1.02e-24,3.2200000000000003e-21,2.23e-15,3.77e-14,2.1e-14,0.24,56788.32674768518
1.3e-21,1.91e-23,7.829999999999999e-21,2.43e-16,2.38e-14,1.72e-14,0.19,56788.330104166664
8.25e-22,1.0999999999999999e-25,2.3999999999999997e-19,1.26e-16,2.15e-14,1.77e-14,0.18,56788.33115740741
4e-23,7.65e-22,6.52e-21,1.5900000000000002e-16,2.23e-14,1.91e-14,0.19,56788.33221064815
1.8499999999999997e-21,1.3800000000000003e-21,4.2600000000000004e-23,1.1000000000000001e-16,2.45e-14,2.07e-14,0.2,56788.333287037036
3.06e-22,2.7199999999999996e-22,4.66e-20,3.0200000000000003e-16,4.57e-14,2.36e-14,0.26,56788.334340277775
1.43e-22,2.02e-21,1.7899999999999997e-21,5.2e-15,9.08e-14,2.35e-14,0.36,56788.33541666667
3.87e-20,7.0900000000000004e-15,2.52e-16,3.37e-14,1.4e-13,3.06e-14,0.5,56788.336481481485
1.5500000000000001e-21,2.1900000000000004e-22,1.24e-21,7.19e-15,1.0300000000000002e-13,2.34e-14,0.38,56788.337546296294
1.07e-23,4.51e-23,2.19e-20,3.51e-14,1.4599999999999998e-13,2.71e-14,0.5,56788.33861111111
1.96e-23,1.4700000000000002e-23,9.63e-21,3.24e-14,1.3e-13,3.02e-14,0.48,56788.33966435185
4.06e-22,4.7099999999999995e-24,1.9e-22,1.59e-15,1.0300000000000002e-13,2.21e-14,0.37,56788.340729166666
2.17e-23,2.25e-22,7.890000000000001e-22,4.89e-16,9.91e-14,2.35e-14,0.36,56788.34180555555
2.5699999999999998e-23,1.35e-21,2.01e-18,1.4299999999999998e-16,1.5399999999999997e-13,3.88e-14,0.48,56788.34287037037
1.4499999999999998e-21,6.61e-22,1.24e-19,3.8e-14,1.21e-13,4.55e-14,0.49,56788.343935185185
2.32e-23,1.49e-23,1.8199999999999997e-21,5.39e-16,9.73e-14,3.54e-14,0.38,56788.34501157407
5.5500000000000005e-22,1.35e-21,4.51e-23,1.21e-14,1.1400000000000002e-13,4.21e-14,0.44,56788.34606481482
1.64e-21,5.59e-22,4.9400000000000004e-21,2.24e-14,6.11e-14,2.82e-14,0.34,56788.34712962963
1.98e-23,1.3699999999999998e-21,3.889999999999999e-18,9.99e-15,3.92e-14,2.27e-14,0.26,56788.34819444444
1.31e-21,1.26e-22,1.4899999999999998e-20,3.45e-14,4.23e-14,1.67e-14,0.31,56788.34924768518
4.79e-23,2.97e-23,2.65e-24,4.83e-14,2.9e-14,1.77e-14,0.31,56788.350324074076
5.799999999999999e-23,1.56e-16,1.74e-21,6.17e-14,4.96e-14,2.54e-14,0.39,56788.35138888889
3.14e-23,5.700000000000001e-23,4.96e-22,4.72e-14,8.09e-14,2.71e-14,0.42,56788.3524537037
6.209999999999999e-23,2.4200000000000003e-22,2.5900000000000002e-20,7.14e-16,8.14e-14,2.7e-14,0.34,56788.35459490741
1.9699999999999998e-21,6.72e-22,2.25e-20,4.29e-16,4.11e-14,2.17e-14,0.24,56788.35565972222
7.88e-22,4.83e-22,6.69e-22,2.56e-16,3.33e-14,2.64e-14,0.24,56788.35674768518
1.7199999999999998e-21,1.98e-21,5.5100000000000004e-21,6.920000000000001e-17,2.85e-14,1.7e-14,0.2,56788.35780092593
9.320000000000001e-26,4.94e-22,7.52e-22,2.5299999999999997e-16,2.19e-14,1.69e-14,0.18,56788.35886574074
1.07e-21,7e-22,5.159999999999999e-22,5.01e-17,4.74e-14,3.55e-14,0.29,56788.359930555554
