mass,mjd
0.54,57156.259363425925
0.54,57156.260416666664
0.71,57156.261458333334
0.85,57156.26283564815
0.76,57156.263865740744
0.66,57156.26490740741
0.65,57156.26594907408
0.55,57156.26696759259
0.58,57156.268009259256
0.62,57156.26905092593
0.59,57156.27476851852
0.62,57156.27579861111
0.51,57156.2768287037
0.5,57156.27787037037
0.63,57156.278912037036
0.54,57156.28262731482
0.4,57156.28366898148
0.42,57156.28471064815
0.37,57156.28575231481
0.38,57156.286782407406
0.35,57156.287824074076
0.32,57156.28886574074
0.36,57156.28991898148
0.37,57156.29096064815
0.37,57156.29200231482
0.38,57156.29304398148
0.47,57156.295115740744
0.4,57156.29615740741
0.41,57156.29719907408
0.55,57156.29822916666
0.64,57156.29927083333
0.84,57156.3003125
0.9,57156.30136574074
0.79,57156.302407407406
0.69,57156.3034375
0.77,57156.30447916667
0.86,57156.30550925926
0.72,57156.3065625
0.61,57156.30761574074
0.71,57156.308657407404
0.68,57156.309699074074
0.6,57156.310740740744
0.52,57156.311793981484
0.4,57156.31386574074
0.38,57156.31491898148
0.41,57156.31597222222
0.38,57156.31700231481
0.49,57156.31804398148
0.48,57156.31909722222
0.53,57156.323159722226
0.48,57156.32420138889
0.71,57156.32525462963
1.02,57156.32628472222
0.7,57156.32733796296
0.5,57156.328368055554
0.55,57156.329421296294
0.65,57156.33047453704
0.6,57156.3315162037
0.59,57156.33255787037
0.51,57156.333599537036
0.61,57156.33462962963
1.07,57156.33671296296
1.17,57156.33775462963
0.77,57156.33880787037
0.49,57156.340891203705
0.65,57156.34193287037
0.7,57156.342986111114
0.57,57156.34402777778
0.48,57156.34506944445
0.47,57156.34611111111
0.46,57156.34715277778
0.41,57156.34820601852
0.4,57156.34924768518
0.5,57156.350277777776
0.47,57156.351331018515
0.53,57156.352372685185
0.39,57156.3534375
0.3,57156.354479166665
0.26,57156.355520833335
0.26,57156.3565625
0.24,57156.35760416667
0.29,57156.35865740741
0.28,57156.3596875
0.43,57156.36074074074
0.38,57156.36179398148
0.34,57156.36283564815
0.33,57156.36387731481
0.34,57156.36494212963
0.26,57156.36703703704
0.34,57156.36913194445
0.38,57156.37122685185
0.35,57156.37332175926
0.31,57156.37435185185
0.32,57156.375393518516
0.5,57156.37644675926
0.44,57156.377488425926
0.41,57156.378541666665
0.38,57156.379583333335
0.41,57156.380625
0.44,57156.38167824074
0.53,57156.383784722224
0.45,57156.38482638889
0.44,57156.38586805556
0.42,57156.386921296296
0.38,57156.387974537036
0.38,57156.389375
0.41,57156.39041666667
0.59,57156.39145833333
0.51,57156.393541666665
0.71,57156.394583333335
0.69,57156.395625
0.54,57156.39771990741
0.61,57156.39980324074
0.5,57156.40188657407
0.55,57156.40292824074
0.54,57156.403969907406
0.52,57156.405023148145
0.5,57156.40607638889
0.34,57156.40712962963
0.34,57156.408171296294
0.37,57156.40923611111
0.54,57156.41028935185
0.47,57156.41133101852
0.53,57156.41238425926
0.51,57156.41342592592
0.55,57156.41449074074
0.53,57156.41553240741
0.45,57156.416597222225
0.51,57156.418703703705
0.64,57156.419756944444
0.62,57156.420810185184
0.81,57156.42291666667
0.51,57156.42398148148
0.42,57156.42502314815
0.49,57156.42607638889
0.44,57156.427141203705
0.38,57156.428194444445
0.53,57156.430289351854
0.45,57156.431342592594
0.48,57156.43238425926
0.56,57156.4334375
0.6,57156.434479166666
0.58,57156.435532407406
0.65,57156.436574074076
0.58,57156.43869212963
0.55,57156.439722222225
0.66,57156.440775462965
0.6,57156.44181712963
0.71,57156.44287037037
0.66,57156.44393518518
0.52,57156.445
0.49,57156.44604166667
0.58,57156.44709490741
0.68,57156.44814814815
0.74,57156.44920138889
0.94,57156.45025462963
0.79,57156.45130787037
0.77,57156.453414351854
1.02,57156.45446759259
0.76,57156.45768518518
0.8,57156.45875
0.76,57156.45979166667
0.72,57156.460856481484
0.91,57156.461909722224
0.76,57156.46296296296
0.86,57156.4640162037
0.75,57156.46508101852
0.76,57156.46612268518
0.93,57156.46717592593
0.97,57156.469293981485
0.89,57156.470347222225
0.79,57156.471400462964
0.76,57156.472453703704
0.98,57156.473495370374
1.01,57156.47454861111
0.81,57156.47561342592
0.91,57156.47666666667
0.8,57156.47771990741
0.92,57156.47877314815
0.69,57156.47982638889
0.83,57156.480891203704
0.75,57156.48195601852
0.72,57156.48300925926
0.72,57156.4840625
0.67,57156.48511574074
0.61,57156.48616898148
0.66,57156.487233796295
0.76,57156.488275462965
0.72,57156.489340277774
0.72,57156.49040509259
0.85,57156.49145833333
0.92,57156.4925
0.89,57156.49356481482
0.79,57156.49460648148
0.75,57156.49565972222
0.98,57156.496724537035
0.96,57156.497777777775
0.97,57156.49883101852
0.82,57156.49988425926
1.03,57156.50094907408
0.88,57156.50199074074
0.61,57156.50305555556
0.86,57156.504108796296
0.87,57156.505162037036
0.97,57156.506215277775
0.81,57156.50728009259
0.82,57156.50833333333
0.83,57156.50939814815
0.8,57156.51043981482
0.86,57156.51150462963
0.69,57156.51290509259
0.9,57156.515011574076
0.81,57156.5171412037
0.62,57156.51819444444
0.57,57156.51924768519
0.78,57156.52030092593
0.76,57156.521365740744
0.58,57156.52241898148
0.4,57156.5234837963
0.42,57156.52454861111
0.28,57156.525613425925
0.36,57156.52667824074
0.31,57156.52773148148
0.27,57156.52984953704
0.3,57156.53090277778
0.35,57156.53196759259
0.47,57156.53303240741
0.51,57156.53513888889
0.34,57156.536203703705
0.29,57156.53724537037
0.36,57156.538310185184
0.34,57156.539375
0.26,57156.54042824074
0.24,57156.541493055556
0.31,57156.54255787037
0.44,57156.54361111111
0.54,57156.54466435185
0.41,57156.54574074074
0.44,57156.54785879629
0.42,57156.54891203704
0.42,57156.54997685185
0.38,57156.551030092596
0.42,57156.553148148145
0.59,57156.55421296296
0.6,57156.5552662037
0.37,57156.55633101852
0.48,57156.55739583333
0.66,57156.560949074075
0.94,57156.56201388889
0.93,57156.5630787037
0.9,57156.56412037037
0.75,57156.56518518519
0.87,57156.56625
1.0,57156.56731481481
0.99,57156.56835648148
1.31,57156.57438657407
1.34,57156.57545138889
1.43,57156.57650462963
0.74,57156.577569444446
0.63,57156.57863425926
0.64,57156.57969907407
0.52,57156.580775462964
0.69,57156.58184027778
0.75,57156.583969907406
0.46,57156.58503472222
0.51,57156.58733796296
0.43,57156.5883912037
0.39,57156.58945601852
0.51,57156.59159722222
0.47,57156.59265046296
0.39,57156.59371527778
0.39,57156.59479166667
0.38,57156.59584490741
0.37,57156.59690972222
0.41,57156.597974537035
0.44,57156.59903935185
0.56,57156.60115740741
